Country	Interest % (2010)	Interest % (2018)
Afghanistan	0	0.1
Albania	13	8.6
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	4.3	16.5
Antigua and Barbuda	..	..
Argentina	..	16.5
Armenia	3.7	10.2
Aruba	..	..
Australia	2.3	3.7
Austria	6.4	3.6
Azerbaijan	0.2	2.4
Bahamas, The	13.8	15.4
Bahrain	..	..
Bangladesh	18.3	18.5
Barbados	20.3	25.6
Belarus	1.8	5.2
Belgium	7.8	4.7
Belize	13.3	9.4
Benin	..	..
Bermuda	..	..
Bhutan	6.5	4.1
Bolivia	8	..
Bosnia and Herzegovina	1.1	1.7
Botswana	1.6	1.6
Brazil	24.2	29.9
Brunei Darussalam	..	..
Bulgaria	2.2	1.8
Burkina Faso	2.4	5.7
Burundi	..	..
Cabo Verde	4.7	8
Cambodia	1.4	1.6
Cameroon	2.1	5
Canada	10	6
Cayman Islands	..	..
Central African Republic	6	1.3
Chad	..	..
Channel Islands	..	..
Chile	2.1	4.1
China	3.3	3.1
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	12.6	10.8
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	1.5	8.6
Costa Rica	9	13.5
Cote d'Ivoire	9.3	10.5
Croatia	6.6	5.8
Cuba	..	..
Curacao	..	..
Cyprus	5	6.3
Czech Republic	4.1	2.2
Denmark	4.4	2.6
Djibouti	..	..
Dominica	..	..
Dominican Republic	12.5	17
Ecuador	..	..
Egypt, Arab Rep.	20.5	33.3
El Salvador	11.7	11
Equatorial Guinea	0.9	3.1
Eritrea	..	..
Estonia	0.2	0.2
Eswatini	..	..
Ethiopia	2.6	5
Faroe Islands	..	..
Fiji	15.2	9.9
Finland	3.6	2.2
France	5.7	3.8
French Polynesia	..	..
Gabon	3.3	14.3
Gambia, The	15.2	..
Georgia	3.7	4.8
Germany	5.2	1.7
Ghana	16.2	33.2
Greece	15.3	7.5
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	13	13.6
Guinea	..	..
Guinea-Bissau	..	3.7
Guyana	..	..
Haiti	..	..
Honduras	3.9	7.7
Hungary	10.1	6
Iceland	12.6	6
India	22.8	23.7
Indonesia	8.9	13.3
Iran, Islamic Rep.	0.6	..
Iraq	..	2.6
Ireland	9.1	6.7
Isle of Man	..	..
Israel	12	7.2
Italy	10.5	9
Jamaica	40.6	20.5
Japan	16.7	11
Jordan	8.5	12.4
Kazakhstan	1.7	5.7
Kenya	..	18.4
Kiribati	3.5	0.1
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5	3.6
Kosovo	..	..
Kuwait	0	..
Kyrgyz Republic	..	3.4
Lao PDR	..	..
Latvia	5.6	2.5
Lebanon	50.5	50
Lesotho	1	2.8
Liberia	4.7	..
Libya	..	..
Liechtenstein	..	..
Lithuania	5.4	3.3
Luxembourg	0.9	0.7
Madagascar	6.1	5.4
Malawi	8.4	18.9
Malaysia	9.8	13.1
Maldives	10.8	..
Mali	2	6.4
Malta	8.3	4.1
Marshall Islands	0.9	0.5
Mauritania	..	..
Mauritius	10.6	6.8
Mexico	13	14.5
Micronesia, Fed. Sts.	0.6	0.3
Moldova	2.2	2.8
Monaco	..	..
Mongolia	1.4	10.9
Montenegro	..	..
Morocco	8.3	9.4
Mozambique	3	12.1
Myanmar	6.7	10.4
Namibia	4.1	9.8
Nepal	4.6	1.6
Netherlands	4.3	2.2
New Caledonia	..	..
New Zealand	3.8	3.6
Nicaragua	6.5	6.3
Niger	..	..
Nigeria	..	..
North Macedonia	2.5	4.3
Northern Mariana Islands	..	..
Norway	1.8	0.8
Oman	..	..
Pakistan	..	..
Palau	0.8	0.3
Panama	..	..
Papua New Guinea	..	13.2
Paraguay	1.8	4.1
Peru	5.8	6.6
Philippines	25.1	12.3
Poland	7.4	3.9
Portugal	8.7	8.9
Puerto Rico	..	..
Qatar	..	..
Romania	4.4	4.2
Russian Federation	1.6	2.4
Rwanda	..	4.5
Samoa	2.7	2.3
San Marino	0.9	0.9
Sao Tome and Principe	..	..
