Country	Male	Female
Afghanistan	63	66
Albania	76.8	80.2
Algeria	75.5	77.9
American Samoa	..	..
Andorra	..	..
Angola	58.1	63.7
Antigua and Barbuda	75.7	78
Argentina	73.1	79.9
Armenia	71.2	78.4
Aruba	73.6	78.5
Australia	80.7	84.9
Austria	79.4	84.1
Azerbaijan	70.3	75.3
Bahamas, The	71.5	75.9
Bahrain	76.3	78.3
Bangladesh	70.6	74.3
Barbados	77.7	80.4
Belarus	69.2	79.4
Belgium	79.4	83.9
Belize	71.6	77.7
Benin	59.9	63
Bermuda	77.9	85.6
Bhutan	71.1	71.8
Bolivia	68.4	74.2
Bosnia and Herzegovina	74.8	79.7
Botswana	66.2	72
Brazil	72	79.4
British Virgin Islands	..	..
Brunei Darussalam	74.6	77
Bulgaria	71.5	78.6
Burkina Faso	60.4	61.9
Burundi	59.4	63
Cabo Verde	69.3	76
Cambodia	67.3	71.6
Cameroon	57.7	60.2
Canada	79.9	84.1
Cayman Islands	..	..
Central African Republic	50.6	55
Chad	52.6	55.4
Channel Islands	81	84.8
Chile	77.6	82.4
China	74.5	79.1
Hong Kong SAR, China	82.3	87.7
Macao SAR, China	81.1	87.1
Colombia	74.3	79.9
Comoros	62.4	65.9
Congo, Dem. Rep.	58.9	61.9
Congo, Rep.	62.8	65.7
Costa Rica	77.5	82.7
Cote d'Ivoire	56.3	58.7
Croatia	74.9	81.4
Cuba	76.8	80.7
Curacao	74.7	81.5
Cyprus	78.7	82.9
Czech Republic	76.2	82
Denmark	79.1	82.9
Djibouti	64.6	68.8
Dominica	..	..
Dominican Republic	70.8	77.2
Ecuador	74.1	79.6
Egypt, Arab Rep.	69.6	74.2
El Salvador	68.2	77.6
Equatorial Guinea	57.4	59.6
Eritrea	63.8	68.2
Estonia	74	82.7
Eswatini	55.3	64
Ethiopia	64.4	68.2
Faroe Islands	80.5	84.7
Fiji	65.6	69.2
Finland	79.1	84.5
France	79.7	85.9
French Polynesia	75.4	79.7
Gabon	64.2	68.3
Gambia, The	60.4	63.2
Georgia	69.2	78
Germany	78.6	83.3
Ghana	62.7	64.9
Gibraltar	..	..
Greece	79.3	84.4
Greenland	68.8	73
Grenada	70.1	74.9
Guam	76.6	83.4
Guatemala	71.1	76.9
Guinea	60.5	61.7
Guinea-Bissau	56	59.9
Guyana	66.8	73
Haiti	61.5	65.8
Honduras	72.8	77.4
Hungary	72.7	79.6
Iceland	81.3	84.5
India	68.2	70.7
Indonesia	69.4	73.7
Iran, Islamic Rep.	75.4	77.7
Iraq	68.4	72.5
Ireland	80.5	84.1
Isle of Man	..	..
Israel	80.9	84.8
Italy	81.2	85.6
Jamaica	72.8	76
Japan	81.3	87.3
Jordan	72.7	76.2
Kazakhstan	68.8	77.2
Kenya	64	68.7
Kiribati	64	72.1
Korea, Dem. Peopleâ€™s Rep.	68.4	75.5
Korea, Rep.	79.7	85.7
Kosovo	70	74.5
Kuwait	74.7	76.5
Kyrgyz Republic	67.4	75.6
Lao PDR	65.8	69.4
Latvia	70.1	79.7
Lebanon	77.1	80.8
Lesotho	50.6	57
Liberia	62.3	65.1
Libya	69.9	75.8
Liechtenstein	80.7	85.5
Lithuania	70.9	80.7
Luxembourg	80.1	84.6
North Macedonia	73.7	77.7
Madagascar	65.1	68.3
Malawi	60.7	66.9
Malaysia	74.1	78.2
Maldives	77.2	80.5
Mali	58.1	59.6
