Country	Received	Paid
Afghanistan	804	235
Albania	1458	115
Algeria	1792	69
American Samoa	..	..
Andorra	..	..
Angola	2	682
Antigua and Barbuda	25	57
Argentina	516	969
Armenia	1488	341
Aruba	37,00	112,00
Australia	1.861,00	7.195,00
Austria	3.139,00	5.759,00
Azerbaijan	1226	580
Bahamas, The	..	211,00
Bahrain	..	3.269,00
Bangladesh	15.562,00	58,00
Barbados	108,00	52,00
Belarus	1445	158
Belgium	12.316,00	5.581,00
Belize	93	43
Benin	199	94
Bermuda	1.444,00	198,00
Bhutan	58	58
Bolivia	1.388,00	252,00
Bosnia and Herzegovina	2122	84
Botswana	32	85
Brazil	2933	2253
Brunei Darussalam	..	..
Bulgaria	2.395,00	221,00
Burkina Faso	456	209
Burundi	48	19
Cabo Verde	233	41
Cambodia	1433	258
Cameroon	334	89
Canada	1.352,00	6.629,00
Cayman Islands	16,00	396,00
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	66,00	572,00
China	24306	16548
Hong Kong SAR, China	425,00	934,00
Macao SAR, China	23,00	1.537,00
Colombia	6360	313
Comoros	163	2
Congo, Dem. Rep.	1823	914
Congo, Rep.	8	402
Costa Rica	534	507
Cote d'Ivoire	332	919
Croatia	3.808,00	533,00
Cuba	..	..
Curacao	155,00	140,00
Cyprus	498,00	811,00
Czech Republic	3.913,00	2.758,00
Denmark	1.376,00	3.392,00
Djibouti	60	..
Dominica	49	10
Dominican Republic	6.814,00	736,00
Ecuador	3039	467
Egypt, Arab Rep.	25.516,00	515,00
El Salvador	5388	190
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	566,00	234,00
Eswatini	126	24
Ethiopia	436,00	9,00
Faroe Islands	158	..
Fiji	285,00	16,00
Finland	950,00	1.011,00
France	27.010,00	15.178,00
French Polynesia	582,00	23,00
Gabon	18	..
Gambia, The	204	18
Georgia	2.034,00	151,00
Germany	17024	24322
Ghana	3.521,00	956,00
Greece	490,00	2.287,00
Greenland	..	..
Grenada	48,00	55,00
Guam	..	..
Guatemala	9438	19
Guinea	28	23
Guinea-Bissau	128	57
Guyana	334,00	142,00
Haiti	3142	309
Honduras	4.777,00	288,00
Hungary	4.235,00	1.150,00
Iceland	169	347
India	78790	6782
Indonesia	11215	5148
Iran, Islamic Rep.	1330	..
Iraq	742,00	500,00
Ireland	624,00	1.659,00
Isle of Man	..	..
Israel	940,00	5.991,00
Italy	9950	9907
Jamaica	2.502,00	309,00
Japan	4369	6151
Jordan	4470	637
Kazakhstan	618	2680
Kenya	2.719,00	20,00
Kiribati	20	1
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	7125	13531
Kosovo	1.236,00	59,00
Kuwait	28	14347
Kyrgyz Republic	2689	560
Lao PDR	239,00	124,00
Latvia	1237	495
Lebanon	6940	4840
Lesotho	629	0
Liberia	460,00	339,00
Libya	..	744,00
Liechtenstein	..	..
Lithuania	1.387,00	617,00
Luxembourg	2063	14116
North Macedonia	344	25
Madagascar	426	74
Malawi	182	12
Malaysia	1686	10804
Maldives	4	532
Mali	1.022,00	207,00
Malta	276,00	512,00
Marshall Islands	31	24
Mauritania	60,00	27,00
Mauritius	245	643
Mexico	35.768,00	1.000,00
Micronesia, Fed. Sts.	23	..
Moldova	1.838,00	165,00
Monaco	..	..
Mongolia	441	217
Montenegro	589	111
Morocco	6919	138
Mozambique	296	209
Myanmar	2840	151
Namibia	54,00	58,00
Nepal	8.294,00	49,00
Netherlands	2.492,00	13.253,00
New Caledonia	621,00	60,00
New Zealand	453,00	844,00
Nicaragua	1505	2
Niger	297	184
Nigeria	24.311,00	68,00
Northern Mariana Islands	..	..
Norway	644,00	4.411,00
Oman	39	9958
Pakistan	21.193,00	130,00
Palau	2	21
Panama	538	797
Papua New Guinea	4	92
Paraguay	683,00	..
Peru	3225	..
Philippines	33.809,00	259,00
Poland	7.112,00	7.116,00
Portugal	545,00	262,00
Puerto Rico	..	..
Qatar	467,00	11.558,00
Romania	6.984,00	435,00
Russian Federation	9287	22308
Rwanda	261	143
Samoa	147,00	17,00
San Marino	..	..
Sao Tome and Principe	18,00	0,00
Saudi Arabia	335	33882
Senegal	2428	592
Serbia	4.446,00	297,00
Seychelles	23	70
Sierra Leone	62,00	7,00
Singapore	..	..
Sint Maarten (Dutch part)	51,00	94,00
Slovak Republic	2.114,00	385,00
