Country	Most recent year	Tariff
Afghanistan	..	7
Albania	2017	1.2
Algeria	..	12.3
American Samoa	..	..
Andorra	..	..
Angola	2016	10.9
Antigua and Barbuda	2017	11.6
Argentina	2017	12.7
Armenia	2017	4.6
Aruba	..	10
Australia	2017	2.2
Austria	2017	2.4
Azerbaijan	..	8.5
Bahamas, The	..	26.8
Bahrain	2017	4.1
Bangladesh	2016	13
Barbados	2013	12.6
Belarus	..	4.9
Belgium	2017	2.4
Belize	2017	11.1
Benin	2017	13.6
Bermuda	..	19.9
Bhutan	..	12.2
Bolivia	2017	10.3
Bosnia and Herzegovina	..	2.9
Botswana	2017	4.1
Brazil	2017	13.4
Brunei Darussalam	2017	0.2
Bulgaria	2017	2.4
Burkina Faso	2017	12.4
Burundi	2016	10.4
Cabo Verde	2015	14.8
Cambodia	2016	12.5
Cameroon	2014	18.9
Canada	2017	2
Cayman Islands	..	23
Central African Republic	2017	16
Chad	2016	18.2
Channel Islands	..	..
Chile	2017	1
China	2017	8.5
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	4.4
Comoros	..	10.8
Congo, Dem. Rep.	2014	11.7
Congo, Rep.	2015	12.9
Costa Rica	2016	3.8
Cote d'Ivoire	2017	12.8
Croatia	2017	2.4
Cuba	2017	10
Curacao	..	..
Czech Republic	2017	2.4
Denmark	2017	2.4
Djibouti	2014	18.9
Dominica	2017	10.4
Dominican Republic	2017	6.3
Ecuador	2017	9.4
Egypt, Arab Rep.	2017	10.1
El Salvador	2017	3.7
Equatorial Guinea	..	18.7
Eritrea	..	9.6
Estonia	2017	2.4
Ethiopia	..	17.9
Faroe Islands	..	..
Fiji	2017	14.2
Finland	2017	2.4
France	2017	2.4
French Polynesia	..	6.6
Gabon	2016	18.9
Gambia, The	2013	15.6
Georgia	2016	1.2
Germany	2017	2.4
Ghana	2017	12.3
Greece	2017	2.4
Greenland	..	..
Grenada	2016	10.8
Guam	..	..
Guatemala	2015	3.3
Guinea	2017	13.3
Guinea-Bissau	2017	14.4
Guyana	2017	9.8
Haiti	2016	6.3
Honduras	2015	4.3
Hungary	2017	2.4
Iceland	2017	1.3
India	2017	8.9
Indonesia	2017	5.9
Iran, Islamic Rep.	..	20.9
Iraq	..	..
Ireland	2017	2.4
Isle of Man	..	..
Israel	2017	1.9
Italy	2017	2.4
Jamaica	2016	10.3
Japan	2017	3.7
Jordan	2017	4.8
Kazakhstan	2017	4.8
Kenya	2016	12.1
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	5.4
Kosovo	..	..
Kuwait	2017	3.9
Kyrgyz Republic	2017	4.1
Lao PDR	2017	2
Latvia	2017	2.4
Lebanon	..	3.5
Lesotho	2017	2.4
Liberia	..	9.7
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	2.4
Luxembourg	2017	2.4
North Macedonia	2017	3.4
Madagascar	2017	6.9
Malawi	2016	9.2
Malaysia	2016	6.2
Maldives	2017	11.1
Mali	2017	12.8
Malta	2017	2.4
Marshall Islands	..	..
Mauritania	2015	12.4
Mauritius	2017	1.3
Mexico	2017	3
Micronesia, Fed. Sts.	..	..
Moldova	2016	5.3
Monaco	..	..
Mongolia	2017	5.1
Montenegro	2017	1.8
Morocco	2017	4.3
Mozambique	2016	7.2
Myanmar	2015	2.1
Namibia	2017	6.1
Nepal	2016	12.7
Netherlands	2017	2.4
New Caledonia	..	..
New Zealand	2017	2.1
