Country	Goveernment % (2010)	Goveernment % (2018)
Afghanistan	31.4	18.5
Albania	5.1	3.9
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	8.5	3.8
Antigua and Barbuda	..	..
Argentina	..	0.5
Armenia	5.5	3.3
Aruba	..	..
Australia	0	0
Austria	1.9	1.7
Azerbaijan	10.5	12.1
Bahamas, The	1.5	1.9
Bahrain	..	..
Bangladesh	1.7	2.4
Barbados	0.6	0.9
Belarus	1.6	0.8
Belgium	0.3	0.2
Belize	3.8	..
Benin	..	..
Bermuda	..	..
Bhutan	13.5	11.2
Bolivia	3	..
Bosnia and Herzegovina	1.6	1.8
Botswana	11.1	7.5
Brazil	0.8	0.3
Brunei Darussalam	..	..
Bulgaria	3.2	1.5
Burkina Faso	11	6.9
Burundi	..	..
Cabo Verde	9.8	..
Cambodia	9.4	7.2
Cameroon	..	..
Canada	0.6	0.5
Cayman Islands	..	..
Central African Republic	7.1	..
Chad	..	..
Channel Islands	..	..
Chile	2.1	2.1
China	0.1	0
Hong Kong SAR, China	..	..
Macao SAR, China	2.4	2.5
Colombia	1.5	-0.5
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	9.1	10.7
Costa Rica	1.5	..
Cote d'Ivoire	2.8	2.6
Croatia	0.8	..
Cuba	..	..
Curacao	..	..
Cyprus	3.5	2
Czech Republic	2.5	1.8
Denmark	1.8	2.2
Djibouti	..	..
Dominica	..	..
Dominican Republic	3	1.8
Ecuador	..	..
Egypt, Arab Rep.	4	2.5
El Salvador	1.5	1.3
Equatorial Guinea	25.6	21.1
Eritrea	..	..
Estonia	2.2	3.4
Eswatini	..	..
Ethiopia	5.9	..
Faroe Islands	..	..
Fiji	3.2	3.1
Finland	1.6	1.5
France	1.9	1.5
French Polynesia	..	..
Gabon	..	..
Gambia, The	4.9	..
Georgia	4	1.2
Germany	0.5	0.7
Ghana	6.3	6.8
Greece	2.8	2.9
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	1.8	0.3
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	2.2	2.1
Hungary	1.5	2
Iceland	1.4	1.8
India	0.2	..
Indonesia	1.2	1.2
Iran, Islamic Rep.	5.3	..
Iraq	..	7.7
Ireland	1.5	1.5
Isle of Man	..	..
Israel	0.4	0.5
Italy	1.3	1
Jamaica	4.8	2.4
Japan	1.2	1.1
Jordan	2.9	2.2
Kazakhstan	1.4	1.2
Kenya	..	4.6
Kiribati	2	6
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1	1.5
Kosovo	..	..
Kuwait	6.2	7.6
Kyrgyz Republic	4.5	6.9
Lao PDR	..	..
Latvia	2.2	3.6
Lebanon	1.8	1.7
Lesotho	12.1	10.2
Liberia	1.3	..
Libya	..	..
Liechtenstein	..	..
Lithuania	2.6	2
Luxembourg	3.3	2.5
Madagascar	4.4	4.4
Malawi	6	5.9
Malaysia	6.2	3.3
Maldives	7.6	..
Mali	7.1	9.2
Malta	2.1	2.3
Marshall Islands	10.2	3.1
Mauritania	..	..
Mauritius	3	1.4
Mexico	0.7	0.5
Micronesia, Fed. Sts.	18.6	11.5
Moldova	1.6	1.9
Monaco	..	..
Mongolia	5.2	7.9
Montenegro	..	..
Morocco	3.8	5.7
Mozambique	6.7	..
Myanmar	7.6	5.4
Namibia	4.5	4
Nepal	3.9	7.8
Netherlands	1.8	1.5
New Caledonia	..	..
New Zealand	2	2
Nicaragua	2	2.7
Niger	..	..
Nigeria	..	..
North Macedonia	1.7	1.9
Northern Mariana Islands	..	..
Norway	2.2	3
Oman	..	..
Pakistan	2.2	..
Palau	11	5.6
Panama	..	..
Papua New Guinea	..	2.5
Paraguay	1.7	2.8
Peru	2.1	1
Philippines	2.4	3.3
Poland	2.8	2.1
Portugal	3.6	0.7
Puerto Rico	..	..
Qatar	..	..
Romania	3.6	1.8
Russian Federation	3.1	2.5
Rwanda	..	9.2
Samoa	..	..
San Marino	2.2	..
Sao Tome and Principe	..	..
Saudi Arabia	8.6	5.5
Senegal	..	6.9
Serbia	1.7	..
Seychelles	4	4.8
Sierra Leone	..	..
Singapore	-3.1	-1
Sint Maarten (Dutch part)	..	..
Slovak Republic	2.2	2.8
Slovenia	2.5	1.8
Solomon Islands	1.9	11.1
Somalia	..	..
South Africa	0.7	0.9
South Sudan	..	..
Spain	1.4	0.6
Sri Lanka	2.5	2.7
St. Kitts and Nevis	3.8	..
St. Lucia	3.4	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	4.2	..
Sudan	..	..
Suriname	..	..
Sweden	2.6	2.1
Switzerland	0.9	0.9
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	2.5	0.2
Thailand	2.7	1.5
Timor-Leste	32.1	39.9
Togo	5.9	12.5
Tonga	8.2	9.4
Trinidad and Tobago	3.7	..
Tunisia	2.4	..
Turkey	1.9	4.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	3.6
Ukraine	0.6	0.6
United Arab Emirates	0.4	0.6
United Kingdom	2	1.6
United States	1.9	1.3
Uruguay	1.4	1.4
Uzbekistan	1.6	2
Vanuatu	4.9	3.5
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0.1	0.3
Yemen, Rep.	..	..
Zambia	3.1	1.5
Zimbabwe	0.6	..
World	1.7	1.4
East Asia & Pacific	0.9	0.8
Europe & Central Asia	1.7	1.5
Latin America & Caribbean	1	0.5
Middle East & North Africa	..	..
North America	1.8	1.3
South Asia	0.8	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	1.6	..
Upper middle income	0.9	1.1
High income	1.6	1.3
