Country	Most recent year	Tariff
Afghanistan	..	13.37
Albania	2017	6.84
Algeria	..	46.28
American Samoa	..	..
Andorra	..	..
Angola	2016	21.9
Antigua and Barbuda	2017	50.28
Argentina	2017	24.95
Armenia	2017	3.61
Aruba	..	11.57
Australia	2017	0.05
Austria	2017	5.45
Azerbaijan	..	47.88
Bahamas, The	..	60.83
Bahrain	2017	0.15
Bangladesh	2016	39.26
Barbados	2013	46.81
Belarus	..	3.67
Belgium	2017	5.45
Belize	2017	40.08
Benin	2017	47.04
Bermuda	..	62.85
Bhutan	..	32.8
Bolivia	2017	20.1
Bosnia and Herzegovina	..	7.4
Botswana	2017	14.94
Brazil	2017	28.3
Brunei Darussalam	2017	0
Bulgaria	2017	5.45
Burkina Faso	2017	40.77
Burundi	2016	32.64
Cabo Verde	2015	43.47
Cambodia	2016	10.38
Cameroon	2014	54.07
Canada	2017	5.21
Cayman Islands	..	84.6
Central African Republic	2017	43.4
Chad	2016	49.65
Channel Islands	..	..
Chile	2017	0
China	2017	15.16
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	9.25
Comoros	..	44.2
Congo, Dem. Rep.	2014	32.85
Congo, Rep.	2015	44.08
Costa Rica	2016	0.3
Cote d'Ivoire	2017	43.23
Croatia	2017	5.45
Cuba	2017	28.49
Curacao	..	..
Czech Republic	2017	5.45
Denmark	2017	5.45
Djibouti	2014	61.83
Dominica	2017	35.78
Dominican Republic	2017	22.25
Ecuador	2017	25.35
Egypt, Arab Rep.	2017	11.26
El Salvador	2017	13.22
Equatorial Guinea	..	54.02
Eritrea	..	22.4
Estonia	2017	5.45
Ethiopia	..	54.94
Faroe Islands	..	..
Fiji	2017	41.36
Finland	2017	5.45
France	2017	5.45
French Polynesia	..	1.23
Gabon	2016	53.4
Gambia, The	2013	72.35
Georgia	2016	0.03
Germany	2017	5.45
Ghana	2017	43.2
Greece	2017	5.45
Greenland	..	..
Grenada	2016	44.6
Guam	..	..
Guatemala	2015	11.18
Guinea	2017	45.43
Guinea-Bissau	2017	50.59
Guyana	2017	36.94
Haiti	2016	16.55
Honduras	2015	14.73
Hungary	2017	5.45
Iceland	2017	3.31
India	2017	8.29
Indonesia	2017	12.3
Iran, Islamic Rep.	..	54.04
Iraq	..	..
Ireland	2017	5.45
Isle of Man	..	..
Israel	2017	1.56
Italy	2017	5.45
Jamaica	2016	42.11
Japan	2017	10.99
Jordan	2017	14.25
Kazakhstan	2017	4.31
Kenya	2016	37.48
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	3.97
Kosovo	..	..
Kuwait	2017	0.03
Kyrgyz Republic	2017	2.73
Lao PDR	2017	2.23
Latvia	2017	5.45
Lebanon	..	8.8
Lesotho	2017	10.11
Liberia	..	30.81
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	5.45
Luxembourg	2017	5.45
North Macedonia	2017	15.67
Madagascar	2017	24.91
Malawi	2016	30.41
Malaysia	2016	16.64
Maldives	2017	38.73
Mali	2017	43.58
Malta	2017	5.45
Marshall Islands	..	..
Mauritania	2015	40.39
Mauritius	2017	8.42
Mexico	2017	8.87
Micronesia, Fed. Sts.	..	..
Moldova	2016	9.29
Monaco	..	..
Mongolia	2017	2.79
Montenegro	2017	4.46
Morocco	2017	16.68
Mozambique	2016	23.17
Myanmar	2015	5.7
Namibia	2017	22.15
Nepal	2016	48.12
Netherlands	2017	5.45
New Caledonia	..	..
New Zealand	2017	0.02
Nicaragua	2017	13.35
Niger	2017	46.37
Nigeria	2016	36.36
Northern Mariana Islands	..	..
Norway	2017	6.41
Oman	2017	0.36
Pakistan	2016	49.35
Palau	..	3.18
Panama	2015	0.62
Papua New Guinea	2013	15.81
Paraguay	2017	17.89
Peru	2017	0
Philippines	2017	11.29
Poland	2017	5.45
Portugal	2017	5.45
Puerto Rico	..	..
Qatar	2017	0.09
Romania	2017	5.45
Russian Federation	2017	3.61
Rwanda	2016	36.16
Samoa	2017	34.98
San Marino	..	..
Sao Tome and Principe	..	12.3
Saudi Arabia	2017	0.27
Senegal	2017	45.4
Serbia	..	..
Seychelles	2017	11.61
Sierra Leone	2012	49.87
Singapore	2017	0.07
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	5.45
Slovenia	2017	5.45
Solomon Islands	2017	3.48
Somalia	..	..
South Africa	2017	23.1
South Sudan	..	..
Spain	2017	5.45
Sri Lanka	2017	42.09
St. Kitts and Nevis	2017	41.7
St. Lucia	2016	38.01
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	35.31
Sudan	..	26.61
Suriname	2013	35.06
Eswatini	2017	12.15
Sweden	2017	5.45
Switzerland	2017	10.35
Syrian Arab Republic	..	34.38
Tajikistan	2017	10.81
Tanzania	2016	37.53
Thailand	2015	16.7
Timor-Leste	..	0
Togo	2017	45.41
Tonga	2017	64.28
Trinidad and Tobago	2013	36.22
Tunisia	2016	53.05
Turkey	2017	5.39
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	43.04
Uganda	2016	36.33
Ukraine	2017	1.51
United Arab Emirates	2017	0.25
United Kingdom	2017	5.45
United States	2017	5.99
Uruguay	2017	32.32
Uzbekistan	..	23.76
Vanuatu	2017	43.26
Venezuela, RB	2017	27.56
