Country	Exports (2007)	Exports (2017)
East Asia & Pacific (excluding high income)	75.9	66.5
American Samoa	45.5	46.5
Cambodia	95.2	82.5
China	79.2	69.9
Fiji	82.9	72.9
Indonesia	68.8	51.2
Kiribati	91.7	16
Korea, Dem. Peopleâ€™s Rep.	5.3	1.1
Lao PDR	28.6	13.2
Malaysia	70.8	59
Marshall Islands	98	79
Micronesia, Fed. Sts.	89.4	21.1
Mongolia	23.7	13.5
Myanmar	37.9	29.4
Palau	87.8	90.8
Papua New Guinea	86.5	74.8
Philippines	76.7	76.3
Samoa	94.1	58.6
Solomon Islands	26.8	21.4
Thailand	64.4	53.9
Timor-Leste	74.9	61.4
Tonga	89.6	86.7
Tuvalu	17.4	46.2
Vanuatu	72.8	38.5
Vietnam	73.2	65.4
Europe & Central Asia (excluding high income)	61.9	58.7
Albania	88.8	77.1
Armenia	59.7	35.9
Azerbaijan	43.3	66.9
Belarus	45.8	28.8
Bosnia and Herzegovina	76.5	72.5
Bulgaria	64.6	60.9
Georgia	38.1	25.3
Kazakhstan	60.8	61.6
Kosovo	34.4	30.3
Kyrgyz Republic	12	43.7
Lithuania	72.2	69.9
North Macedonia	64.8	74.6
Moldova	36.6	41.8
Montenegro	71	44.6
Romania	76.8	78.5
Russian Federation	66.3	58.2
Serbia	56.6	63.8
Tajikistan	44.8	14.1
Turkey	65.7	63.7
Turkmenistan	10.5	3.3
Ukraine	34.2	46
Uzbekistan	9.1	4.7
Latin America & Caribbean (excluding high income)	72.7	69.2
Antigua and Barbuda	48.9	71.4
Argentina	41.9	39.7
Belize	79	85.9
Bolivia	37.9	42.1
Brazil	57.8	45.1
Chile	59.1	48.7
Colombia	61.9	64
Costa Rica	67.4	72.6
Cuba	32.5	43.2
Dominica	54.6	75.6
Dominican Republic	78.9	71.6
Ecuador	67.1	64.3
El Salvador	60.4	53.3
Grenada	63.5	57.1
Guatemala	56.7	54.4
Guyana	82.5	81.4
Haiti	85.8	91
Honduras	67.9	72.8
Jamaica	87	82.9
Mexico	92.9	92
Nicaragua	55.2	62
Panama	74.7	57.8
Paraguay	21.8	30.7
Peru	72.5	54.6
St. Kitts and Nevis	81.9	79.4
St. Lucia	82.2	78.1
St. Vincent and the Grenadines	59.1	31.4
Suriname	93.3	86.8
Uruguay	41.3	23.3
Venezuela, RB	66.6	47.4
Middle East & North Africa (excluding high income)	67.7	58.2
Algeria	85.8	74.5
Djibouti	23.5	32
Egypt, Arab Rep.	47.4	67.7
Iran, Islamic Rep.	53.5	38.9
Iraq	74.9	52
Jordan	49.8	58.3
Lebanon	54.9	41.2
Libya	85.5	78.5
Morocco	81.1	73.4
Syrian Arab Republic	56.5	25.3
Tunisia	85.4	79.6
West Bank and Gaza	94	91.3
Yemen, Rep.	34.8	32.6
South Asia	66.2	64.3
Afghanistan	15.9	4.1
Bangladesh	77.8	71.5
Bhutan	12.6	3.5
India	64.9	63.6
Maldives	40.1	44.4
Nepal	24.1	29.4
Pakistan	72.5	64.1
Sri Lanka	70.4	72
Sub-Saharan Africa (excluding high income)	61.8	42.5
Angola	28.9	21
Benin	13.1	13.5
Botswana	79.8	64.7
Burkina Faso	66.6	74.9
Burundi	57.5	54.3
Cabo Verde	84	95
Cameroon	71.9	57.8
Central African Republic	81.5	66.8
Chad	95.2	66.6
Comoros	74.2	66.4
Congo, Dem. Rep.	20.3	20.3
Congo, Rep.	33	33.5
Cote d'Ivoire	57.2	56.3
Eritrea	48.3	30.3
Ethiopia	68.8	50.6
Gabon	79	52.1
Gambia, The	60.4	14.3
Ghana	43.7	42.6
Guinea	71.5	18.8
Guinea-Bissau	16.3	1.3
Kenya	43.2	41.3
Lesotho	24.1	65.5
Liberia	95.2	95.2
Madagascar	76.8	78.6
Malawi	49	52
Mali	11.5	26.6
Mauritania	66.2	49.3
Mauritius	86.6	72.3
Mozambique	69.3	35.1
Namibia	55.2	43.5
Niger	79	49.2
Nigeria	68.3	43.2
Rwanda	60.1	68.8
Sao Tome and Principe	49.2	92
Senegal	33.3	37.5
Seychelles	97.7	90.8
Sierra Leone	59.7	38.7
Somalia	37.1	74.1
South Africa	70.7	46.1
Sudan	97.6	75.1
Eswatini	65.4	4.9
Tanzania	53.2	24.8
Togo	7.3	16.6
Uganda	49.7	39.8
Zambia	57.5	59.8
Zimbabwe	25.8	9.9
