Country	Total
Afghanistan	4.3
Albania	0.8
Algeria	1.3
American Samoa	..
Andorra	..
Angola	3.6
Antigua and Barbuda	..
Argentina	1.3
Armenia	0.4
Aruba	..
Australia	1.6
Austria	0.9
Azerbaijan	1.7
Bahamas, The	1.8
Bahrain	3.6
Bangladesh	2.3
Barbados	0.2
Belarus	0
Belgium	0.7
Belize	3.4
Benin	3
Bermuda	..
Bhutan	1.5
Bolivia	2.1
Bosnia and Herzegovina	-0.8
Botswana	3.1
Brazil	1.1
Brunei Darussalam	1.5
Bulgaria	-0.6
Burkina Faso	2.5
Burundi	3.2
Cabo Verde	2.3
Cambodia	2
Cameroon	2.7
Canada	0.9
Cayman Islands	..
Central African Republic	0.7
Chad	3.5
Channel Islands	0.8
Chile	2
China	0.1
Hong Kong SAR, China	0.8
Macao SAR, China	2.1
Colombia	2.1
Comoros	3
Congo, Dem. Rep.	2.7
Congo, Rep.	2.6
Costa Rica	1.7
Cote d'Ivoire	2.1
Croatia	-0.8
Cuba	0
Curacao	..
Cyprus	1
Czech Republic	0.4
Denmark	0.2
Djibouti	2.2
Dominica	..
Dominican Republic	3.1
Ecuador	2.5
Egypt, Arab Rep.	1.4
El Salvador	0.8
Equatorial Guinea	4.5
Eritrea	..
Estonia	0.2
Eswatini	1.5
Ethiopia	3.4
Faroe Islands	..
Fiji	-0.2
Finland	0.2
France	0.3
French Polynesia	0.6
Gabon	4.2
Gambia, The	3.4
Georgia	0
Germany	0.4
Ghana	2.3
Greece	-0.5
Greenland	..
Grenada	..
Guam	0.6
Guatemala	2.8
Guinea	2.6
Guinea-Bissau	2.8
Guyana	1.2
Haiti	2.3
Honduras	3.9
Hungary	1.2
Iceland	1.4
India	0.7
Indonesia	1.8
Iran, Islamic Rep.	1.6
Iraq	4
Ireland	0.4
Isle of Man	..
Israel	2.1
Italy	0.7
Jamaica	1.5
Japan	0.2
Jordan	3.8
Kazakhstan	0.6
Kenya	4
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	0.8
Korea, Rep.	1.4
Kosovo	..
Kuwait	5.4
Kyrgyz Republic	0.7
Lao PDR	2.4
Latvia	-1.1
Lebanon	4
Lesotho	1
Liberia	3.3
Libya	1.4
Liechtenstein	..
Lithuania	-0.4
Luxembourg	2.8
Madagascar	3
Malawi	3.2
Malaysia	2.8
Maldives	6.4
Mali	3
Malta	3.5
Marshall Islands	..
Mauritania	3
Mauritius	1
Mexico	1.8
Micronesia, Fed. Sts.	..
Moldova	-0.3
Monaco	..
Mongolia	1.5
Montenegro	1.5
Morocco	0.6
Mozambique	2.4
Myanmar	0.4
Namibia	2.3
Nepal	1.6
Netherlands	0.5
New Caledonia	1.6
New Zealand	1.9
Nicaragua	2.3
Niger	2.8
Nigeria	1.3
North Macedonia	0.3
Northern Mariana Islands	..
Norway	0.8
Oman	8.4
Pakistan	2.9
Palau	..
Panama	2.4
Papua New Guinea	1.8
Paraguay	2.1
Peru	1.8
Philippines	1.7
Poland	0.3
Portugal	-0.5
Puerto Rico	-2.6
Qatar	5.9
Romania	-0.2
Russian Federation	-0.3
Rwanda	2.7
Samoa	0.6
San Marino	..
Sao Tome and Principe	2.2
Saudi Arabia	4.5
Senegal	2.1
Serbia	0.4
Seychelles	..
Sierra Leone	2
Singapore	2.1
Sint Maarten (Dutch part)	..
Slovak Republic	0.3
Slovenia	-0.1
Solomon Islands	2.7
Somalia	3.1
South Africa	2
South Sudan	2.2
Spain	-0.1
Sri Lanka	0.7
St. Kitts and Nevis	..
St. Lucia	1.6
St. Martin (French part)	..
St. Vincent and the Grenadines	0.7
Sudan	2.6
Suriname	1.4
Sweden	1.1
Switzerland	1.1
Syrian Arab Republic	-1.1
Tajikistan	1.9
Tanzania	2.7
Thailand	-0.1
Timor-Leste	3.1
Togo	2.6
Tonga	0.2
Trinidad and Tobago	0.1
Tunisia	1
Turkey	3.4
Turkmenistan	1.8
Turks and Caicos Islands	..
Tuvalu	..
Uganda	3.8
Ukraine	-0.7
United Arab Emirates	2
United Kingdom	0.8
United States	0.6
Uruguay	0.3
Uzbekistan	2.4
Vanuatu	2.6
Venezuela, RB	0
Vietnam	1.4
Virgin Islands (U.S.)	-0.5
West Bank and Gaza	4.3
Yemen, Rep.	2.8
Zambia	3.1
Zimbabwe	1.5
World	1
East Asia & Pacific	0.5
Europe & Central Asia	0.5
Latin America & Caribbean	1.5
Middle East & North Africa	2.1
North America	0.6
South Asia	1.1
Sub-Saharan Africa	2.6
Low income	2.7
Lower middle income	1.3
Upper middle income	0.7
High income	0.7
