Country	Population (2000)	Population (2016)
Afghanistan	8.8	32.4
Albania	39.8	77.4
Algeria	86.5	92.6
American Samoa	..	..
Andorra	100	100
Angola	37.3	48.1
Antigua and Barbuda	96.7	98.8
Argentina	94.8	98.4
Armenia	82	96.9
Aruba	..	..
Australia	100	100
Austria	100	100
Azerbaijan	73.2	95.5
Bahamas, The	100	100
Bahrain	100	100
Bangladesh	7.2	17.7
Barbados	97.4	99.4
Belarus	93.7	98.2
Belgium	100	100
Belize	78.2	85.4
Benin	1.8	6.4
Bermuda	..	..
Bhutan	31.7	52.5
Bolivia	65.3	64
Bosnia and Herzegovina	38.1	63.4
Botswana	45.1	64.1
Brazil	86.9	95.6
Brunei Darussalam	100	100
Bulgaria	65	88.7
Burkina Faso	2.8	8.9
Burundi	0.6	0.8
Cabo Verde	56.8	71.1
Cambodia	4.7	17.7
Cameroon	9.9	23
Canada	100	100
Cayman Islands	..	..
Central African Republic	0.6	1
Chad	3.3	3.1
Channel Islands	..	..
Chile	86.1	92.3
China	46.8	59.3
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	79.6	91.8
Comoros	0.6	9.3
Congo, Dem. Rep.	3.6	4
Congo, Rep.	10	24.1
Costa Rica	87.8	93.5
Cote d'Ivoire	18.4	18.2
Croatia	80.4	92.7
Cuba	68.3	79.4
Curacao	..	..
Cyprus	100	100
Czech Republic	93.2	97.1
Denmark	100	100
Djibouti	5.3	11.5
Dominica	78.4	90.6
Dominican Republic	80.2	90.4
Ecuador	87.2	95.6
Egypt, Arab Rep.	83.3	97.6
El Salvador	56.5	86
Equatorial Guinea	23	34.4
Eritrea	6.1	16.3
Estonia	79.4	92.9
Eswatini	27.2	49.7
Ethiopia	1.1	3.5
Faroe Islands	..	..
Fiji	31.1	39.6
Finland	100	100
France	100	100
French Polynesia	..	..
Gabon	58.7	79.1
Gambia, The	3.2	3.3
Georgia	41.2	77.8
Germany	100	100
Ghana	5.9	21.7
Greece	88.2	94.3
Greenland	..	..
Grenada	92.9	96.6
Guam	..	..
Guatemala	39.3	45.2
Guinea	1.2	1.2
Guinea-Bissau	1.4	1.5
Guyana	36.3	74.5
Haiti	3.2	4.3
Honduras	29.9	53.1
Hungary	100	100
Iceland	100	100
India	22.2	41
Indonesia	5.4	58.4
Iran, Islamic Rep.	85.7	98.5
Iraq	75	97.6
Ireland	100	100
Isle of Man	..	..
Israel	100	100
Italy	100	100
Jamaica	73.2	90.5
Japan	100	100
Jordan	97.3	99.1
Kazakhstan	82.9	95.3
Kenya	2	13.4
Kiribati	2.3	5.5
Korea, Dem. Peopleâ€™s Rep.	3.1	10.8
Korea, Rep.	96.2	96.7
Kosovo	..	..
Kuwait	100	100
Kyrgyz Republic	51.7	81.3
Lao PDR	4	5.6
Latvia	85.9	95.3
Lebanon	..	..
Lesotho	18.1	35.6
Liberia	0.6	0.7
Libya	..	..
Liechtenstein	..	..
Lithuania	100	100
Luxembourg	100	100
North Macedonia	43.9	65.6
Madagascar	1.1	0.9
Malawi	1.8	2.5
Malaysia	94.5	96.3
Maldives	32.2	93.8
Mali	1.3	1
Malta	100	100
Marshall Islands	13.2	65.4
Mauritania	29	46.6
Mauritius	87.4	93.3
Mexico	80.7	85.4
Micronesia, Fed. Sts.	10.9	12
Moldova	68.3	92.2
Monaco	100	100
Mongolia	21.8	42.8
Montenegro	55	69.4
Morocco	89.7	96.8
Mozambique	3.1	3.7
Myanmar	4.7	18.4
Namibia	32.5	42.2
Nepal	14.9	27.6
Netherlands	100	100
New Caledonia	..	..
New Zealand	100	100
Nicaragua	34.1	52.3
Niger	1	1.9
Nigeria	0.8	4.9
Northern Mariana Islands	..	..
Norway	100	100
Oman	84.6	95.2
Pakistan	22.6	43.3
Palau	64.4	86.9
Panama	78.7	89
Papua New Guinea	6.8	13.4
Paraguay	44.5	66.2
Peru	35.3	75.1
Philippines	36.3	43.2
Poland	100	100
Portugal	100	100
Puerto Rico	..	..
Qatar	92.1	98.5
Romania	64.5	85.9
Russian Federation	92.7	98.3
Rwanda	0.3	0.6
Samoa	20.2	32.3
San Marino	100	100
Sao Tome and Principe	17.7	16.8
Saudi Arabia	94.9	96
Senegal	31.8	31.7
Serbia	52	76.4
Seychelles	76.8	90.4
Sierra Leone	0.1	1
Singapore	100	100
Sint Maarten (Dutch part)	..	..
Slovak Republic	93.8	96.6
Slovenia	88.9	96.2
Solomon Islands	6.3	8.5
Somalia	0.6	2.3
South Africa	56.4	84.8
South Sudan	0.5	0.6
Spain	100	100
Sri Lanka	15.6	26.3
St. Kitts and Nevis	100	100
St. Lucia	86.3	97.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	95.4	96
Sudan	14.2	41.3
Suriname	79.9	89.6
Sweden	100	100
Switzerland	100	100
Syrian Arab Republic	97.2	99
Tajikistan	38.7	80.4
Tanzania	1.1	2.2
Thailand	68	74.4
Timor-Leste	2.3	6.9
Togo	0.3	6.7
Tonga	48	59.2
Trinidad and Tobago	98.7	99.3
Tunisia	93.3	99.1
Turkey	..	..
Turkmenistan	96.3	99.3
Turks and Caicos Islands	..	..
Tuvalu	18.6	50.4
Uganda	1	0.8
Ukraine	88.3	95.7
United Arab Emirates	96.6	98.5
United Kingdom	100	100
United States	100	100
Uruguay	96.1	98
Uzbekistan	79.6	92.1
