Country	Most recent year	Tariff
Afghanistan	..	..
Albania	2017	6.8
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	2016	59.1
Antigua and Barbuda	2017	58.8
Argentina	2017	31.7
Armenia	2017	8.7
Aruba	..	..
Australia	2017	9.6
Austria	2017	4.4
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	2017	34.7
Bangladesh	2016	158.1
Barbados	2013	78.2
Belarus	..	..
Belgium	2017	4.4
Belize	2017	59.3
Benin	2017	29.5
Bermuda	..	..
Bhutan	..	..
Bolivia	2017	40
Bosnia and Herzegovina	..	..
Botswana	2017	19
Brazil	2017	31.5
Brunei Darussalam	2017	24.3
Bulgaria	2017	4.4
Burkina Faso	2017	44.3
Burundi	2016	69
Cabo Verde	2015	16
Cambodia	2016	19.4
Cameroon	2014	79.9
Canada	2017	4.9
Cayman Islands	..	..
Central African Republic	2017	35.9
Chad	2016	79.9
Channel Islands	..	..
Chile	2017	25.2
China	2017	10
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	42.8
Comoros	..	..
Congo, Dem. Rep.	2014	96.1
Congo, Rep.	2015	27.5
Costa Rica	2016	43
Cote d'Ivoire	2017	11.2
Croatia	2017	4.4
Cuba	2017	21.6
Curacao	..	..
Czech Republic	2017	4.4
Denmark	2017	4.4
Djibouti	2014	41.3
Dominica	2017	58.7
Dominican Republic	2017	34.6
Ecuador	2017	21.8
Egypt, Arab Rep.	2017	36.5
El Salvador	2017	36.9
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	2017	4.4
Ethiopia	..	..
Faroe Islands	..	..
Fiji	2017	40.1
Finland	2017	4.4
France	2017	4.4
French Polynesia	..	..
Gabon	2016	22.8
Gambia, The	2013	102
Georgia	2016	7.1
Germany	2017	4.4
Ghana	2017	92.5
Greece	2017	4.4
Greenland	..	..
Grenada	2016	57.3
Guam	..	..
Guatemala	2015	41.6
Guinea	2017	20.9
Guinea-Bissau	2017	48.5
Guyana	2017	56.6
Haiti	2016	17.7
Honduras	2015	32.1
Hungary	2017	4.4
Iceland	2017	13.8
India	2017	52
Indonesia	2017	37.3
Iran, Islamic Rep.	..	..
Iraq	..	..
Ireland	2017	4.4
Isle of Man	..	..
Israel	2017	23.2
Italy	2017	4.4
Jamaica	2016	50.4
Japan	2017	3.1
Jordan	2017	16.4
Kazakhstan	2017	6
Kenya	2016	94.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	16.6
Kosovo	..	..
Kuwait	2017	98.3
Kyrgyz Republic	2017	7.6
Lao PDR	2017	19
Latvia	2017	4.4
Lebanon	..	..
Lesotho	2017	80.2
Liberia	..	..
Libya	..	..
Liechtenstein	2017	..
Lithuania	2017	4.4
Luxembourg	2017	4.4
North Macedonia	2017	6.9
Madagascar	2017	27.5
Malawi	2016	75.1
Malaysia	2016	14.6
Maldives	2017	36.6
Mali	2017	29.7
Malta	2017	4.4
Marshall Islands	..	..
Mauritania	2015	20.8
Mauritius	2017	85.9
Mexico	2017	35
Micronesia, Fed. Sts.	..	..
Moldova	2016	6.8
Monaco	..	..
Mongolia	2017	17.6
Montenegro	2017	5.3
Morocco	2017	41.3
Mozambique	2016	97.5
Myanmar	2015	83.8
Namibia	2017	19.4
Nepal	2016	26.3
Netherlands	2017	4.4
New Caledonia	..	..
New Zealand	2017	9.4
Nicaragua	2017	41.2
Niger	2017	45.2
Nigeria	2016	120.9
Northern Mariana Islands	..	..
Norway	2017	2.8
Oman	2017	14.1
Pakistan	2016	60.8
Palau	..	..
Panama	2015	22.9
Papua New Guinea	2013	33.8
Paraguay	2017	33.5
Peru	2017	29.5
Philippines	2017	25.8
Poland	2017	4.4
Portugal	2017	4.4
Puerto Rico	..	..
Qatar	2017	15.8
Romania	2017	4.4
Russian Federation	2017	7.4
Rwanda	2016	89.2
Samoa	2017	21.3
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	2017	10.7
Senegal	2017	30
Serbia	..	..
Seychelles	2017	9.4
Sierra Leone	2012	47.4
Singapore	2017	6.9
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	4.4
Slovenia	2017	4.4
Solomon Islands	2017	79.1
Somalia	..	..
South Africa	2017	19.4
South Sudan	..	..
Spain	2017	4.4
Sri Lanka	2017	31.7
St. Kitts and Nevis	2017	76
St. Lucia	2016	64.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	63
Sudan	..	..
Suriname	2013	18.2
Eswatini	2017	19.2
Sweden	2017	4.4
Switzerland	2017	0
Syrian Arab Republic	..	..
Tajikistan	2017	7.9
Tanzania	2016	120
Thailand	2015	25.3
Timor-Leste	..	..
Togo	2017	80
Tonga	2017	17.6
Trinidad and Tobago	2013	55.7
Tunisia	2016	58.9
Turkey	2017	30.1
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2016	73
Ukraine	2017	5.8
United Arab Emirates	2017	14.7
United Kingdom	2017	4.4
United States	2017	3.6
Uruguay	2017	31.7
Uzbekistan	..	..
Vanuatu	2017	40.1
Venezuela, RB	2017	36.7
Vietnam	2017	11.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
