Country	Reaching grade 5, male_1999	Reaching grade 5, male_2017	Reaching grade 5, female_1999	Reaching grade 5, female_2017	Reaching last grade of primary education, male_2017	Reaching last grade of primary education, female_2017
Kuwait	..	99	..	86	99	86
Kyrgyz Republic	..	..	..	..	98	99
Lao PDR	55	81	54	83	81	83
Latvia	..	96	..	98	96	97
Lebanon	87	86	94	90	83	88
Lesotho	68	79	81	89	59	81
Liberia	..	56	..	54	48	44
Libya	..	..	..	..	..	..
Liechtenstein	..	..	..	..	..	..
Lithuania	..	..	..	..	98	99
Luxembourg	97	96	94	96	82	84
Madagascar	52	34	53	36	34	36
Malawi	55	..	42	..	..	..
Malaysia	87	97	87	98	95	97
Maldives	..	97	..	92	97	89
Mali	78	..	76	..	..	..
Malta	99	..	98	..	..	..
Marshall Islands	..	..	..	..	..	..
Mauritania	66	68	67	73	63	66
Mauritius	100	96	99	99	95	97
Mexico	88	100	90	98	99	98
Micronesia, Fed. Sts.	..	..	..	..	..	..
Moldova	..	..	..	..	94	95
Monaco	..	..	..	..	..	..
Mongolia	..	97	..	99	97	99
Montenegro	..	99	..	99	99	99
Morocco	82	95	82	96	92	94
Mozambique	47	57	38	54	41	37
Myanmar	55	..	55	..	..	..
Namibia	92	90	93	94	81	87
Nepal	57	74	63	73	74	73
Netherlands	..	..	..	..	..	..
New Caledonia	..	..	..	..	..	..
New Zealand	..	..	..	..	..	..
Nicaragua	44	..	53	..	..	..
Niger	62	77	60	78	..	..
Nigeria	91	..	94	..	..	..
North Macedonia	..	..	..	..	..	..
Northern Mariana Islands	..	..	..	..	..	..
Norway	100	100	100	99	99	99
Oman	94	98	94	99	98	98
Pakistan	..	74	..	67	74	67
Palau	..	..	..	..	..	..
Panama	92	..	92	..	..	..
Papua New Guinea	66	..	64	..	..	..
Paraguay	76	..	80	..	..	..
Peru	88	95	87	94	93	93
Philippines	69	93	79	96	91	95
Poland	..	93	..	95	93	94
Portugal	..	..	..	..	..	..
Puerto Rico	..	..	..	..	..	..
Qatar	..	98	..	96	97	95
Romania	..	..	..	..	..	..
Russian Federation	..	..	..	..	97	98
Rwanda	41	64	43	72	51	60
Samoa	89	87	94	88	85	86
San Marino	..	..	..	..	..	..
Sao Tome and Principe	59	..	65	..	..	..
Saudi Arabia	..	70	..	71	..	..
Senegal	75	73	69	78	56	64
Serbia	..	..	..	..	100	99
Seychelles	96	97	97	96	97	96
Sierra Leone	..	28	..	28	24	25
Singapore	..	100	..	99	100	98
Sint Maarten (Dutch part)	..	..	..	..	..	..
Slovak Republic	..	..	..	..	99	99
Slovenia	..	100	..	99	100	99
Solomon Islands	..	67	..	69	56	61
Somalia	..	..	..	..	..	..
South Africa	65	81	64	93	71	90
South Sudan	..	..	..	..	..	..
Spain	..	100	..	100	100	100
Sri Lanka	98	98	98	99	98	99
St. Kitts and Nevis	..	..	..	..	..	..
St. Lucia	..	92	..	98	89	95
St. Martin (French part)	..	..	..	..	..	..
St. Vincent and the Grenadines	..	96	..	97	93	96
Sudan	..	82	..	84	74	77
Suriname	..	85	..	90	80	90
Sweden	99	..	98	..	..	..
Switzerland	..	100	..	100	100	100
Syrian Arab Republic	92	..	91	..	..	..
Tajikistan	..	..	..	..	99	99
Tanzania	80	94	80	96	90	93
Thailand	83	98	88	100	97	100
Timor-Leste	..	84	..	89	80	86
Togo	55	..	50	..	..	..
Tonga	91	..	94	..	..	..
Trinidad and Tobago	..	..	..	..	..	..
Tunisia	91	97	93	97	93	95
Turkey	..	..	..	..	100	100
Turkmenistan	..	..	..	..	..	..
Turks and Caicos Islands	..	..	..	..	..	..
Tuvalu	..	65	..	58	54	49
Uganda	56	60	58	62	35	36
Ukraine	..	..	..	..	99	99
United Arab Emirates	93	..	92	..	..	..
United Kingdom	..	100	..	100	100	99
United States	..	..	..	..	..	..
Uruguay	87	99	90	100	99	100
Uzbekistan	..	..	..	..	99	100
Vanuatu	72	..	72	..	..	..
Venezuela, RB	88	87	94	87	82	84
Vietnam	80	..	86	..	..	..
Virgin Islands (U.S.)	..	..	..	..	..	..
West Bank and Gaza	..	..	..	..	98	98
Yemen, Rep.	78	..	70	..	..	..
Zambia	83	..	78	..	..	..
Zimbabwe	77	..	78	..	..	..
World	..	..	..	..	81	83
East Asia & Pacific	..	..	..	..	93	95
Europe & Central Asia	..	..	..	..	97	98
Latin America & Caribbean	..	..	..	..	85	88
Middle East & North Africa	95	94	95	95	85	85
North America	..	..	..	..	94	94
South Asia	63	88	60	88	87	88
Sub-Saharan Africa	..	..	..	..	53	58
Low income	..	..	..	..	49	54
Lower middle income	70	87	69	88	83	85
Upper middle income	..	..	..	..	92	93
High income	..	..	..	..	95	96
