Country	Total_2000	Total_2018	Female_2000	Female_2018
Afghanistan	5	10.3	15	21.3
Albania	1.3	1.3	41.6	41.5
Algeria	8.9	12.2	13.5	17.6
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	6.7	12.7	49	50.2
Antigua and Barbuda	..	..	..	..
Argentina	16.3	20.6	42.1	43
Armenia	1.2	1.3	46.7	46.2
Aruba	..	..	..	..
Australia	9.6	13.3	43.6	46.5
Austria	3.9	4.6	43.5	46.4
Azerbaijan	3.5	5.1	46.7	48.8
Bahamas, The	0.2	0.2	47.9	47.5
Bahrain	0.3	0.9	21.3	20.5
Bangladesh	46.5	68.8	22.6	30.3
Barbados	0.1	0.2	48.4	49.4
Belarus	4.8	5.1	48.8	49
Belgium	4.4	5.1	43	46.2
Belize	0.1	0.2	32.8	38.7
Benin	2.7	4.7	45.9	49.2
Bermuda	..	..	..	..
Bhutan	0.2	0.4	42.9	40.8
Bolivia	3.7	5.6	42.1	44.2
Bosnia and Herzegovina	1.3	1.3	38.2	39.2
Botswana	0.6	1	45	48.8
Brazil	78.5	105.5	40	43.6
Brunei Darussalam	0.2	0.2	40.8	42.7
Bulgaria	3.4	3.3	45.9	46.2
Burkina Faso	4.8	7.2	45.8	44.7
Burundi	2.7	4.8	52.2	51.9
Cabo Verde	0.1	0.2	40.1	44
Cambodia	5.6	9.2	51.6	48.4
Cameroon	7	11	48.3	47.1
Canada	16.2	20.3	45.7	47.4
Cayman Islands	..	..	..	..
Central African Republic	1.5	1.9	46.3	45.7
Chad	3.1	5.8	45.1	45.5
Channel Islands	0.1	0.1	43.1	44.2
Chile	6.3	9.4	35	42.2
China	734.8	783.4	45.1	43.8
Hong Kong SAR, China	3.4	4	41.6	49.3
Macao SAR, China	0.2	0.4	45.5	48.5
Colombia	18.1	26.2	41.1	42.9
Comoros	0.1	0.2	38.4	42.1
Congo, Dem. Rep.	18.4	28.8	50.2	48.4
Congo, Rep.	1.2	2.1	49.9	49
Costa Rica	1.6	2.4	32.6	38.9
Cote d'Ivoire	6.1	8.3	35	41.6
Croatia	2	1.8	44.4	46.5
Cuba	4.5	5.1	35.4	38.6
Curacao	..	..	..	..
Cyprus	0.4	0.6	40.7	46
Czech Republic	5.2	5.5	44.6	44.7
Denmark	2.9	3	46.5	47.4
Djibouti	0.3	0.4	37.5	39.8
Dominica	..	..	..	..
Dominican Republic	3.3	4.9	34.1	40.2
Ecuador	5.6	8.4	38.3	40.8
Egypt, Arab Rep.	20	30.2	21.7	23.5
El Salvador	2.3	2.8	39.5	41.9
Equatorial Guinea	0.2	0.5	40.6	36.8
Eritrea	1	..	45.5	..
Estonia	0.7	0.7	48.6	48.3
Eswatini	0.3	0.4	46.4	48.2
Ethiopia	28.5	51.4	44.8	46.5
Faroe Islands	..	..	..	..
Fiji	0.3	0.4	31.7	32.9
Finland	2.6	2.7	47.6	48
France	27.4	30.4	45.6	48
French Polynesia	0.1	0.1	39.7	43.5
Gabon	0.3	0.7	39.5	40
Gambia, The	0.4	0.8	41	44
Georgia	2	2	46.5	44.9
Germany	40.3	43.6	43.7	46.3
Ghana	8.3	12.6	48.7	46.6
Greece	4.9	4.8	38.8	43.7
Greenland	..	..	..	..
Grenada	..	..	..	..
Guam	0.1	0.1	40.6	40.5
