Country	exports (2010)	exports (2019)
Afghanistan	19.6	3.5
Albania	62.1	41.6
Algeria	1.8	4.3
American Samoa	..	..
Andorra	92.3	94.2
Angola	1.4	4.4
Antigua and Barbuda	47.6	22
Argentina	33.2	17.4
Armenia	24.2	21.3
Aruba	13.7	44.1
Australia	16.6	13.2
Austria	80.3	81.4
Azerbaijan	2.5	3.1
Bahamas, The	63.3	..
Bahrain	5.6	20.3
Bangladesh	91.7	..
Barbados	64	59.7
Belarus	53	53.4
Belgium	75	77.3
Belize	1.4	3.6
Benin	4.7	6.1
Bermuda	69.8	75.2
Bhutan	69.5	..
Bolivia	6.4	5.2
Bosnia and Herzegovina	57	73.1
Botswana	79.5	97
Brazil	36.6	33.4
Brunei Darussalam	4.5	4.3
Bulgaria	49.2	58.1
Burkina Faso	9.1	9.7
Burundi	6	10.3
Cabo Verde	17.5	16.5
Cambodia	96.1	92.6
Cameroon	7.5	9.4
Canada	49	49.4
Cayman Islands	..	..
Central African Republic	3.2	65.1
Chad	..	..
Channel Islands	..	..
Chile	12.6	14.1
China	93.6	93.4
Hong Kong SAR, China	76.8	96.4
Macao SAR, China	43.3	35.3
Colombia	22.5	20.7
Comoros	32.6	56.1
Congo, Dem. Rep.	..	..
Congo, Rep.	30.5	8.3
Costa Rica	60.9	55.4
Cote d'Ivoire	16.2	10.4
Croatia	67.8	66.3
Cuba	..	..
Curacao	..	..
Cyprus	50.2	32.7
Czech Republic	86.4	91.3
Denmark	60.5	69.8
Djibouti	90.7	..
Dominica	66	..
Dominican Republic	67.7	69.2
Ecuador	9.8	6.1
Egypt, Arab Rep.	43.4	48.5
El Salvador	73.4	75.7
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	62.5	71.8
Eswatini	65.6	65.2
Ethiopia	16.1	5.9
Faroe Islands	7.4	..
Fiji	30	32.4
Finland	76.6	67.4
France	78.4	80.1
French Polynesia	81	..
Gabon	4.2	..
Gambia, The	1	44.2
Georgia	48.4	33.3
Germany	84.2	85.1
Ghana	20.7	5.5
Greece	40.8	37.8
Greenland	7.2	4.5
Grenada	41.1	..
Guam	..	..
Guatemala	42.7	43.6
Guinea	31.9	..
Guinea-Bissau	..	..
Guyana	7.2	26.7
Haiti	..	..
Honduras	25.3	30.4
Hungary	82.6	86.9
Iceland	14.6	15.3
India	63.8	71.5
Indonesia	37.5	44.7
Iran, Islamic Rep.	15.6	19.7
Iraq	0.2	..
Ireland	84.8	88.5
Isle of Man	..	..
Israel	93.3	91.8
Italy	82.4	82.3
Jamaica	40.4	51.1
Japan	89	87.7
Jordan	73.6	74.9
Kazakhstan	12.2	13.8
Kenya	34.7	28.4
Kiribati	27.6	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	89	87.7
Kosovo	..	..
Kuwait	6.6	7.8
Kyrgyz Republic	38.4	42.7
Lao PDR	16	22.3
Latvia	58.6	59.9
Lebanon	63.6	63.1
Lesotho	62.1	89.3
Liberia	..	..
Libya	2.3	..
Liechtenstein	..	..
Lithuania	53.9	62.3
Luxembourg	79.5	82
Madagascar	48.2	32.4
Malawi	9	8.3
Malaysia	67.2	69.5
Maldives	0.1	0.4
Mali	20.2	37.4
Malta	67.8	62.2
Marshall Islands	..	..
Mauritania	0	0.6
Mauritius	60.2	60.5
Mexico	76	76.9
Micronesia, Fed. Sts.	..	..
Moldova	22.6	40.4
Monaco	..	..
Mongolia	..	2
Montenegro	20	28.8
Morocco	66.3	71.4
Mozambique	2	9.4
Myanmar	26	43.2
Namibia	44.3	34.5
Nepal	71.9	68.3
Netherlands	56.9	68
New Caledonia	57.2	..
New Zealand	21.6	15.6
Nicaragua	7.1	47.6
Niger	14.1	..
Nigeria	6.7	3.6
North Macedonia	68.1	83.3
Northern Mariana Islands	..	..
Norway	18.2	16.5
Oman	10.5	15.7
Pakistan	74.1	74.1
Palau	9.6	9
Panama	13.2	..
Papua New Guinea	8.4	..
Paraguay	7.4	11.7
Peru	13.7	11.3
Philippines	56.8	83.8
Poland	79.1	80.1
Portugal	75.3	77.7
Puerto Rico	..	..
Qatar	2	3.7
Romania	78.5	81.7
Russian Federation	14.1	20.6
Rwanda	8.5	..
Samoa	78.3	10
San Marino	..	..
Sao Tome and Principe	4.7	24
Saudi Arabia	11.1	16.3
Senegal	41.7	28.7
Serbia	..	..
Seychelles	11	20.8
Sierra Leone	..	3.3
Singapore	72.5	76.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	85.8	90.7
Slovenia	85.2	84.2
Solomon Islands	0.6	2.2
Somalia	..	..
South Africa	48.7	47.9
South Sudan	..	..
Spain	72.5	67.5
Sri Lanka	66.5	67.9
St. Kitts and Nevis	87.2	86.4
St. Lucia	47.9	60.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	15.7	26.2
Sudan	0.3	..
Suriname	1.9	3.3
Sweden	74.9	75.1
Switzerland	86.6	91.6
Syrian Arab Republic	24.7	..
Tajikistan	..	..
Tanzania	24.1	74.4
Thailand	75.3	77.5
Timor-Leste	..	8.7
Togo	64.9	51.3
Tonga	7.6	..
Trinidad and Tobago	31	..
Tunisia	76	81.1
Turkey	79.2	79.2
Turkmenistan	..	..
