Country	Modern methods
Afghanistan	51
Albania	100
Algeria	97
American Samoa	..
Andorra	..
Angola	50
Antigua and Barbuda	100
Argentina	100
Armenia	100
Aruba	..
Australia	100
Austria	98
Azerbaijan	100
Bahamas, The	100
Bahrain	100
Bangladesh	50
Barbados	99
Belarus	100
Belgium	..
Belize	97
Benin	78
Bermuda	..
Bhutan	89
Bolivia	90
Bosnia and Herzegovina	100
Botswana	100
Brazil	99
Brunei Darussalam	100
Bulgaria	100
Burkina Faso	80
Burundi	85
Cabo Verde	91
Cambodia	89
Cameroon	65
Canada	98
Cayman Islands	..
Central African Republic	..
Chad	20
Channel Islands	..
Chile	100
China	100
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	96
Comoros	..
Congo, Dem. Rep.	80
Congo, Rep.	94
Costa Rica	90
Cote d'Ivoire	74
Croatia	100
Cuba	100
Curacao	..
Cyprus	97
Czech Republic	100
Denmark	94
Djibouti	..
Dominica	96
Dominican Republic	100
Ecuador	97
Egypt, Arab Rep.	92
El Salvador	100
Equatorial Guinea	..
Eritrea	..
Estonia	99
Eswatini	88
Ethiopia	28
Faroe Islands	..
Fiji	100
Finland	100
France	97
French Polynesia	..
Gabon	..
Gambia, The	57
Georgia	100
Germany	99
Ghana	71
Greece	..
Greenland	..
Grenada	99
Guam	..
Guatemala	66
Guinea	55
Guinea-Bissau	45
Guyana	86
Haiti	42
Honduras	..
Hungary	99
Iceland	98
India	81
Indonesia	91
Iran, Islamic Rep.	99
Iraq	96
Ireland	100
Isle of Man	..
Israel	..
Italy	100
Jamaica	..
Japan	100
Jordan	100
Kazakhstan	99
Kenya	62
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	100
Korea, Rep.	100
Kosovo	99
Kuwait	100
Kyrgyz Republic	98
Lao PDR	64
Latvia	100
Lebanon	..
Lesotho	78
Liberia	61
Libya	100
Liechtenstein	..
Lithuania	100
Luxembourg	..
Madagascar	44
Malawi	90
Malaysia	99
Maldives	100
Mali	67
Malta	100
Marshall Islands	..
Mauritania	69
Mauritius	100
Mexico	98
Micronesia, Fed. Sts.	..
Moldova	100
Monaco	..
Mongolia	99
Montenegro	99
Morocco	..
Mozambique	..
Myanmar	60
Namibia	88
Nepal	58
Netherlands	..
New Caledonia	..
New Zealand	96
Nicaragua	..
Niger	40
Nigeria	43
North Macedonia	100
Northern Mariana Islands	..
Norway	99
Oman	99
Pakistan	69
Palau	100
Panama	95
Papua New Guinea	56
Paraguay	96
Peru	92
Philippines	84
Poland	100
Portugal	99
Puerto Rico	..
Qatar	100
Romania	95
Russian Federation	100
Rwanda	91
Samoa	83
San Marino	..
Sao Tome and Principe	93
Saudi Arabia	98
Senegal	68
Serbia	98
Seychelles	..
Sierra Leone	82
Singapore	100
Sint Maarten (Dutch part)	..
Slovak Republic	99
Slovenia	..
Solomon Islands	86
Somalia	..
South Africa	97
South Sudan	..
Spain	..
Sri Lanka	100
St. Kitts and Nevis	100
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	99
Sudan	78
Suriname	80
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	95
Tanzania	64
Thailand	99
Timor-Leste	57
Togo	45
Tonga	..
Trinidad and Tobago	100
Tunisia	..
Turkey	97
Turkmenistan	100
Turks and Caicos Islands	..
Tuvalu	..
Uganda	74
Ukraine	100
United Arab Emirates	100
United Kingdom	..
United States	99
Uruguay	100
Uzbekistan	100
Vanuatu	89
Venezuela, RB	96
Vietnam	94
Virgin Islands (U.S.)	..
West Bank and Gaza	100
Yemen, Rep.	45
Zambia	80
Zimbabwe	78
World	81
East Asia & Pacific	95
Europe & Central Asia	99
Latin America & Caribbean	95
Middle East & North Africa	90
North America	99
South Asia	75
Sub-Saharan Africa	60
Low income	60
Lower middle income	73
Upper middle income	98
High income	99
