Country	% 1990	% 2014
Afghanistan	..	..
Albania	5.5	8.5
Algeria	12.9	15.2
American Samoa	..	..
Andorra	..	..
Angola	16.1	2020.7
Antigua and Barbuda	..	..
Argentina	17.5	14.5
Armenia	32.1	31
Aruba	..	..
Australia	3.3	3.7
Austria	21.1	11.9
Azerbaijan	9.2	18.2
Bahamas, The	..	..
Bahrain	1.2	0.8
Bangladesh	19.4	11.5
Barbados	..	..
Belarus	13.9	8.9
Belgium	23.1	23
Belize	..	..
Benin	11.5	24.2
Bermuda	..	..
Bhutan	..	..
Bolivia	11.1	8.3
Bosnia and Herzegovina	1.2	2.7
Botswana	3.6	2.6
Brazil	8.9	4.3
Brunei Darussalam	1.5	1.3
Bulgaria	4.1	2.3
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	5.7
Cameroon	26.1	6.6
Canada	17.4	14.5
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	10	6.5
China	17.9	5.4
Colombia	8	7.9
Comoros	..	..
Congo, Dem. Rep.	11	0.2
Congo, Rep.	10.9	3.4
Costa Rica	5	3.9
Cote d'Ivoire	14.8	8.6
Croatia	11.2	12.4
Cuba	6.7	2.2
Curacao	7.9	2.7
Cyprus	4.6	6.4
Czech Republic	15.5	8.9
Denmark	12.5	7.6
Djibouti	..	..
Dominica	..	..
Dominican Republic	12.7	7.6
Ecuador	9.5	9.2
Egypt, Arab Rep.	12.5	8.4
El Salvador	8.1	11.9
Equatorial Guinea	..	..
Eritrea	6.8	10.7
Estonia	4.1	2.5
Eswatini	..	..
Ethiopia	5.5	11
Faroe Islands	..	..
Fiji	..	..
Finland	12.1	4.5
France	24.8	23.4
French Polynesia	..	..
Gabon	13.2	8.9
Gambia, The	..	..
Georgia	14.2	21.8
Germany	21	17.7
Ghana	17.3	5.9
Gibraltar	0	0
Greece	7.4	6.7
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	14.6	4.8
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	8.6	4
Honduras	15.1	4.9
Hong Kong SAR, China	3.8	3.4
Hungary	25.8	22.6
Iceland	2.6	0.5
India	10.8	5.5
Indonesia	14.6	5.1
Iran, Islamic Rep.	23.7	21.9
Iraq	11.8	6.5
Ireland	32.2	22
Isle of Man	..	..
Israel	4.3	1.1
Italy	17.2	18.1
Jamaica	4	3.6
Japan	11.7	10
Jordan	11.3	6.6
Kazakhstan	0.2	10.6
Kenya	10.9	8.3
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	0.5	0.3
Korea, Rep.	27.5	8.1
Kosovo	..	4.5
Kuwait	0.6	0.6
Kyrgyz Republic	0	17.5
Lao PDR	..	..
Latvia	13.5	12.6
Lebanon	9.6	13.5
Lesotho	..	..
Liberia	..	..
Libya	5.1	3.4
Liechtenstein	..	..
Lithuania	16.8	9.3
Luxembourg	12	14.9
Macao SAR, China	..	..
North Macedonia	5.1	2.8
Madagascar	..	..
Malawi	..	..
Malaysia	4.1	1.9
Maldives	..	..
Mali	..	..
Malta	3.9	6.4
Marshall Islands	..	..
Mauritania	..	..
Mauritius	10.3	4.5
Mexico	8.1	5.3
Micronesia, Fed. Sts.	..	..
Moldova	2.9	15.2
Monaco	..	..
Mongolia	6.4	6.7
Montenegro	..	2.3
Morocco	8.9	12.5
Mozambique	7.4	6.7
Myanmar	0.3	0
Namibia	0.9	0.6
Nepal	28.1	13.7
Netherlands	20	15.1
New Caledonia	..	..
New Zealand	6.6	4.5
Nicaragua	7.1	11
Niger	..	2.6
Nigeria	15	2.6
Northern Mariana Islands	..	..
Norway	9	2.5
Oman	1	0.8
Pakistan	15.3	13.3
Palau	..	..
Panama	9	7.7
Papua New Guinea	..	..
Paraguay	6.7	4
Peru	17.1	6.9
Philippines	6.5	6.9
Poland	13	15
Portugal	5.7	6.6
Puerto Rico	..	..
Qatar	0.7	0.4
Romania	5.2	11.7
Russian Federation	13.3	9.2
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	1.7	0.8
Senegal	6.1	4.9
Serbia	3.4	4.8
Seychelles	..	..
Sierra Leone	..	..
Singapore	4.3	1.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	28.1	15.1
Slovenia	14.4	7.5
Solomon Islands	..	..
Somalia	..	..
South Africa	4.6	5.5
South Sudan	..	0.7
Spain	8	9.7
Sri Lanka	2.7	3.3
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	2.6	6.5
Suriname	..	3.5
Sweden	17.7	4
Switzerland	40.9	31
Syrian Arab Republic	10.7	10.7
Taiwan, China	..	..
Tajikistan	0	0
Tanzania	20.4	2.9
Thailand	3	2.8
Timor-Leste	..	..
Togo	10.3	12.2
Tonga	..	..
Trinidad and Tobago	1.8	1.7
Tunisia	13.4	10.2
Turkey	17	15.2
Turkmenistan	19.4	25.8
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	8	13.3
United Arab Emirates	0.6	0.5
United Kingdom	17.5	19.1
United States	11.4	11
Uruguay	16.1	8.5
Uzbekistan	0	33.5
Vanuatu	..	..
Venezuela, RB	5.4	4.5
Vietnam	11.3	7.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	11	15
Zambia	8.6	3.4
Zimbabwe	6	1.7
World	13.1	8.6
East Asia & Pacific	14.3	5.7
Europe & Central Asia	14.3	14.1
Latin America & Caribbean	9.4	6.3
Middle East & North Africa	10.3	8.7
North America	11.8	11.4
South Asia	11.3	6.1
