Country	Credit
Afghanistan	3.3
Albania	33
Algeria	25.1
American Samoa	..
Andorra	..
Angola	14.9
Antigua and Barbuda	43
Argentina	16
Armenia	55.5
Aruba	57.9
Australia	139.4
Austria	84.3
Azerbaijan	20.8
Bahamas, The	51.7
Bahrain	73.7
Bangladesh	46.9
Barbados	80.9
Belarus	27.6
Belgium	68.2
Belize	55.4
Benin	16.8
Bermuda	..
Bhutan	58.1
Bolivia	65.9
Bosnia and Herzegovina	57.5
Botswana	31.7
Brazil	61.2
Brunei Darussalam	35
Bulgaria	50.5
Burkina Faso	26.6
Burundi	18
Cabo Verde	60.2
Cambodia	99.6
Cameroon	15.2
Canada	..
Cayman Islands	..
Central African Republic	12.3
Chad	9.8
Channel Islands	..
Chile	116.6
China	157.8
Hong Kong SAR, China	223.4
Macao SAR, China	113.8
Colombia	49.7
Comoros	15.9
Congo, Dem. Rep.	5.9
Congo, Rep.	16.5
Costa Rica	62.1
Cote d'Ivoire	19.5
Croatia	55.8
Cuba	..
Curacao	..
Cyprus	139.6
Czech Republic	52.2
Denmark	161.8
Djibouti	20.9
Dominica	47.5
Dominican Republic	27.2
Ecuador	38.3
Egypt, Arab Rep.	25.5
El Salvador	52.4
Equatorial Guinea	16.1
Eritrea	..
Estonia	61.7
Ethiopia	..
Faroe Islands	..
Fiji	93.5
Finland	94.2
France	104.4
French Polynesia	..
Gabon	13.1
Gambia, The	6.8
Georgia	62.6
Germany	78.7
Ghana	11.7
Greece	89.2
Greenland	..
Grenada	50.6
Guam	..
Guatemala	35.1
Guinea	8.1
Guinea-Bissau	14.8
Guyana	45.1
Haiti	19
Honduras	62.9
Hungary	32.9
Iceland	92.8
India	50.1
Indonesia	38.8
Iran, Islamic Rep.	66.1
Iraq	8.7
Ireland	41.1
Isle of Man	..
Israel	66.5
Italy	76.9
Jamaica	38.1
Japan	169.4
Jordan	77.7
Kazakhstan	25.9
Kenya	28
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	141.5
Kosovo	44.1
Kuwait	89.3
Kyrgyz Republic	23.4
Lao PDR	..
Latvia	36.7
Lebanon	106.3
Lesotho	20
Liberia	17.8
Libya	16.2
Liechtenstein	..
Lithuania	40.6
Luxembourg	106.3
North Macedonia	50.5
Madagascar	12.9
Malawi	10.5
Malaysia	120.4
Maldives	31.5
Mali	25.4
Malta	76.8
Marshall Islands	..
Mauritania	23.4
Mauritius	78.3
Mexico	34.6
Micronesia, Fed. Sts.	19.8
Moldova	23.2
Monaco	..
Mongolia	55.7
Montenegro	49.1
Morocco	85.3
Mozambique	22.6
Myanmar	25
Namibia	67
Nepal	86.6
Netherlands	105.5
New Caledonia	..
New Zealand	156.1
Nicaragua	39.7
Niger	10.2
Nigeria	10.2
Northern Mariana Islands	..
Norway	144.3
Oman	70.5
Pakistan	18.8
Palau	..
Panama	86.6
Papua New Guinea	19.3
Paraguay	43.8
Peru	44
Philippines	47.6
Poland	52.6
Portugal	97.4
Puerto Rico	..
Qatar	77.1
Romania	25.7
Russian Federation	50.9
Rwanda	21.4
Samoa	87.3
San Marino	..
Sao Tome and Principe	22.7
Saudi Arabia	54
Senegal	29.4
Serbia	41.4
Seychelles	30.6
Sierra Leone	5.7
Singapore	118.9
Sint Maarten (Dutch part)	..
Slovak Republic	61.9
Slovenia	43.4
Solomon Islands	35.5
Somalia	..
South Africa	138.8
South Sudan	2.3
Spain	99.7
Sri Lanka	49.9
St. Kitts and Nevis	52.4
St. Lucia	55.8
St. Martin (French part)	..
St. Vincent and the Grenadines	48.4
Sudan	12.4
Suriname	28.1
Eswatini	20.7
Sweden	131.9
Switzerland	174.6
Syrian Arab Republic	..
Tajikistan	12.3
Tanzania	13.1
Thailand	144.2
Timor-Leste	15.9
Togo	36.5
Tonga	43.1
Trinidad and Tobago	39.1
Tunisia	86.6
Turkey	68
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	13.7
Ukraine	34.5
United Arab Emirates	77.2
United Kingdom	134.5
United States	179.6
Uruguay	27.4
Uzbekistan	23.8
Vanuatu	62.1
Venezuela, RB	29.9
Vietnam	133.1
Virgin Islands (U.S.)	..
West Bank and Gaza	49.9
Yemen, Rep.	5.6
Zambia	14.6
Zimbabwe	16.7
World	125.8
East Asia & Pacific	149
Europe & Central Asia	89
Latin America & Caribbean	53.9
Middle East & North Africa	56.7
North America	179.6
South Asia	47
Sub-Saharan Africa	45.5
Low income	13.7
Lower middle income	44.8
Upper middle income	117.3
High income	139.9
