Country	GDP (2010)	GDP (2019)
Afghanistan	13	11
Albania	5	6
Algeria	40	24
American Samoa	..	..
Andorra	..	..
Angola	5	6
Antigua and Barbuda	2	2
Argentina	16	13
Armenia	9	12
Aruba	3	..
Australia	8	6
Austria	16	17
Azerbaijan	5	5
Bahamas, The	2	3
Bahrain	14	18
Bangladesh	16	19
Barbados	..	..
Belarus	23	21
Belgium	13	12
Belize	12	6
Benin	12	10
Bermuda	1	..
Bhutan	9	8
Bolivia	11	10
Bosnia and Herzegovina	11	13
Botswana	6	5
Brazil	13	9
Brunei Darussalam	15	14
Bulgaria	..	..
Burkina Faso	12	10
Burundi	9	..
Cabo Verde	5	7
Cambodia	15	16
Cameroon	14	19
Canada	10	..
Cayman Islands	1	1
Central African Republic	18	19
Chad	1	3
Channel Islands	..	..
Chile	11	10
China	32	27
Hong Kong SAR, China	2	1
Macao SAR, China	1	1
Colombia	14	11
Comoros	..	..
Congo, Dem. Rep.	16	20
Congo, Rep.	4	6
Costa Rica	14	11
Cote d'Ivoire	13	12
Croatia	13	12
Cuba	16	13
Curacao	6	9
Cyprus	5	5
Czech Republic	21	22
Denmark	11	13
Djibouti	..	3
Dominica	2	2
Dominican Republic	15	14
Ecuador	13	14
Egypt, Arab Rep.	16	16
El Salvador	16	16
Equatorial Guinea	21	20
Eritrea	5	..
Estonia	14	13
Eswatini	33	29
Ethiopia	4	6
Faroe Islands	5	6
Fiji	12	10
Finland	17	14
France	10	10
French Polynesia	..	..
Gabon	17	19
Gambia, The	5	4
Georgia	9	9
Germany	20	19
Ghana	6	10
Greece	7	10
Greenland	4	4
Grenada	3	3
Guam	..	..
Guatemala	19	14
Guinea	11	9
Guinea-Bissau	11	10
Guyana	6	5
Haiti	5	..
Honduras	17	16
Hungary	18	18
Iceland	13	9
India	17	14
Indonesia	22	20
Iran, Islamic Rep.	13	12
Iraq	2	..
Ireland	19	31
Isle of Man	4	2
Israel	14	12
Italy	14	15
Jamaica	8	8
Japan	21	21
Jordan	20	19
Kazakhstan	11	11
Kenya	11	8
Kiribati	6	4
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	27	25
Kosovo	11	12
Kuwait	6	7
Kyrgyz Republic	17	14
Lao PDR	11	7
Latvia	12	10
Lebanon	8	8
Lesotho	13	16
Liberia	3	2
Libya	4	..
Liechtenstein	..	39
Lithuania	17	16
Luxembourg	5	5
Madagascar	..	..
Malawi	10	9
Malaysia	23	21
Maldives	2	2
Mali	3	3
Malta	11	7
Marshall Islands	4	4
Mauritania	7	8
Mauritius	14	11
Mexico	16	17
Micronesia, Fed. Sts.	0	0
Moldova	10	11
Monaco	..	..
Mongolia	7	10
Montenegro	5	4
Morocco	16	16
Mozambique	10	9
Myanmar	20	25
Namibia	12	12
Nepal	6	5
Netherlands	10	11
New Caledonia	..	..
New Zealand	11	10
Nicaragua	14	14
Niger	6	6
Nigeria	7	12
North Macedonia	10	13
Northern Mariana Islands	..	..
Norway	7	6
Oman	58	38
Pakistan	13	12
Palau	1	1
Panama	7	6
Papua New Guinea	2	2
Paraguay	19	18
Peru	16	13
Philippines	22	18
Poland	16	17
Portugal	12	12
Puerto Rico	47	47
Qatar	13	9
Romania	23	17
Russian Federation	13	13
Rwanda	8	8
Samoa	10	6
San Marino	..	..
Sao Tome and Principe	8	7
Saudi Arabia	11	13
Senegal	15	16
Serbia	15	15
Seychelles	8	6
Sierra Leone	2	2
Singapore	21	20
Sint Maarten (Dutch part)	2	1
Slovak Republic	18	18
Slovenia	17	20
Solomon Islands	..	..
Somalia	..	..
South Africa	13	12
South Sudan	2	..
Spain	11	11
Sri Lanka	18	16
St. Kitts and Nevis	8	6
St. Lucia	3	3
St. Martin (French part)	..	..
St. Vincent and the Grenadines	5	4
Sudan	8	12
Suriname	21	14
Sweden	15	13
Switzerland	19	19
Syrian Arab Republic	..	..
Tajikistan	10	11
Tanzania	9	8
Thailand	31	25
Timor-Leste	1	2
Togo	7	7
Tonga	6	..
Trinidad and Tobago	19	19
Tunisia	17	14
Turkey	15	19
Turkmenistan	..	..
Turks and Caicos Islands	1	1
Tuvalu	1	..
Uganda	17	15
Ukraine	13	11
United Arab Emirates	8	9
United Kingdom	10	9
United States	12	11
Uruguay	14	12
Uzbekistan	11	20
Vanuatu	5	..
Venezuela, RB	12	..
Vietnam	13	16
Virgin Islands (U.S.)	..	..
West Bank and Gaza	13	..
Yemen, Rep.	8	..
Zambia	8	8
Zimbabwe	9	11
World	16	17
East Asia & Pacific	24	23
Europe & Central Asia	14	14
Latin America & Caribbean	14	12
Middle East & North Africa	14	14
North America	12	11
South Asia	16	14
Sub-Saharan Africa	10	11
Low income	8	..
Lower middle income	16	15
Upper middle income	21	20
High income	14	14
