Country	Revenue % (2010)	Revenue % (2018)
Afghanistan	0	0
Albania	1	0
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	3	6
Antigua and Barbuda	..	..
Argentina	4	5
Armenia	8	6
Aruba	..	..
Australia	0	0
Austria	4	4
Azerbaijan	1	1
Bahamas, The	7	6
Bahrain	..	..
Bangladesh	3	3
Barbados	8	8
Belarus	3	0
Belgium	0	1
Belize	1	1
Benin	..	..
Bermuda	..	..
Bhutan	0	0
Bolivia	3	..
Bosnia and Herzegovina	0	0
Botswana	0	0
Brazil	1	1
Brunei Darussalam	..	..
Bulgaria	0	0
Burkina Faso	2	2
Burundi	..	..
Cabo Verde	2	1
Cambodia	0	0
Cameroon	4	4
Canada	..	..
Cayman Islands	..	..
Central African Republic	2	13
Chad	..	..
Channel Islands	..	..
Chile	8	-1
China	0	0
Hong Kong SAR, China	..	..
Macao SAR, China	1	1
Colombia	6	2
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	0	0
Costa Rica	3	3
Cote d'Ivoire	0	5
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	5	4
Czech Republic	0	0
Denmark	4	5
Djibouti	..	..
Dominica	..	..
Dominican Republic	1	1
Ecuador	..	..
Egypt, Arab Rep.	2	3
El Salvador	0	0
Equatorial Guinea	0	1
Eritrea	..	..
Estonia	..	..
Eswatini	..	..
Ethiopia	0	..
Faroe Islands	..	..
Fiji	..	..
Finland	1	1
France	6	4
French Polynesia	..	..
Gabon	3	6
Gambia, The	1	..
Georgia	1	1
Germany	..	..
Ghana	..	-4
Greece	2	4
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	2	1
Guinea	..	..
Guinea-Bissau	..	1
Guyana	..	..
Haiti	..	..
Honduras	1	0
Hungary	1	3
Iceland	3	3
India	0	0
Indonesia	3	1
Iran, Islamic Rep.	0	..
Iraq	..	0
Ireland	2	2
Isle of Man	..	..
Israel	4	4
Italy	5	5
Jamaica	..	..
Japan	2	3
Jordan	3	1
Kazakhstan	2	0
Kenya	..	1
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	7	3
Kosovo	..	..
Kuwait	0	..
Kyrgyz Republic	..	0
Lao PDR	..	..
Latvia	1	0
Lebanon	13	11
Lesotho	0	0
Liberia	5	..
Libya	..	..
Liechtenstein	..	..
Lithuania	0	0
Luxembourg	2	3
Madagascar	0	0
Malawi	0	0
Malaysia	1	2
Maldives	0	..
Mali	11	2
Malta	1	0
Marshall Islands	1	1
Mauritania	..	..
Mauritius	2	2
Mexico	1	1
Micronesia, Fed. Sts.	0	0
Moldova	0	0
Monaco	..	..
Mongolia	2	1
Montenegro	..	..
Morocco	3	2
Mozambique	1	5
Myanmar	1	0
Namibia	..	..
Nepal	0	1
Netherlands	2	3
New Caledonia	..	..
New Zealand	0	0
Nicaragua	0	1
Niger	..	..
Nigeria	..	..
North Macedonia	2	0
Northern Mariana Islands	..	..
Norway	1	0
Oman	..	..
Pakistan	..	..
Palau	5	2
Panama	..	..
Papua New Guinea	..	0
Paraguay	0	1
Peru	4	7
Philippines	4	6
Poland	1	1
Portugal	3	2
Puerto Rico	..	..
Qatar	..	..
Romania	0	0
Russian Federation	0	0
Rwanda	..	1
Samoa	0	0
San Marino	1	6
Sao Tome and Principe	..	..
Saudi Arabia	1	2
Senegal	..	3
Serbia	0	..
Seychelles	..	1
Sierra Leone	..	..
Singapore	16	17
Sint Maarten (Dutch part)	..	..
Slovak Republic	0	0
Slovenia	0	0
Solomon Islands	1	1
Somalia	..	..
South Africa	1	1
South Sudan	..	..
Spain	0	0
Sri Lanka	12	0
St. Kitts and Nevis	2	2
St. Lucia	0	1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	1	3
Sudan	4	0
Suriname	..	..
Sweden	28	30
Switzerland	..	0
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	7	2
Thailand	1	1
Timor-Leste	0	0
Togo	5	1
Tonga	0	0
Trinidad and Tobago	10	16
Tunisia	3	..
Turkey	4	2
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	0
Ukraine	0	0
United Arab Emirates	..	..
United Kingdom	5	5
United States	1	1
Uruguay	2	5
Uzbekistan	0	0
Vanuatu	0	1
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0	2
Yemen, Rep.	..	..
Zambia	1	2
Zimbabwe	..	7
World	1	1
East Asia & Pacific	1	1
Europe & Central Asia	1	0
Latin America & Caribbean	2	1
Middle East & North Africa	..	..
North America	1	1
South Asia	0	0
Sub-Saharan Africa	..	2
Low income	..	..
Lower middle income	0	1
Upper middle income	1	1
High income	2	2
