Country	Tons	Change %
Afghanistan	18168.9	43.5
Albania	8898.6	-19.9
Algeria	176471.2	65.8
American Samoa	58.8	188.3
Andorra	..	..
Angola	41657.2	-18
Antigua and Barbuda	552.7	48.5
Argentina	380295.3	42.7
Armenia	12319.4	-50.2
Aruba	..	..
Australia	761686.3	57.9
Austria	90460.2	13.3
Azerbaijan	56537.1	-27.6
Bahamas, The	4865.2	35.4
Bahrain	32849.1	92.7
Bangladesh	183300.6	44.7
Barbados	1540.6	28.4
Belarus	109647.2	-40.9
Belgium	133373.7	-3.3
Belize	1569.9	148.1
Benin	33533.1	-28.9
Bermuda	632.9	-3.1
Bhutan	3297	157.5
Bolivia	621726.7	222.7
Bosnia and Herzegovina	27108.4	-13.4
Botswana	82110.3	514
Brazil	2989418	86.1
Brunei Darussalam	14829	-19.3
Bulgaria	67942.7	-37.1
Burkina Faso	43910.4	261.4
Burundi	6254.4	123.5
Cabo Verde	..	80.8
Cambodia	127399.6	552.6
Cameroon	100922.1	3.5
Canada	1027063.9	68.7
Cayman Islands	..	3.3
Central African Republic	515134.1	252.3
Chad	109796	498.7
Channel Islands	..	..
Chile	120687.9	120.5
China	12454710.6	220
Hong Kong SAR, China	58633.5	57.4
Macao SAR, China	..	..
Colombia	173411.8	-0.6
Comoros	564.2	91.7
Congo, Dem. Rep.	802271.3	-41.7
Congo, Rep.	35743.9	-43.8
Costa Rica	12274.1	42.8
Cote d'Ivoire	33502.2	-78
Croatia	30421	-12.4
Cuba	52418.5	-8.1
Curacao	..	..
Cyprus	7431.2	44.8
Czech Republic	138957.4	-29.2
Denmark	53703.2	-25.9
Djibouti	2766.3	51.9
Dominica	222.8	70.5
Dominican Republic	33395.1	96.4
Ecuador	52746.6	70.9
Egypt, Arab Rep.	295499.7	112.4
El Salvador	12577.8	88.1
Equatorial Guinea	6374.2	2519
Eritrea	4977.9	49.3
Estonia	23292.8	-58.2
Ethiopia	185292.2	175.3
Faroe Islands	..	..
Fiji	2258.2	-3
Finland	69072.9	-8.6
France	499146.6	-10
French Polynesia	..	-39.9
Gabon	34570.6	181.6
Gambia, The	3529.2	196.7
Georgia	14627.7	-61.7
Germany	951716.7	-24.2
Ghana	107784.3	265.4
Greece	100571.2	4
Greenland	..	..
Grenada	726.2	359.9
Guam	85.9	42.7
Guatemala	31515.5	111.4
Guinea	101349	55.5
Guinea-Bissau	7604.7	366.9
Guyana	6140.7	-63.3
Haiti	8835.5	64.9
Honduras	20467.2	49.2
Hungary	62988.4	-35.4
Iceland	5514.9	-74.7
India	3002894.9	116.4
Indonesia	780550.8	-33
Iran, Islamic Rep.	..	129.4
Iraq	155529.5	55.7
Ireland	62433	-4.8
Isle of Man	..	..
Israel	84044.4	112.2
Italy	482634	-5.1
Jamaica	15474.3	66
Japan	1478858.9	13.4
Jordan	27198.6	134.5
Kazakhstan	366502.2	-1.6
Kenya	54302.1	39.4
Kiribati	..	32.5
Korea, Dem. Peopleâ€™s Rep.	109895	-32.6
Korea, Rep.	668989.7	122.6
Kosovo	..	..
Kuwait	96788.2	..
Kyrgyz Republic	13794.7	-58.6
Lao PDR	161718.7	436.8
Latvia	13943.9	-58.6
Lebanon	..	..
Lesotho	3472.7	84.5
Liberia	2833.9	61.7
Libya	82129.1	34.5
Liechtenstein	..	..
Lithuania	29442.2	-45.8
Luxembourg	12611	-3.7
North Macedonia	12992.2	-9.3
Madagascar	117932.6	143.9
Malawi	21632.1	153.4
Malaysia	279098.4	40.5
Maldives	..	..
Mali	77437.9	151.5
Malta	..	23.9
Marshall Islands	..	..
