Country	Risk of death from non-communicable disease (%)
South Korea	8.3
Switzerland	8.7
Japan	8.8
Australia	8.9
Sweden	9.1
Italy	9.4
Israel	9.5
Norway	9.6
Luxembourg	9.7
Canada	9.8
Spain	10.0
Singapore	10.1
Finland	10.1
Ireland	10.3
New Zealand	10.4
Malta	10.5
France	10.9
Netherlands	11.0
United Kingdom	11.0
Costa Rica	11.1
Austria	11.2
Portugal	11.3
Chile	11.5
Cyprus	11.5
Denmark	11.6
Belgium	11.6
Germany	12.0
Greece	12.3
Maldives	12.4
Brunei	12.6
Peru	12.7
Ecuador	13.1
Slovenia	13.2
United States	13.6
Panama	13.7
Honduras	13.9
Qatar	14.2
El Salvador	14.2
Colombia	14.6
Albania	14.7
