Country	%_2000	%_2018
Afghanistan	17.2	16.1
Albania	28	31.1
Algeria	51.1	26.6
American Samoa	..	..
Andorra	..	..
Angola	11.2	16.8
Antigua and Barbuda	..	..
Argentina	29.7	21.2
Armenia	11.7	32.7
Aruba	..	..
Australia	12.9	13
Austria	6.9	9.4
Azerbaijan	23.8	11.2
Bahamas, The	12.1	21.5
Bahrain	2.6	1.3
Bangladesh	9.5	10.2
Barbados	18.1	26.9
Belarus	22.9	12.7
Belgium	12.9	16.2
Belize	13.9	9.4
Benin	1.2	4.6
Bermuda	..	..
Bhutan	4.6	7.8
Bolivia	4.9	6.7
Bosnia and Herzegovina	50.4	35.8
Botswana	30.4	29.5
Brazil	15	25.2
British Virgin Islands	..	..
Brunei Darussalam	16.3	29.1
Bulgaria	35.8	13.2
Burkina Faso	2.8	5.1
Burundi	4.2	3.9
Cabo Verde	20.8	24.5
Cambodia	1.4	1
Cameroon	12.2	5.4
Canada	13.8	12.5
Cayman Islands	..	..
Central African Republic	6.7	6
Chad	2.5	3.5
Channel Islands	17.9	15.9
Chile	20.7	16.8
China	7.6	11.1
Colombia	31.2	14.5
Comoros	10.8	11.1
Congo, Dem. Rep.	6.3	10.1
Congo, Rep.	40	22.6
Costa Rica	9.6	21.9
Cote d'Ivoire	6.5	4.4
Croatia	40.9	19.6
Cuba	9.3	4.7
Curacao	..	..
Cyprus	6.6	23.3
Czech Republic	17.2	6.4
Denmark	6.5	10.5
Djibouti	19.7	21.1
Dominica	..	..
Dominican Republic	8.3	9.7
Ecuador	8.3	6.4
Egypt, Arab Rep.	15.7	29.3
El Salvador	14.3	8.2
Equatorial Guinea	12.5	12.7
Eritrea	8.9	9
Estonia	22.1	12.2
Eswatini	46.3	43.7
Ethiopia	3.5	2.4
Faroe Islands	..	..
Fiji	6.8	11.5
Finland	28.6	17.1
France	18.8	21.3
French Polynesia	29	33.9
Gabon	33.8	31.2
Gambia, The	9.6	8.8
Georgia	21.1	26.5
Germany	9.5	7.1
Ghana	16.1	9.1
Gibraltar	..	..
Greece	21.6	36.3
Greenland	..	..
Grenada	..	..
Guam	34.3	12.4
Guatemala	4	3.6
Guinea	6.8	6.4
Guinea-Bissau	4.6	4.3
Guyana	21.3	17.1
Haiti	16.5	23.9
Honduras	6.2	7.8
Hong Kong SAR, China	12	8.8
Hungary	13.7	9.8
Iceland	4.9	6.3
India	18.1	22.6
Indonesia	18.1	16.3
Iran, Islamic Rep.	20	24.4
Iraq	16.7	21.7
Ireland	6.1	14.9
Isle of Man	..	..
Israel	17.2	7
Italy	28.4	30.4
Jamaica	26.1	21.5
Japan	10.2	4.1
Jordan	26.4	30.5
Kazakhstan	22.2	3.5
Kenya	6.9	7.1
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	7.5	7.1
Korea, Rep.	12.6	10.8
Kosovo	..	..
Kuwait	3.9	9.1
Kyrgyz Republic	11.8	10.2
Lao PDR	4	1.8
Latvia	21	12.5
Lebanon	21.7	15.6
Lesotho	38.5	30.3
Liberia	2.6	2.3
Libya	39.6	41.7
Liechtenstein	..	..
Lithuania	29.5	12
Luxembourg	5.7	16.1
Macao SAR, China	15.4	6.3
Madagascar	9	3.5
Malawi	7.7	6.9
Malaysia	10.2	10.4
Maldives	3.9	17.4
Mali	6.6	13.9
Malta	13.2	11.2
Marshall Islands	..	..
Mauritania	13.5	13.8
Mauritius	24.8	18.4
Mexico	4.4	6.4
Micronesia, Fed. Sts.	..	..
Moldova	17.1	7.6
Monaco	..	..
Mongolia	10.9	14.5
Montenegro	48	33.3
Morocco	21.9	22.1
Mozambique	8.9	6.9
Myanmar	1.3	3.2
Namibia	36.3	37.4
Nauru	..	..
Nepal	3.6	2.8
Netherlands	4.7	7.7
New Caledonia	39.5	32.8
New Zealand	14.5	12.4
Nicaragua	10.8	8.7
Niger	4.2	0.8
Nigeria	10.3	10.4
North Macedonia	56	46.6
Northern Mariana Islands	..	..
Norway	10.7	10.6
Oman	14.4	10
Pakistan	1.1	8.3
Palau	..	..
Panama	6.4	7.6
Papua New Guinea	6.1	5.6
Paraguay	13.1	9.8
Peru	9.4	8.7
Philippines	7.8	5.7
Poland	33.6	11.5
Portugal	5.5	19.9
Puerto Rico	23.2	23.5
Qatar	1.9	0.2
Romania	18.9	16.3
Russian Federation	19.5	16.4
Rwanda	1.3	1.2
Samoa	9.9	14.9
San Marino	..	..
Sao Tome and Principe	18.6	15.3
Saudi Arabia	22.2	19.9
Senegal	7	7.1
Serbia	27.7	27.9
Seychelles	..	..
Sierra Leone	7	13.7
Singapore	5.4	6.5
Sint Maarten (Dutch part)	..	..
Slovak Republic	39.6	14.3
Slovenia	14.8	8.3
Solomon Islands	3.5	0.9
Somalia	18.5	17
South Africa	49.1	49.5
South Sudan	21	20.2
Spain	19.7	35.3
Sri Lanka	20.5	16.7
St. Kitts and Nevis	..	..
St. Lucia	22.5	42
St. Martin (French part)	..	..
St. Vincent and the Grenadines	40.5	40.4
Sudan	27.4	26.8
Suriname	22.1	8.9
Sweden	10.6	18
Switzerland	5.8	8.4
Syrian Arab Republic	13.9	16.9
Tajikistan	28.1	21.2
Tanzania	5.6	2.9
Thailand	7.3	3.6
Timor-Leste	6.2	10
Togo	6.4	3.6
Tonga	6.4	1.8
Trinidad and Tobago	6.4	6
Tunisia	32.7	33.6
Turkey	13.2	17.1
Turkmenistan	22.8	9.4
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	4.6	1.9
Ukraine	21.5	17
United Arab Emirates	5.9	5.2
United Kingdom	13.4	12.2
United States	9.6	9.4
Uruguay	25.4	23
Uzbekistan	20.8	10.8
Vanuatu	8.6	8.4
Venezuela, RB	21.6	13.7
Vietnam	5	7.2
Virgin Islands (U.S.)	19	18.4
West Bank and Gaza	15.7	36.8
Yemen, Rep.	20.3	23.4
Zambia	22.2	20.6
Zimbabwe	12.4	7.4
Arab World	23.6	24.1
Caribbean small states	19.5	17.8
Central Europe and the Baltics	27.2	12.4
Early-demographic dividend	15.7	17.3
East Asia & Pacific	8.9	10.4
East Asia & Pacific (excluding high income)	8.7	10.6
East Asia & Pacific (IDA & IBRD countries)	8.8	10.7
Euro area	17.4	19.7
Europe & Central Asia	19.2	16.5
Europe & Central Asia (excluding high income)	20	15.9
Europe & Central Asia (IDA & IBRD countries)	21.3	15.6
European Union	19.6	18.1
Fragile and conflict affected situations	12.1	12.6
Heavily indebted poor countries (HIPC)	9.1	8
High income	14.4	12.7
IBRD only	15.2	17.6
IDA & IBRD total	13.7	15
IDA blend	7.5	9
IDA only	8.9	8.7
IDA total	8.5	8.8
Late-demographic dividend	11.5	13.2
Latin America & Caribbean	14.4	15.4
Latin America & Caribbean (excluding high income)	14.2	15.4
Latin America & the Caribbean (IDA & IBRD countries)	14.4	15.5
Least developed countries: UN classification	8.5	8.8
Low & middle income	13.4	15
Low income	9.8	9.5
Lower middle income	14.4	16.4
Middle East & North Africa	22.5	24
Middle East & North Africa (excluding high income)	23.1	25.6
Middle East & North Africa (IDA & IBRD countries)	23.1	25.5
Middle income	13.8	15.7
North America	10	9.7
Not classified	..	..
OECD members	13.8	12.2
Other small states	22.7	18.6
Pacific island small states	6.4	7.3
Post-demographic dividend	13.8	12.6
Pre-demographic dividend	10.2	10.1
Small states	21	17.9
South Asia	15.4	19.2
South Asia (IDA & IBRD)	15.4	19.2
Sub-Saharan Africa	12.3	10.5
Sub-Saharan Africa (excluding high income)	12.3	10.4
Sub-Saharan Africa (IDA & IBRD countries)	12.3	10.5
Upper middle income	13.1	14.9
World	13.6	14.7
