Country	imports (2010)	imports (2019)
Afghanistan	0	1.9
Albania	1	0.7
Algeria	1.6	1
American Samoa	..	..
Andorra	0.4	0.4
Angola	0.6	1
Antigua and Barbuda	1.2	2
Argentina	1.1	1
Armenia	0.9	1.3
Aruba	0.8	0.3
Australia	0.7	0.6
Austria	2.3	1.9
Azerbaijan	1.7	1.6
Bahamas, The	1.8	..
Bahrain	0.5	0.7
Bangladesh	8.1	..
Barbados	1.8	1
Belarus	1.5	2
Belgium	1.3	1.2
Belize	0.9	1.8
Benin	2.6	1
Bermuda	0.6	0.5
Bhutan	2.2	..
Bolivia	0.7	0.6
Bosnia and Herzegovina	1.6	1.3
Botswana	0.8	0.7
Brazil	1.3	1.1
Brunei Darussalam	0.2	0.1
Bulgaria	1.1	1.3
Burkina Faso	0.7	0.4
Burundi	1.5	1.7
Cabo Verde	1.3	1.8
Cambodia	1.6	2.7
Cameroon	1.6	1.7
Canada	1	0.8
Cayman Islands	..	..
Central African Republic	2.1	1.1
Chad	..	..
Channel Islands	..	..
Chile	0.7	0.7
China	3.7	3.3
Hong Kong SAR, China	0.6	0.1
Macao SAR, China	0.3	0.1
Colombia	1.4	1
Comoros	0.7	0.7
Congo, Dem. Rep.	..	..
Congo, Rep.	0.4	1.1
Costa Rica	1.1	1.1
Cote d'Ivoire	0.9	0.7
Croatia	1.1	1.2
Cuba	..	..
Curacao	..	..
Cyprus	0.8	0.6
Czech Republic	1.4	1.1
Denmark	2.3	2.3
Djibouti	0.6	..
Dominica	2.7	..
Dominican Republic	1.1	1.5
Ecuador	1	0.9
Egypt, Arab Rep.	3.2	2.6
El Salvador	2	2.1
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	2.2	2.8
Eswatini	0.7	1.3
Ethiopia	0.5	0.5
Faroe Islands	3.1	..
Fiji	0.3	0.4
Finland	2.2	2
France	1.4	1.1
French Polynesia	1.2	..
Gabon	0.4	..
Gambia, The	1.4	0.4
Georgia	0.7	0.8
Germany	1.6	1.2
Ghana	1.1	1.2
Greece	1	0.9
Greenland	0.7	0.4
Grenada	1.8	..
Guam	..	..
Guatemala	1.3	1.7
Guinea	0.4	..
Guinea-Bissau	..	..
Guyana	0.5	0.2
Haiti	..	..
Honduras	1.1	1.4
Hungary	1	1.1
Iceland	1.2	0.8
India	1.8	2
Indonesia	3.1	2.9
Iran, Islamic Rep.	2.4	2.7
Iraq	..	..
Ireland	0.7	0.5
Isle of Man	..	..
Israel	1.2	0.9
Italy	2.2	1.9
Jamaica	1	0.9
Japan	1.6	1.3
Jordan	1.3	1.1
Kazakhstan	0.6	0.5
Kenya	1.5	1.7
Kiribati	1	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1.7	1.2
Kosovo	..	..
Kuwait	0.5	0.5
Kyrgyz Republic	1.2	0.4
Lao PDR	0.2	0.5
Latvia	1.5	2.9
Lebanon	1.1	1.2
Lesotho	2.2	2.3
Liberia	..	..
Libya	0.8	..
Liechtenstein	..	..
Lithuania	1.7	2.5
Luxembourg	1.1	2.1
Madagascar	1	3.1
Malawi	1.1	2.3
Malaysia	2	1.8
Maldives	2.2	2
Mali	0.5	0.5
Malta	0.5	0.2
Marshall Islands	..	..
Mauritania	0.5	0.2
Mauritius	2.2	2.2
Mexico	1.3	0.8
Micronesia, Fed. Sts.	..	..
Moldova	1.3	1.4
Monaco	..	..
Mongolia	..	0.3
Montenegro	0.8	0.4
Morocco	2.2	1.6
Mozambique	1	1.5
Myanmar	0.4	0.6
Namibia	0.6	0.5
Nepal	1.9	1.4
Netherlands	1.5	1.7
New Caledonia	0.7	..
New Zealand	0.6	0.7
Nicaragua	0.7	1.1
Niger	2.1	..
Nigeria	0.8	0.8
North Macedonia	1	0.8
Northern Mariana Islands	..	..
Norway	1.3	1.1
Oman	0.6	0.4
Pakistan	4.9	4.2
Palau	0.8	1.8
Panama	0.2	..
Papua New Guinea	0.4	..
Paraguay	0.6	0.7
Peru	1.7	1.4
Philippines	0.6	0.6
Poland	1.7	1.5
Portugal	1.6	1.6
Puerto Rico	..	..
Qatar	0.5	0.5
Romania	1.4	1.6
Russian Federation	1	1
Rwanda	1.4	..
Samoa	2.3	2.7
San Marino	..	..
Sao Tome and Principe	0.8	1.1
Saudi Arabia	0.9	0.7
Senegal	1.5	1.6
Serbia	..	..
Seychelles	1.1	0.9
Sierra Leone	..	1.5
Singapore	0.3	0.3
Sint Maarten (Dutch part)	..	..
Slovak Republic	1.4	1.1
Slovenia	3.1	2.5
Solomon Islands	0.8	0.7
Somalia	..	..
South Africa	1	1
South Sudan	..	..
Spain	1.3	1.1
Sri Lanka	1.5	2
St. Kitts and Nevis	1.9	1.9
St. Lucia	1.3	1.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	1.9	1.7
Sudan	0.7	..
Suriname	0.1	0.1
Sweden	1.4	1.2
Switzerland	1	0.6
Syrian Arab Republic	2.3	..
Tajikistan	..	..
Tanzania	0.9	1.4
Thailand	1.9	1.6
Timor-Leste	..	1.8
Togo	1.4	1.5
Tonga	2.2	..
Trinidad and Tobago	0.6	..
Tunisia	2.1	1.8
Turkey	2.9	2.7
Turkmenistan	..	..
Turks and Caicos Islands	1.4	..
Tuvalu	1.1	..
Uganda	1.1	2
Ukraine	1.1	1
United Arab Emirates	0.5	0.6
United Kingdom	1.1	1.3
United States	1	0.8
Uruguay	2.5	1.7
Uzbekistan	..	2.9
Vanuatu	1.3	..
Venezuela, RB	1.2	..
Vietnam	3.5	3.1
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0.4	..
Yemen, Rep.	0.8	..
Zambia	0.6	0.7
Zimbabwe	0.3	0.4
World	1.6	1.4
East Asia & Pacific	2.2	1.9
Europe & Central Asia	1.5	1.4
Latin America & Caribbean	1.2	0.9
Middle East & North Africa	1.5	1
North America	1	0.8
South Asia	2.4	2.2
Sub-Saharan Africa	1	1
Low income	1.2	..
Lower middle income	2.1	1.9
Upper middle income	2.5	2.3
High income	1.3	1.1
