Country	Payments
Afghanistan	19
Albania	35
Algeria	27
American Samoa	..
Andorra	..
Angola	31
Antigua and Barbuda	57
Argentina	9
Armenia	15
Aruba	..
Australia	11
Austria	12
Azerbaijan	9
Bahamas, The	20
Bahrain	3
Bangladesh	33
Barbados	28
Belarus	7
Belgium	11
Belize	29
Benin	54
Bermuda	..
Bhutan	18
Bolivia	42
Bosnia and Herzegovina	33
Botswana	34
Brazil	10
Brunei Darussalam	5
Bulgaria	14
Burkina Faso	45
Burundi	24
Cabo Verde	30
Cambodia	40
Cameroon	44
Canada	8
Cayman Islands	..
Central African Republic	56
Chad	54
Channel Islands	..
Chile	7
China	7
Hong Kong SAR, China	3
Macao SAR, China	..
Colombia	10
Comoros	33
Congo, Dem. Rep.	52
Congo, Rep.	50
Costa Rica	10
Cote d'Ivoire	25
Croatia	12
Cuba	..
Curacao	..
Cyprus	16
Czech Republic	8
Denmark	10
Djibouti	35
Dominica	37
Dominican Republic	7
Ecuador	8
Egypt, Arab Rep.	27
El Salvador	7
Equatorial Guinea	46
Eritrea	30
Estonia	8
Ethiopia	29
Faroe Islands	..
Fiji	38
Finland	8
France	9
French Polynesia	..
Gabon	50
Gambia, The	49
Georgia	5
Germany	9
Ghana	36
Greece	8
Greenland	..
Grenada	42
Guam	..
Guatemala	8
Guinea	33
Guinea-Bissau	46
Guyana	35
Haiti	47
Honduras	59
Hungary	11
Iceland	21
India	11
Indonesia	26
Iran, Islamic Rep.	20
Iraq	15
Ireland	9
Isle of Man	..
Israel	6
Italy	14
Jamaica	11
Japan	19
Jordan	9
Kazakhstan	10
Kenya	24
Kiribati	11
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	12
Kosovo	10
Kuwait	12
Kyrgyz Republic	26
Lao PDR	35
Latvia	7
Lebanon	20
Lesotho	32
Liberia	33
Libya	19
Liechtenstein	34
Lithuania	10
Luxembourg	23
North Macedonia	7
Madagascar	23
Malawi	35
Malaysia	9
Maldives	17
Mali	35
Malta	8
Marshall Islands	9
Mauritania	33
Mauritius	8
Mexico	6
Micronesia, Fed. Sts.	21
Moldova	10
Monaco	..
Mongolia	19
Montenegro	18
Morocco	6
Mozambique	37
Myanmar	31
Namibia	27
Nepal	46
Netherlands	9
New Caledonia	..
New Zealand	7
Nicaragua	43
Niger	41
Nigeria	48
Northern Mariana Islands	..
Norway	5
Oman	15
Pakistan	34
Palau	11
Panama	36
Papua New Guinea	45
Paraguay	19
Peru	8
Philippines	13
Poland	7
Portugal	8
Puerto Rico	16
Qatar	4
Romania	14
Russian Federation	9
Rwanda	9
Samoa	37
San Marino	18
Sao Tome and Principe	46
Saudi Arabia	4
Senegal	53
Serbia	33
Seychelles	29
Sierra Leone	34
Singapore	5
Sint Maarten (Dutch part)	..
Slovak Republic	8
Slovenia	10
Solomon Islands	34
Somalia	..
South Africa	7
South Sudan	37
Spain	9
Sri Lanka	36
St. Kitts and Nevis	39
St. Lucia	35
St. Martin (French part)	..
St. Vincent and the Grenadines	36
Sudan	42
Suriname	30
Eswatini	33
Sweden	6
Switzerland	19
Syrian Arab Republic	20
Tajikistan	7
Tanzania	59
Thailand	21
Timor-Leste	18
Togo	49
Tonga	30
Trinidad and Tobago	39
Tunisia	8
Turkey	10
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	31
Ukraine	5
United Arab Emirates	5
United Kingdom	9
United States	11
Uruguay	20
Uzbekistan	9
Vanuatu	31
Venezuela, RB	99
Vietnam	6
Virgin Islands (U.S.)	..
West Bank and Gaza	28
Yemen, Rep.	44
Zambia	11
Zimbabwe	51
World	23
East Asia & Pacific	19
Europe & Central Asia	13
Latin America & Caribbean	28
Middle East & North Africa	16
North America	9
South Asia	27
Sub-Saharan Africa	37
Low income	36
Lower middle income	30
Upper middle income	21
High income	13
