Country	$ billions	$ per capita
Afghanistan	20.7	540
Albania	14.9	5,24
Algeria	170.7	3,97
American Samoa	..	..
Andorra	..	..
Angola	97.0	3,05
Antigua and Barbuda	1.6	16,66
Argentina	503.1	11,2
Armenia	13.8	4,68
Aruba	2.8	26,81
Australia	1,392.8	54,91
Austria	455.4	51,3
Azerbaijan	44.9	4,48
Bahamas, The	12.4	31,78
Bahrain	36.3	22,11
Bangladesh	316.2	1,94
Barbados	5.0	17,38
Belarus	59.5	6,28
Belgium	543.7	47,35
Belize	1.7	4,45
Benin	14.8	1,25
Bermuda	..	..
Bhutan	2.2	2,97
Bolivia	40.6	3,53
Bosnia and Herzegovina	20.3	6,15
Botswana	17.6	7,66
Brazil	1,926.3	9,13
Brunei Darussalam	14.0	32,23
Bulgaria	65.6	9,41
Burkina Faso	16.1	790
Burundi	3.2	280
Cambodia	24.4	1,48
Cameroon	38.9	1,5
Canada	1,742.8	46,37
Cabo Verde	2.0	3,63
Cayman Islands	3.0	47,14
Central African Republic	2.4	520
Chad	11.2	700
Channel Islands	..	..
Chile	284.5	15,01
China	14,554.3	10,41
Hong Kong SAR, China	381.7	50,84
Macao SAR, China	49.7	78,64
Colombia	327.7	6,51
Comoros	1.2	1,42
Congo, Dem. Rep.	45.3	520
Congo, Rep.	9.4	1,75
Costa Rica	59.1	11,7
Cote d'Ivoire	58.9	2,29
Croatia	60.6	14,91
Cuba	..	..
Curacao	3.1	19,61
Cyprus	24.4	27,71
Czech Republic	234.7	22
Denmark	367.9	63,24
Djibouti	3.4	3,54
Dominica	0.6	8,09
Dominican Republic	86.9	8,09
Ecuador	105.6	6,08
Egypt, Arab Rep.	270.2	2,69
El Salvador	25.8	4
Equatorial Guinea	8.8	6,46
Eritrea	..	..
Estonia	30.8	23,22
Eswatini	4.1	3,59
Ethiopia	95.1	850
Faroe Islands	..	..
Fiji	5.2	5,86
Finland	273.7	49,58
France	2,843.0	42,4
French Polynesia	..	..
Gabon	15.7	7,21
Gambia, The	1.7	740
Georgia	17.6	4,74
Germany	4,033.5	48,52
Ghana	67.5	2,22
Greece	217.8	20,32
Greenland	..	..
Grenada	1.1	9,98
Guam	..	..
Guatemala	76.5	4,61
Guinea	12.1	950
Guinea-Bissau	1.6	820
Guyana	4.1	5,18
Haiti	8.9	790
Honduras	23.3	2,39
Hungary	157.7	16,14
Iceland	26.3	72,85
India	2,910.8	2,13
Indonesia	1,097.2	4,05
Iran, Islamic Rep.	437.6	5,42
Iraq	225.7	5,74
Ireland	307.4	62,21
Isle of Man	6.3	75,34
Israel	391.9	43,29
Italy	2,077.7	34,46
Jamaica	15.5	5,25
Japan	5,263.5	41,69
Jordan	43.5	4,3
Kazakhstan	163.1	8,81
Kenya	91.8	1,75
Kiribati	0.4	3,35
Korea, Dem. People’s Rep.	..	..
Korea, Rep.	1,743.7	33,72
Kosovo	8.3	4,64
Kuwait	141.9	34,29
Kyrgyz Republic	8.0	1,24
Lao PDR	18.4	2,57
Latvia	33.9	17,73
Lebanon	52.1	7,6
Lesotho	2.9	1,36
Liberia	2.9	580
Libya	51.8	7,64
Liechtenstein	..	..
Lithuania	52.9	18,99
Luxembourg	45.8	73,91
Madagascar	14.1	520
Malawi	7.2	380
Malaysia	358.0	11,2
Maldives	5.1	9,65
Mali	17.3	880
Malta	13.7	27,29
Marshall Islands	0.3	4,86
Mauritania	7.5	1,66
Mauritius	16.1	12,74
Mexico	1,203.6	9,43
Micronesia, Fed. Sts.	0.4	3,4
Moldova	10.6	3,93
Monaco	..	..
Mongolia	12.2	3,78
Montenegro	5.6	9,01
Morocco	118.1	3,19
Mozambique	14.5	480
Myanmar	75.2	1,39
Namibia	12.6	5,06
Nauru	0.2	14,23
Nepal	31.1	1,09
Netherlands	922.1	53,2
New Caledonia	..	..
New Zealand	209.8	42,67
