Country	Consumption (2010)	Consumption (2019)
Afghanistan	14	13
Albania	11	12
Algeria	17	19
American Samoa	..	..
Andorra	..	..
Angola	17	10
Antigua and Barbuda	..	..
Argentina	15	15
Armenia	12	12
Aruba	27	17
Australia	18	19
Austria	20	19
Azerbaijan	11	11
Bahamas, The	13	12
Bahrain	13	16
Bangladesh	5	6
Barbados	15	11
Belarus	16	16
Belgium	24	23
Belize	16	17
Benin	11	10
Bermuda	15	..
Bhutan	20	17
Bolivia	14	18
Bosnia and Herzegovina	23	20
Botswana	20	18
Brazil	19	20
Brunei Darussalam	22	25
Bulgaria	17	18
Burkina Faso	14	14
Burundi	22	28
Cabo Verde	18	18
Cambodia	6	5
Cameroon	11	11
Canada	22	21
Cayman Islands	..	..
Central African Republic	8	15
Chad	7	4
Channel Islands	..	..
Chile	12	15
China	15	17
Hong Kong SAR, China	9	11
Macao SAR, China	8	10
Colombia	14	15
Comoros	11	10
Congo, Dem. Rep.	7	7
Congo, Rep.	10	8
Costa Rica	17	17
Cote d'Ivoire	12	10
Croatia	21	20
Cuba	35	30
Curacao	16	..
Cyprus	19	16
Czech Republic	21	20
Denmark	27	24
Djibouti	..	19
Dominica	..	..
Dominican Republic	10	11
Ecuador	13	15
Egypt, Arab Rep.	11	8
El Salvador	16	16
Equatorial Guinea	12	26
Eritrea	32	..
Estonia	20	20
Eswatini	21	23
Ethiopia	10	9
Faroe Islands	33	28
Fiji	..	..
Finland	24	23
France	24	23
French Polynesia	..	..
Gabon	13	9
Gambia, The	10	13
Georgia	15	13
Germany	20	20
Ghana	7	9
Greece	22	19
Greenland	47	44
Grenada	..	..
Guam	..	..
Guatemala	10	11
Guinea	13	25
Guinea-Bissau	9	11
Guyana	15	18
Haiti	8	11
Honduras	18	13
Hungary	22	19
Iceland	25	24
India	11	12
Indonesia	9	9
Iran, Islamic Rep.	11	13
Iraq	19	22
Ireland	19	12
Isle of Man	..	..
Israel	23	23
Italy	21	19
Jamaica	16	13
Japan	19	20
Jordan	17	15
Kazakhstan	11	9
Kenya	14	13
Kiribati	61	74
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	14	17
Kosovo	16	14
Kuwait	17	23
Kyrgyz Republic	18	17
Lao PDR	12	..
Latvia	18	18
Lebanon	12	15
Lesotho	41	38
Liberia	14	20
Libya	10	..
Liechtenstein	..	..
Lithuania	20	17
Luxembourg	17	17
Madagascar	13	14
Malawi	14	14
Malaysia	13	12
Maldives	..	..
Mali	16	16
Malta	19	17
Marshall Islands	55	56
Mauritania	14	13
Mauritius	14	15
Mexico	12	12
Micronesia, Fed. Sts.	..	..
Moldova	18	14
Monaco	..	..
Mongolia	13	12
Montenegro	22	18
Morocco	18	19
Mozambique	18	23
Myanmar	11	18
Namibia	26	26
Nepal	10	12
Netherlands	26	24
New Caledonia	..	..
New Zealand	20	18
Nicaragua	14	16
Niger	15	15
Nigeria	9	6
North Macedonia	18	15
Northern Mariana Islands	..	..
Norway	21	24
Oman	19	26
Pakistan	10	12
Palau	37	32
Panama	13	12
Papua New Guinea	..	..
Paraguay	9	12
Peru	11	13
Philippines	10	13
Poland	19	18
Portugal	21	17
Puerto Rico	11	8
Qatar	14	18
Romania	15	17
Russian Federation	19	18
Rwanda	13	16
Samoa	..	..
San Marino	..	20
Sao Tome and Principe	..	..
Saudi Arabia	20	24
Senegal	14	14
Serbia	19	17
Seychelles	27	21
Sierra Leone	10	9
Singapore	10	10
Sint Maarten (Dutch part)	..	..
Slovak Republic	19	20
Slovenia	20	18
Solomon Islands	..	..
Somalia	..	..
South Africa	20	21
South Sudan	16	..
Spain	21	19
Sri Lanka	8	9
St. Kitts and Nevis	..	25
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	7	6
Suriname	13	..
Sweden	25	26
Switzerland	12	12
Syrian Arab Republic	..	..
Tajikistan	11	18
Tanzania	10	8
Thailand	16	16
Timor-Leste	103	56
Togo	13	18
Tonga	18	..
Trinidad and Tobago	..	..
Tunisia	17	21
Turkey	15	16
Turkmenistan	7	8
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	8	8
Ukraine	19	20
United Arab Emirates	10	13
United Kingdom	22	19
United States	17	14
Uruguay	13	15
Uzbekistan	13	16
Vanuatu	19	..
Venezuela, RB	11	..
Vietnam	6	6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	28	26
Yemen, Rep.	..	..
Zambia	9	12
Zimbabwe	15	26
World	18	17
East Asia & Pacific	16	17
Europe & Central Asia	21	20
Latin America & Caribbean	15	16
Middle East & North Africa	16	19
North America	17	15
South Asia	11	11
Sub-Saharan Africa	14	13
Low income	12	11
Lower middle income	12	12
Upper middle income	15	16
High income	19	18
