Country	Survey Year	Workforce
Afghanistan	2014	31.7
Albania	2019	46.2
Algeria	2007	17.3
American Samoa	..	..
Andorra	..	..
Angola	2010	23.5
Antigua and Barbuda	2010	24.9
Argentina	2017	40.2
Armenia	2013	19.9
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	19.8
Bahamas, The	2010	37.1
Bahrain	..	..
Bangladesh	2013	21.9
Barbados	2010	35.5
Belarus	2018	31.5
Belgium	..	..
Belize	2010	14.4
Benin	2016	20
Bermuda	..	..
Bhutan	2015	26
Bolivia	2017	49.9
Bosnia and Herzegovina	2019	37.9
Botswana	2010	51.9
Brazil	2009	42.2
Brunei Darussalam	..	..
Bulgaria	2019	20
Burkina Faso	2009	24.8
Burundi	2014	32
Cambodia	2016	22.2
Cameroon	2016	37.6
Canada	..	..
Cabo Verde	2009	16.6
Cayman Islands	..	..
Central African Republic	2011	49.7
Chad	2018	22.9
Channel Islands	..	..
Chile	2010	57.5
China	2012	79.2
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	63
Comoros	..	..
Congo, Dem. Rep.	2013	17
Congo, Rep.	2009	37.5
Costa Rica	2010	54.7
Cote d'Ivoire	2016	35.5
Croatia	2019	26.2
Cuba	..	..
Curacao	..	..
Cyprus	2019	39.7
Czech Republic	2019	43.6
Denmark	..	..
Djibouti	2013	21.8
Dominica	2010	18.9
Dominican Republic	2016	23.4
Ecuador	2017	73.7
Egypt, Arab Rep.	2016	10
El Salvador	2016	53.8
Equatorial Guinea	..	..
Eritrea	2009	26.1
Estonia	2019	40.7
Ethiopia	2015	20.8
Faroe Islands	..	..
Fiji	2009	61
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	30.9
Gambia, The	2018	25.2
Georgia	2019	32
Germany	2005	35.4
Ghana	2013	40.1
Greece	2018	21.6
Greenland	..	..
Grenada	2010	46.2
Guam	..	..
Guatemala	2017	55.7
Guinea	2016	16
Guinea-Bissau	2006	12.4
Guyana	2010	63
Haiti	..	..
Honduras	2016	47.7
Hungary	2019	29.3
Iceland	..	..
India	2014	35.9
Indonesia	2015	7.7
Iran, Islamic Rep.	..	..
Iraq	2011	22.2
Ireland	2005	73.2
Isle of Man	..	..
Israel	2013	18.6
Italy	2019	12.6
Jamaica	2010	25.9
Japan	..	..
Jordan	2019	16.9
Kazakhstan	2019	21.8
Kenya	2018	37.4
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	39.5
Kosovo	2019	20.4
Kuwait	..	..
Kyrgyz Republic	2019	41.4
Lao PDR	2018	24.4
Latvia	2019	52.9
Lebanon	2019	20.8
Lesotho	2016	31.2
Liberia	2017	22.8
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	27.5
Luxembourg	..	..
North Macedonia	2019	39
Madagascar	2013	12.7
Malawi	2014	32.9
Malaysia	2015	18.5
Maldives	..	..
Mali	2016	17.7
Malta	2019	49.9
Marshall Islands	..	..
Mauritania	2014	52.7
Mauritius	2009	25.6
Mexico	2010	50.8
Micronesia, Fed. Sts.	2009	..
Moldova	2019	38.1
Monaco	..	..
Mongolia	2019	66.2
Montenegro	2019	15.8
Morocco	2019	35.7
Mozambique	2018	20.7
Myanmar	2016	5.9
Namibia	2014	25.4
Nepal	2013	31.9
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	57.3
Niger	2017	27.5
Nigeria	2014	30.7
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	32
Palau	..	..
Panama	2010	11
Papua New Guinea	2015	73.7
Paraguay	2017	46.4
Peru	2017	65.9
Philippines	2015	59.8
Poland	2019	21.7
Portugal	2019	29
Puerto Rico	..	..
Qatar	..	..
Romania	2013	40.7
Russian Federation	2019	11.8
Rwanda	2019	35.9
Samoa	2009	79.1
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	17.4
Serbia	2019	38.3
Seychelles	..	..
Sierra Leone	2017	21.6
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	43.3
Slovenia	2019	44
Solomon Islands	2015	42
Somalia	..	..
South Africa	2007	36.8
South Sudan	2014	17.1
Spain	2005	51.3
Sri Lanka	2011	18.4
St. Kitts and Nevis	2010	49.5
St. Lucia	2010	13.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	45.7
Sudan	2014	9.5
Suriname	2018	34.8
Eswatini	2016	36.1
Sweden	2014	70.3
Switzerland	..	..
Syrian Arab Republic	2009	38.3
Tajikistan	2019	24.3
Tanzania	2013	30.7
Thailand	2016	18
Timor-Leste	2015	1.9
Togo	2016	33.7
Tonga	2009	11.1
Trinidad and Tobago	2010	28
Tunisia	2013	28.9
Turkey	2019	30.7
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	34.7
Ukraine	2019	24.3
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	53.3
Uzbekistan	2019	16.9
Vanuatu	2009	47.5
Venezuela, RB	2010	56
Vietnam	2015	22.2
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	9.6
Yemen, Rep.	2013	14.3
Zambia	2019	36.6
Zimbabwe	2016	26.4
