Country	Stunting, height for age
Afghanistan	38.2
Albania	11.3
Algeria	11.7
American Samoa	..
Andorra	..
Angola	37.6
Antigua and Barbuda	..
Argentina	7.9
Armenia	9.4
Aruba	..
Australia	..
Austria	..
Azerbaijan	17.8
Bahamas, The	..
Bahrain	..
Bangladesh	30.8
Barbados	7.7
Belarus	..
Belgium	..
Belize	15.0
Benin	32.2
Bermuda	..
Bhutan	..
Bolivia	16.1
Bosnia and Herzegovina	8.9
Botswana	..
Brazil	..
Brunei Darussalam	..
Bulgaria	7.0
Burkina Faso	24.9
Burundi	54.2
Cabo Verde	..
Cambodia	32.4
Cameroon	28.9
Canada	..
Cayman Islands	..
Central African Republic	40.8
Chad	39.8
Channel Islands	..
Chile	1.8
China	8.1
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	12.7
Comoros	31.1
Congo, Dem. Rep.	42.7
Congo, Rep.	21.2
Costa Rica	..
Cote d'Ivoire	21.6
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	33.5
Dominica	..
Dominican Republic	7.1
Ecuador	23.9
Egypt, Arab Rep.	22.3
El Salvador	13.6
Equatorial Guinea	26.2
Eritrea	..
Estonia	..
Eswatini	25.5
Ethiopia	36.8
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	17.0
Gambia, The	13.6
Georgia	..
Germany	1.7
Ghana	17.5
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	46.7
Guinea	30.3
Guinea-Bissau	27.6
Guyana	11.3
Haiti	21.9
Honduras	22.6
Hungary	..
Iceland	..
India	34.7
Indonesia	30.5
Iran, Islamic Rep.	6.8
Iraq	12.6
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	6.0
Japan	..
Jordan	7.8
Kazakhstan	8.0
Kenya	26.2
Kiribati	..
Korea, Dem. People’s Rep.	19.1
Korea, Rep.	..
Kosovo	..
Kuwait	6.4
Kyrgyz Republic	11.8
Lao PDR	33.1
Latvia	..
Lebanon	..
Lesotho	34.6
Liberia	30.1
Libya	38.1
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	41.6
Malawi	39.0
Malaysia	20.7
Maldives	..
Mali	26.9
Malta	..
Marshall Islands	34.8
Mauritania	22.8
Mauritius	..
Mexico	10.0
Micronesia, Fed. Sts.	..
Moldova	6.4
Monaco	..
Mongolia	9.4
Montenegro	9.4
Morocco	15.1
Mozambique	42.3
Myanmar	29.4
Namibia	22.7
Nepal	36.0
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	17.3
Niger	48.5
Nigeria	36.8
North Macedonia	4.9
Northern Mariana Islands	..
Norway	..
Oman	11.4
Pakistan	37.6
Palau	..
Panama	..
Papua New Guinea	..
Paraguay	5.6
Peru	12.2
Philippines	30.3
Poland	2.6
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	36.9
Samoa	4.9
San Marino	..
Sao Tome and Principe	17.2
Saudi Arabia	..
Senegal	18.8
Serbia	6.0
Seychelles	7.9
Sierra Leone	29.5
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	31.7
Somalia	..
South Africa	27.4
South Sudan	..
Spain	..
Sri Lanka	17.3
St. Kitts and Nevis	..
St. Lucia	2.5
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	38.2
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	17.5
Tanzania	31.8
Thailand	10.5
Timor-Leste	51.7
Togo	23.8
Tonga	8.1
Trinidad and Tobago	9.2
Tunisia	8.4
Turkey	6.0
Turkmenistan	11.5
Turks and Caicos Islands	..
Tuvalu	..
Uganda	28.9
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	3.5
Uruguay	10.7
Uzbekistan	10.8
Vanuatu	28.9
Venezuela, RB	..
Vietnam	23.8
Virgin Islands (U.S.)	..
West Bank and Gaza	7.4
Yemen, Rep.	46.4
Zambia	34.6
Zimbabwe	23.5
World	21.3
East Asia & Pacific	11.0
Europe & Central Asia	..
Latin America & Caribbean	9.0
Middle East & North Africa	14.3
North America	2.6
South Asia	33.2
Sub-Saharan Africa	33.0
Low income	34.1
Lower middle income	30.1
Upper middle income	6.0
High income	2.8
