Country	%
Afghanistan	41
Albania	53
Algeria	42
American Samoa	..
Andorra	..
Angola	40
Antigua and Barbuda	..
Argentina	..
Armenia	63
Aruba	..
Australia	..
Austria	..
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	66
Barbados	..
Belarus	..
Belgium	..
Belize	45
Benin	28
Bermuda	..
Bhutan	..
Bolivia	..
Bosnia and Herzegovina	..
Botswana	..
Brazil	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	44
Burundi	35
Cabo Verde	..
Cambodia	52
Cameroon	39
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	29
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	..
Comoros	..
Congo, Dem. Rep.	40
Congo, Rep.	42
Costa Rica	..
Cote d'Ivoire	43
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	52
Ecuador	..
Egypt, Arab Rep.	8
El Salvador	72
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	46
Ethiopia	29
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	51
Georgia	..
Germany	..
Ghana	42
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	56
Guinea	42
Guinea-Bissau	55
Guyana	29
Haiti	52
Honduras	..
Hungary	..
Iceland	..
India	40
Indonesia	61
Iran, Islamic Rep.	..
Iraq	37
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	46
Kazakhstan	..
Kenya	53
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	71
Korea, Rep.	..
Kosovo	35
Kuwait	..
Kyrgyz Republic	67
Lao PDR	61
Latvia	..
Lebanon	..
Lesotho	61
Liberia	46
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	..
Malawi	57
Malaysia	..
Maldives	73
Mali	34
Malta	..
Marshall Islands	..
Mauritania	35
Mauritius	..
Mexico	80
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	83
Montenegro	..
Morocco	..
Mozambique	43
Myanmar	56
Namibia	52
Nepal	61
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	..
Nigeria	36
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	46
Pakistan	35
Palau	..
Panama	53
Papua New Guinea	47
Paraguay	59
Peru	60
Philippines	45
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	43
Samoa	59
San Marino	..
Sao Tome and Principe	62
Saudi Arabia	..
Senegal	44
Serbia	..
Seychelles	..
Sierra Leone	51
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	56
Somalia	..
South Africa	57
South Sudan	..
Spain	..
Sri Lanka	63
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	59
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	63
Tanzania	46
Thailand	71
Timor-Leste	57
Togo	33
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	..
Turkmenistan	39
Turks and Caicos Islands	..
Tuvalu	..
Uganda	37
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	..
Vanuatu	41
Venezuela, RB	..
Vietnam	58
Virgin Islands (U.S.)	..
West Bank and Gaza	38
Yemen, Rep.	40
Zambia	57
Zimbabwe	51
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	40
Sub-Saharan Africa	40
Low income	..
Lower middle income	39
Upper middle income	..
High income	..
