Country	Savings %
Afghanistan	2.6
Albania	3.3
Algeria	4.5
American Samoa	11.8
Andorra	2.4
Angola	3.6
Antigua and Barbuda	2.3
Argentina	5
Armenia	2.3
Aruba	6.5
Australia	5
Austria	5.2
Azerbaijan	2.6
Bahamas, The	3.8
Bahrain	2.9
Bangladesh	1.2
Barbados	5
Belarus	4.7
Belgium	6.1
Belize	6.4
Benin	4
Bermuda	2.1
Bhutan	6.8
Bolivia	6.1
Bosnia and Herzegovina	..
Botswana	9.5
Brazil	6.1
Brunei Darussalam	4
Bulgaria	3.9
Burkina Faso	4.3
Burundi	5.2
Cabo Verde	5.2
Cambodia	2
Cameroon	2.7
Canada	4.9
Cayman Islands	..
Central African Republic	1.2
Chad	1.8
Channel Islands	..
Chile	4.6
China	1.8
Hong Kong SAR, China	2.8
Macao SAR, China	2.7
Colombia	4.1
Comoros	2.5
Congo, Dem. Rep.	2.1
Congo, Rep.	2.5
Costa Rica	7.2
Cote d'Ivoire	4.3
Croatia	4.5
Cuba	13
Curacao	5
Cyprus	6.2
Czech Republic	5.6
Denmark	6.9
Djibouti	7.4
Dominica	5
Dominican Republic	2.5
Ecuador	3.9
Egypt, Arab Rep.	4.4
El Salvador	3.6
Equatorial Guinea	1
Eritrea	1.7
Estonia	4.9
Eswatini	6.8
Ethiopia	3.1
Faroe Islands	..
Fiji	4
Finland	6.3
France	4.9
French Polynesia	0.5
Gabon	3.1
Gambia, The	2.7
Georgia	1.8
Germany	4.4
Ghana	4.2
Greece	3.1
Greenland	..
Grenada	3.8
Guam	8.3
Guatemala	2.8
Guinea	2.3
Guinea-Bissau	1.2
Guyana	2.9
Haiti	1.5
Honduras	6.3
Hungary	4.5
Iceland	7.4
India	3.1
Indonesia	3.3
Iran, Islamic Rep.	3.6
Iraq	4.6
Ireland	4.2
Isle of Man	..
Israel	5.3
Italy	3.7
Jamaica	5.6
Japan	2.7
Jordan	3.2
Kazakhstan	3
Kenya	4.9
Kiribati	6.1
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	4.6
Kosovo	..
Kuwait	3.2
Kyrgyz Republic	5.4
Lao PDR	2.6
Latvia	4.3
Lebanon	2.1
Lesotho	5.5
Liberia	3.7
Libya	2.1
Liechtenstein	3.1
Lithuania	3.9
Luxembourg	5.5
Madagascar	2.1
Malawi	4.6
Malaysia	4.4
Maldives	4.4
Mali	3.8
Malta	4.7
Marshall Islands	6.5
Mauritania	2.9
Mauritius	4.8
Mexico	4.9
Micronesia, Fed. Sts.	23.6
Moldova	4.6
Monaco	1
Mongolia	4.3
Montenegro	..
Morocco	5.2
Mozambique	5.4
Myanmar	1.8
Namibia	2.9
Nepal	3.2
Netherlands	5
New Caledonia	0.5
New Zealand	7.4
Nicaragua	4.1
Niger	3.5
Nigeria	0.9
North Macedonia	3.3
Northern Mariana Islands	..
Norway	6.7
Oman	6.5
Pakistan	2
Palau	..
Panama	2.8
Papua New Guinea	6.9
Paraguay	3.4
Peru	3.3
Philippines	1.8
Poland	4.6
Portugal	4.8
Puerto Rico	8.6
Qatar	2.2
Romania	2.8
Russian Federation	3.6
Rwanda	3.2
Samoa	4.2
San Marino	3.6
Sao Tome and Principe	3.5
Saudi Arabia	7.2
Senegal	5
Serbia	3.8
Seychelles	4.5
Sierra Leone	2.7
Singapore	2.8
Sint Maarten (Dutch part)	..
Slovak Republic	3.8
Slovenia	4.3
Solomon Islands	9.9
Somalia	1
South Africa	6
South Sudan	1.8
Spain	4
Sri Lanka	1.6
St. Kitts and Nevis	3.3
St. Lucia	3.7
St. Martin (French part)	..
St. Vincent and the Grenadines	5.2
Sudan	2.2
Suriname	3.4
Sweden	7.2
Switzerland	4.5
Syrian Arab Republic	2.6
Tajikistan	3.8
Tanzania	3.7
Thailand	4.2
Timor-Leste	3.2
Togo	4.9
Tonga	2.9
Trinidad and Tobago	2.9
Tunisia	5.9
Turkey	3.8
Turkmenistan	2.3
Turks and Caicos Islands	2.4
Tuvalu	..
Uganda	2
Ukraine	5.1
United Arab Emirates	..
United Kingdom	5.5
United States	4.4
Uruguay	5
Uzbekistan	9.4
Vanuatu	4.7
Venezuela, RB	6.5
Vietnam	4.6
Virgin Islands (U.S.)	9.4
West Bank and Gaza	..
Yemen, Rep.	3.6
Zambia	3.5
Zimbabwe	1.9
World	3.9
East Asia & Pacific	2.6
Europe & Central Asia	4.7
Latin America & Caribbean	5.1
Middle East & North Africa	5.2
North America	4.4
South Asia	2.8
Sub-Saharan Africa	3.5
Low income	2.9
Lower middle income	3.1
Upper middle income	2.9
High income	4.5
