Country	Total
Afghanistan	-14.9
Albania	148.8
Algeria	0
American Samoa	..
Andorra	..
Angola	44.4
Antigua and Barbuda	..
Argentina	1669.2
Armenia	86.7
Aruba	..
Australia	..
Austria	..
Azerbaijan	246.7
Bahamas, The	..
Bahrain	..
Bangladesh	1952.1
Barbados	..
Belarus	-124
Belgium	..
Belize	13
Benin	44.5
Bermuda	..
Bhutan	41.4
Bolivia	613.6
Bosnia and Herzegovina	109.4
Botswana	-85.4
Brazil	737.8
Brunei Darussalam	..
Bulgaria	-133.9
Burkina Faso	240.6
Burundi	0.4
Cabo Verde	27.9
Cambodia	64.8
Cameroon	857.6
Canada	..
Cayman Islands	..
Central African Republic	35.7
Chad	-14.4
Channel Islands	..
Chile	..
China	379.4
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	1696.7
Comoros	0.3
Congo, Dem. Rep.	68.9
Congo, Rep.	6.9
Costa Rica	1.4
Cote d'Ivoire	425
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	42.2
Dominica	-4
Dominican Republic	252.8
Ecuador	799.1
Egypt, Arab Rep.	1217.4
El Salvador	104.1
Equatorial Guinea	..
Eritrea	-3.8
Estonia	..
Ethiopia	1703.2
Faroe Islands	..
Fiji	29.1
Finland	..
France	..
French Polynesia	..
Gabon	330.8
Gambia, The	36.3
Georgia	211.3
Germany	..
Ghana	91
Greece	..
Greenland	..
Grenada	24.8
Guam	..
Guatemala	67.6
Guinea	110.6
Guinea-Bissau	68.4
Guyana	64.4
Haiti	-1.6
Honduras	202.5
Hungary	..
Iceland	..
India	1747.5
Indonesia	1663.4
Iran, Islamic Rep.	-67.1
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	18
Japan	..
Jordan	370.6
Kazakhstan	-280.9
Kenya	1509.9
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	5.4
Kuwait	..
Kyrgyz Republic	32.3
Lao PDR	13.3
Latvia	..
Lebanon	52.7
Lesotho	21.1
Liberia	99.7
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	-38.6
Madagascar	130.9
Malawi	137.8
Malaysia	..
Maldives	69
Mali	382.5
Malta	..
Marshall Islands	..
Mauritania	-45.2
Mauritius	-42.2
Mexico	273.1
Micronesia, Fed. Sts.	..
Moldova	99.8
Monaco	..
Mongolia	260.3
Montenegro	-32.6
Morocco	45.9
Mozambique	231.3
Myanmar	206.8
Namibia	..
Nepal	647.2
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	410.6
Niger	184.9
Nigeria	1040
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	480.2
Palau	..
Panama	..
Papua New Guinea	372.5
Paraguay	292.7
Peru	-425.9
Philippines	1058.7
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	-2036.2
Russian Federation	-128.8
Rwanda	424.6
Samoa	-2
San Marino	..
Sao Tome and Principe	2.9
Saudi Arabia	..
Senegal	242.8
Serbia	-116.8
Seychelles	..
Sierra Leone	21.6
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	2.4
Somalia	0
South Africa	-168.5
South Sudan	..
Spain	..
Sri Lanka	332.8
St. Kitts and Nevis	..
St. Lucia	-7.9
St. Martin (French part)	..
St. Vincent and the Grenadines	-4.3
Sudan	27
Suriname	..
Eswatini	18.1
Sweden	..
Switzerland	..
Syrian Arab Republic	1.3
Tajikistan	60.8
Tanzania	690.2
Thailand	51.7
Timor-Leste	35.4
Togo	89
Tonga	4
Trinidad and Tobago	..
Tunisia	448.5
Turkey	706.8
Turkmenistan	-5.8
Turks and Caicos Islands	..
Tuvalu	..
Uganda	285.6
Ukraine	-561.4
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	1574.6
Vanuatu	27.1
Venezuela, RB	317.7
Vietnam	844.8
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	-51.5
Zambia	229.9
Zimbabwe	-40.8
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	5255.4
Sub-Saharan Africa	..
Low income	5609.9
Lower middle income	17459.8
Upper middle income	7001.8
High income	..
