Country	Index
Afghanistan	1.95
Albania	2.66
Algeria	2.45
American Samoa	..
Andorra	..
Angola	02.05
Antigua and Barbuda	..
Argentina	2.89
Armenia	2.61
Aruba	..
Australia	3.75
Austria	04.03
Azerbaijan	2.45
Bahamas, The	2.53
Bahrain	2.93
Bangladesh	2.58
Barbados	..
Belarus	2.57
Belgium	04.04
Belize	..
Benin	2.75
Bermuda	..
Bhutan	2.17
Bolivia	2.36
Bosnia and Herzegovina	2.81
Botswana	03.05
Brazil	2.99
Brunei Darussalam	2.71
Bulgaria	03.03
Burkina Faso	2.62
Burundi	02.06
Cabo Verde	..
Cambodia	2.58
Cameroon	2.6
Canada	3.73
Cayman Islands	..
Central African Republic	2.15
Chad	2.42
Channel Islands	..
Chile	3.32
China	3.61
Hong Kong SAR, China	3.92
Macao SAR, China	..
Colombia	2.94
Comoros	2.56
Congo, Dem. Rep.	2.43
Congo, Rep.	2.49
Costa Rica	2.79
Cote d'Ivoire	03.08
Croatia	3.1
Cuba	2.2
Curacao	..
Cyprus	3.15
Czech Republic	3.68
Denmark	3.99
Djibouti	2.63
Dominica	..
Dominican Republic	2.66
Ecuador	2.88
Egypt, Arab Rep.	2.82
El Salvador	2.58
Equatorial Guinea	2.32
Eritrea	02.09
Estonia	3.31
Ethiopia	2.38
Faroe Islands	..
Fiji	2.35
Finland	3.97
France	3.84
French Polynesia	..
Gabon	2.16
Gambia, The	2.4
Georgia	2.44
Germany	4.2
Ghana	2.57
Greece	3.2
Greenland	..
Grenada	..
Guam	..
Guatemala	2.41
Guinea	2.2
Guinea-Bissau	2.39
Guyana	2.36
Haiti	2.11
Honduras	2.6
Hungary	3.42
Iceland	3.23
India	3.18
Indonesia	3.15
Iran, Islamic Rep.	2.85
Iraq	2.18
Ireland	3.51
Isle of Man	..
Israel	3.31
Italy	3.74
Jamaica	2.52
Japan	04.03
Jordan	2.69
Kazakhstan	2.81
Kenya	2.81
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	3.61
Kosovo	..
Kuwait	2.86
Kyrgyz Republic	2.55
Lao PDR	2.7
Latvia	2.81
Lebanon	2.72
Lesotho	2.28
Liberia	2.23
Libya	2.11
Liechtenstein	..
Lithuania	03.02
Luxembourg	3.63
North Macedonia	2.7
Madagascar	2.39
Malawi	2.59
Malaysia	3.22
Maldives	2.67
Mali	2.59
Malta	2.81
Marshall Islands	..
Mauritania	2.33
Mauritius	2.73
Mexico	03.05
Micronesia, Fed. Sts.	..
Moldova	2.46
Monaco	..
Mongolia	2.37
Montenegro	2.75
Morocco	2.54
Mozambique	2.68
Myanmar	2.3
Namibia	2.74
Nepal	2.51
Netherlands	04.02
New Caledonia	..
New Zealand	3.88
Nicaragua	2.53
Niger	02.07
Nigeria	2.53
Northern Mariana Islands	..
Norway	3.7
Oman	3.2
Pakistan	2.42
Palau	..
Panama	3.28
Papua New Guinea	2.17
Paraguay	2.78
Peru	2.69
Philippines	2.9
Poland	3.54
Portugal	3.64
Puerto Rico	..
Qatar	3.47
Romania	3.12
Russian Federation	2.76
Rwanda	2.97
Samoa	..
San Marino	..
Sao Tome and Principe	2.65
Saudi Arabia	03.01
Senegal	2.25
Serbia	2.84
Seychelles	..
Sierra Leone	02.08
Singapore	4
Sint Maarten (Dutch part)	..
Slovak Republic	03.03
Slovenia	3.31
Solomon Islands	2.57
Somalia	2.21
South Africa	3.38
South Sudan	..
Spain	3.83
Sri Lanka	2.6
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	2.43
Suriname	..
Eswatini	..
Sweden	04.05
Switzerland	3.9
Syrian Arab Republic	2.3
Tajikistan	2.34
Tanzania	2.99
Thailand	3.41
Timor-Leste	..
Togo	2.45
Tonga	..
Trinidad and Tobago	2.42
Tunisia	2.57
Turkey	3.15
Turkmenistan	2.41
Turks and Caicos Islands	..
Tuvalu	..
Uganda	2.58
Ukraine	2.83
United Arab Emirates	3.96
United Kingdom	3.99
United States	3.89
Uruguay	2.69
Uzbekistan	2.58
Vanuatu	..
Venezuela, RB	2.23
Vietnam	3.27
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	2.27
Zambia	2.53
Zimbabwe	2.12
World	2.87
East Asia & Pacific	3.15
Europe & Central Asia	3.24
Latin America & Caribbean	2.66
Middle East & North Africa	2.78
North America	3.81
South Asia	2.51
Sub-Saharan Africa	2.45
Low income	2.33
Lower middle income	2.56
Upper middle income	2.73
High income	3.46
