Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)
Afghanistan	..	7.2
Albania	3.6	3.9
Algeria	1.9	3.3
American Samoa	..	-1.4
Andorra	3.4	0.5
Angola	2.1	6.1
Antigua and Barbuda	3.7	1.8
Argentina	4.1	2.9
Armenia	-1.9	5.5
Aruba	4.7	0.2
Australia	3.6	2.9
Austria	2.5	1.4
Azerbaijan	-6.3	8.7
Bahamas, The	2.6	0.4
Bahrain	5	4.6
Bangladesh	4.7	6.2
Barbados	1.7	0.4
Belarus	-1.6	4.6
Belgium	2.2	1.5
Belize	4.6	2.6
Benin	4.6	4.2
Bermuda	2.9	0.5
Bhutan	5.2	7.5
Bolivia	4	4.6
Bosnia and Herzegovina	28.5	2.9
Botswana	5	4.4
Brazil	2.8	2.6
Brunei Darussalam	2.1	0.5
Bulgaria	-1.9	3.2
Burkina Faso	5.5	5.8
Burundi	-2.9	3
Cabo Verde	12.1	4.3
Cambodia	3	7.4
Cameroon	1.6	4.2
Canada	2.8	2.5
Cayman Islands	..	0.7
Central African Republic	1.8	0.3
Chad	2.2	6.4
Channel Islands	..	..
Chile	6.4	3.9
China	10.6	9.4
Hong Kong SAR, China	3.6	3.6
Macao SAR, China	2.2	8.1
Colombia	3	4.2
Comoros	1.6	2.9
Congo, Dem. Rep.	-4.9	5.9
Congo, Rep.	1	3.8
Costa Rica	4.9	4.1
Cote d'Ivoire	3.1	3.8
Croatia	3.1	1.2
Cuba	-0.7	4.2
Curacao	..	..
Cyprus	4.6	1.7
Czech Republic	1.4	2.5
Denmark	2.8	1.1
Djibouti	..	..
Dominica	2.1	1.5
Dominican Republic	6.2	5.1
Ecuador	2.2	3.8
Egypt, Arab Rep.	4.6	4.3
El Salvador	3.5	2.1
Equatorial Guinea	36.7	5.6
Eritrea	6.5	0.5
Estonia	5.3	2.8
Eswatini	3.2	3.2
Ethiopia	3.8	9.7
Faroe Islands	..	..
Fiji	2.7	2.4
Finland	2.9	1.1
France	2	1.1
French Polynesia	..	..
Gabon	2.3	2.8
Gambia, The	3	2.6
Georgia	-7.1	5.5
Germany	1.6	1.3
Ghana	4.3	6.5
Greece	2.4	-0.9
Greenland	1.9	2.4
Grenada	3.5	2.2
Guam	..	1.1
Guatemala	4.2	3.5
Guinea	4.2	4.3
Guinea-Bissau	0.6	3.4
Guyana	5.4	3.5
