Country	Tax
Afghanistan	0
Albania	14.1
Algeria	8.1
American Samoa	..
Andorra	..
Angola	21.5
Antigua and Barbuda	25.5
Argentina	3.6
Armenia	21.8
Aruba	..
Australia	26.1
Austria	17.1
Azerbaijan	12.7
Bahamas, The	0
Bahrain	0
Bangladesh	31.1
Barbados	19.8
Belarus	11.1
Belgium	10.3
Belize	24.7
Benin	11.9
Bermuda	..
Bhutan	33.9
Bolivia	0
Bosnia and Herzegovina	8.4
Botswana	21.5
Brazil	22.4
Brunei Darussalam	0.1
Bulgaria	4.9
Burkina Faso	16.2
Burundi	28.5
Cabo Verde	18.3
Cambodia	19
Cameroon	38.9
Canada	8
Cayman Islands	..
Central African Republic	0
Chad	31.3
Channel Islands	..
Chile	26.2
China	6.3
Hong Kong SAR, China	16.5
Macao SAR, China	..
Colombia	21.1
Comoros	30.4
Congo, Dem. Rep.	23.6
Congo, Rep.	0
Costa Rica	19.2
Cote d'Ivoire	8.8
Croatia	0
Cuba	..
Curacao	..
Cyprus	8.3
Czech Republic	5.2
Denmark	17.1
Djibouti	17.7
Dominica	21.8
Dominican Republic	29.1
Ecuador	18.2
Egypt, Arab Rep.	14.4
El Salvador	16.6
Equatorial Guinea	53
Eritrea	9.2
Estonia	7.7
Ethiopia	24.6
Faroe Islands	..
Fiji	19.6
Finland	12.1
France	0.2
French Polynesia	..
Gabon	20.3
Gambia, The	24.4
Georgia	7.8
Germany	23.2
Ghana	10
Greece	23
Greenland	..
Grenada	26.5
Guam	..
Guatemala	20.2
Guinea	0
Guinea-Bissau	15.1
Guyana	19.6
Haiti	22.8
Honduras	29.2
Hungary	9.4
Iceland	8.5
India	21.6
Indonesia	18.1
Iran, Islamic Rep.	18.4
Iraq	15
Ireland	12.4
Isle of Man	..
Israel	18
Italy	14.6
Jamaica	13.6
Japan	23.9
Jordan	10.5
Kazakhstan	16.4
Kenya	30.1
Kiribati	24.3
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	18.2
Kosovo	9.3
Kuwait	0
Kyrgyz Republic	6.7
Lao PDR	16.4
Latvia	7.8
Lebanon	6.9
Lesotho	10.8
Liberia	35.4
Libya	22.1
Liechtenstein	-2
Lithuania	5.9
Luxembourg	4.2
North Macedonia	11
Madagascar	16.6
Malawi	20.4
Malaysia	19.6
Maldives	13.1
Mali	7.5
Malta	32.3
Marshall Islands	0
Mauritania	0
Mauritius	10.3
Mexico	27
Micronesia, Fed. Sts.	0
Moldova	8.7
Monaco	..
Mongolia	10.2
Montenegro	8.3
Morocco	21.1
Mozambique	30.8
Myanmar	26.8
Namibia	16.7
Nepal	15
Netherlands	20.4
New Caledonia	..
New Zealand	29.9
Nicaragua	17.3
Niger	21.6
Nigeria	21
Northern Mariana Islands	..
Norway	20
Oman	14.4
Pakistan	17.8
Palau	65.8
Panama	12.4
Papua New Guinea	23.2
Paraguay	9.6
Peru	22.7
Philippines	20.2
Poland	14.5
Portugal	12.5
Puerto Rico	30.8
Qatar	0
Romania	15.6
Russian Federation	7.3
Rwanda	25.7
Samoa	10.9
San Marino	5
Sao Tome and Principe	19.4
Saudi Arabia	2.2
Senegal	16.2
Serbia	13
Seychelles	18.8
Sierra Leone	18.5
Singapore	2.1
Sint Maarten (Dutch part)	..
Slovak Republic	9.1
Slovenia	12.7
Solomon Islands	23.3
Somalia	..
South Africa	21.8
South Sudan	9.2
Spain	10.6
Sri Lanka	1.2
St. Kitts and Nevis	30.5
St. Lucia	25.8
St. Martin (French part)	..
St. Vincent and the Grenadines	27.6
Sudan	11.5
Suriname	27.9
Eswatini	25.2
Sweden	13.1
Switzerland	9.3
Syrian Arab Republic	23
Tajikistan	17.7
Tanzania	20.8
Thailand	22.2
Timor-Leste	10.5
Togo	10.3
Tonga	21.2
Trinidad and Tobago	25.8
Tunisia	13.6
Turkey	20
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	22.3
Ukraine	10.2
United Arab Emirates	0
United Kingdom	16.6
United States	20.7
Uruguay	23.6
Uzbekistan	11.8
Vanuatu	0
Venezuela, RB	9.4
Vietnam	13.2
Virgin Islands (U.S.)	..
West Bank and Gaza	15
Yemen, Rep.	13.8
Zambia	2
Zimbabwe	17.6
World	16
East Asia & Pacific	17.3
Europe & Central Asia	11.3
Latin America & Caribbean	20.3
Middle East & North Africa	12.7
North America	14.4
South Asia	16.7
Sub-Saharan Africa	18.5
Low income	17.8
Lower middle income	16
Upper middle income	17.2
High income	14.1
