Country	Individuals using the Internet
Afghanistan	11.4
Albania	69.6
Algeria	49
American Samoa	..
Andorra	91.6
Angola	14.3
Antigua and Barbuda	73
Argentina	74.3
Armenia	68.2
Aruba	97.2
Australia	86.5
Austria	87.5
Azerbaijan	79.8
Bahamas, The	85
Bahrain	98.6
Bangladesh	12.9
Barbados	81.8
Belarus	79.1
Belgium	88.7
Belize	47.1
Benin	14.1
Bermuda	98.4
Bhutan	41.8
Bolivia	44.3
Bosnia and Herzegovina	70.1
Botswana	41.4
Brazil	70.4
British Virgin Islands	77.7
Brunei Darussalam	95
Bulgaria	64.8
Burkina Faso	15.9
Burundi	2.7
Cabo Verde	57.2
Cambodia	40.5
Cameroon	23.2
Canada	92.7
Cayman Islands	81.1
Central African Republic	4.3
Chad	6.5
Channel Islands	..
Chile	82.3
China	54.3
Colombia	64.1
Comoros	8.5
Congo, Dem. Rep.	8.6
Congo, Rep.	8.7
Costa Rica	73.5
Cote d'Ivoire	37.5
Croatia	75.3
Cuba	62.7
Curacao	68.1
Cyprus	84.4
Czech Republic	80.7
Denmark	97.3
Djibouti	55.7
Dominica	69.6
Dominican Republic	74.8
Ecuador	54.1
Egypt, Arab Rep.	46.9
El Salvador	33.8
Equatorial Guinea	26.2
Eritrea	1.3
Estonia	89.4
Eswatini	30.3
Ethiopia	18.6
Faroe Islands	97.6
Fiji	50
Finland	88.9
France	82
French Polynesia	72.7
Gabon	50.3
Gambia, The	19.8
Georgia	62.7
Germany	87
Ghana	37.9
Gibraltar	94.4
Greece	72.2
Greenland	69.5
Grenada	59.1
Guam	80.5
Guatemala	40.7
Guinea	21.8
Guinea-Bissau	3.9
Guyana	37.3
Haiti	32.5
Honduras	32.1
Hong Kong SAR, China	90.5
Hungary	76.1
Iceland	99
India	20.1
Indonesia	39.9
Iran, Islamic Rep.	70
Iraq	75
Ireland	84.5
Isle of Man	..
Israel	83.7
Italy	74.4
Jamaica	55.1
Japan	91.3
Jordan	66.8
Kazakhstan	78.9
Kenya	22.6
Kiribati	14.6
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	96
Kosovo	89.4
Kuwait	99.6
Kyrgyz Republic	38.2
Lao PDR	25.5
Latvia	83.6
Lebanon	78.2
Lesotho	29.8
Liberia	8
Libya	21.8
Liechtenstein	99.5
Lithuania	79.7
Luxembourg	97.1
Macao SAR, China	83.8
North Macedonia	79.2
Madagascar	4.7
Malawi	13.8
Malaysia	81.2
Maldives	63.2
Mali	12.7
Malta	81.7
Marshall Islands	38.7
Mauritania	20.8
Mauritius	58.6
Mexico	65.8
Micronesia, Fed. Sts.	35.3
Moldova	76.1
Monaco	97.1
Mongolia	47.1
Montenegro	71.5
Morocco	64.8
Mozambique	20.8
Myanmar	23.6
Namibia	36.8
Nauru	62.4
Nepal	21.4
Netherlands	92.6
New Caledonia	82
New Zealand	90.8
Nicaragua	27.9
Niger	5.3
Nigeria	7.5
Northern Mariana Islands	..
Norway	96.5
Oman	92.4
Pakistan	17.1
Palau	..
Panama	61.8
Papua New Guinea	11.2
Paraguay	65
Peru	55.1
Philippines	43
Poland	77.5
Portugal	74.7
Puerto Rico	70.9
Qatar	99.7
Romania	70.7
Russian Federation	80.9
Rwanda	21.8
Samoa	33.6
San Marino	60.2
Sao Tome and Principe	29.9
Saudi Arabia	93.3
Senegal	29.6
Serbia	73.4
Seychelles	58.8
Sierra Leone	13.2
Singapore	88.2
Sint Maarten (Dutch part)	..
Slovak Republic	80.4
Slovenia	79.7
Solomon Islands	11.9
Somalia	2
South Africa	56.2
South Sudan	8
Spain	86.1
Sri Lanka	34.1
St. Kitts and Nevis	80.7
St. Lucia	50.8
St. Martin (French part)	..
St. Vincent and the Grenadines	20.7
Sudan	30.9
Suriname	48.9
Sweden	94.5
Switzerland	93.1
Syrian Arab Republic	34.3
Tajikistan	22
Tanzania	16
Thailand	56.8
Timor-Leste	27.5
Togo	12.4
Tonga	41.2
Trinidad and Tobago	77.3
Tunisia	64.2
