Country	Goveernment % (2010)	Goveernment % (2018)
Afghanistan	11.1	12.2
Albania	23.9	25.5
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	35	16.4
Antigua and Barbuda	..	..
Argentina	21.2	17.9
Armenia	22.6	22.5
Aruba	..	..
Australia	23.4	25.7
Austria	43.5	43.7
Azerbaijan	46.8	39.4
Bahamas, The	12.8	16.4
Bahrain	..	..
Bangladesh	9.7	10.2
Barbados	26.6	29.6
Belarus	30.3	30.8
Belgium	40.4	39.2
Belize	27.7	29.4
Benin	..	..
Bermuda	..	..
Bhutan	22	22.2
Bolivia	23.3	..
Bosnia and Herzegovina	38.4	38.9
Botswana	36.3	26.7
Brazil	29	29.1
Brunei Darussalam	..	..
Bulgaria	30.6	34.4
Burkina Faso	13.6	16.5
Burundi	..	..
Cabo Verde	26.4	28.8
Cambodia	11.5	19.9
Cameroon	16.4	15.7
Canada	16.9	18.3
Cayman Islands	..	..
Central African Republic	9.2	8.8
Chad	..	..
Channel Islands	..	..
Chile	21.4	22
China	11.2	15.9
Hong Kong SAR, China	..	..
Macao SAR, China	36.7	31.7
Colombia	21.6	21.5
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	37.8	29.8
Costa Rica	23.1	25.1
Cote d'Ivoire	15.8	12.1
Croatia	35.7	39.9
Cuba	..	..
Curacao	..	..
Cyprus	36.2	37.9
Czech Republic	30.4	32.5
Denmark	39.9	38.1
Djibouti	..	..
Dominica	..	..
Dominican Republic	13.8	15.2
Ecuador	..	..
Egypt, Arab Rep.	24.8	21
El Salvador	22	24.9
Equatorial Guinea	26.6	19.5
Eritrea	..	..
Estonia	35.6	34.7
Eswatini	..	..
Ethiopia	10.8	9
Faroe Islands	..	..
Fiji	24	26.4
Finland	35.3	36.7
France	42.9	44.2
French Polynesia	..	..
Gabon	29.8	16.8
Gambia, The	10.1	..
Georgia	22.7	23
Germany	28	29.1
Ghana	16.7	15.5
Greece	39.7	46
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	11.1	11.3
Guinea	..	..
Guinea-Bissau	..	12.7
Guyana	..	..
Haiti	..	..
Honduras	20.6	23.4
Hungary	38.4	39
Iceland	27.7	31.2
India	13.2	12.9
Indonesia	14.5	13
Iran, Islamic Rep.	25.4	..
Iraq	..	26.3
Ireland	30.9	24.2
Isle of Man	..	..
Israel	32	31.8
Italy	38.7	39.4
Jamaica	27.4	31.1
Japan	9.9	13.1
Jordan	22.4	24.1
Kazakhstan	21.4	16
Kenya	..	19.6
Kiribati	54.7	99.6
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	20.1	27.5
Kosovo	..	..
Kuwait	64.3	38.6
Kyrgyz Republic	..	28
Lao PDR	..	..
Latvia	38.2	41.7
Lebanon	20.1	19.2
Lesotho	40.7	36.7
Liberia	13.5	..
Libya	..	..
Liechtenstein	..	..
Lithuania	30.3	31.9
Luxembourg	41	41.6
Madagascar	9.8	11.4
Malawi	17	18.5
Malaysia	19.4	16.1
Maldives	17.7	..
Mali	15.2	12.4
Malta	38.2	38.2
Marshall Islands	20.3	32.2
Mauritania	..	..
Mauritius	22.1	22.6
Mexico	18	18.9
Micronesia, Fed. Sts.	12.2	44.7
Moldova	26.3	27.7
Monaco	..	..
Mongolia	29	28.7
Montenegro	..	..
Morocco	26.6	25.8
Mozambique	16.4	23.5
Myanmar	19.7	13.1
Namibia	28.3	34.1
Nepal	14.9	22.9
Netherlands	37.7	39.1
New Caledonia	..	..
New Zealand	32.4	32.6
Nicaragua	14.7	16.9
Niger	..	..
Nigeria	..	..
North Macedonia	28.9	26.9
Northern Mariana Islands	..	..
Norway	47.1	47.4
Oman	..	..
Pakistan	..	..
Palau	20.4	27.3
Panama	..	..
Papua New Guinea	..	15.9
Paraguay	14.7	17.3
Peru	20.3	19
Philippines	12.8	15.5
Poland	31.9	34.5
Portugal	34.4	38.1
Puerto Rico	..	..
Qatar	..	..
Romania	30.7	30.1
Russian Federation	26.1	27.3
Rwanda	..	20.4
Samoa	27.3	33.1
San Marino	37.4	41.6
Sao Tome and Principe	..	..
Saudi Arabia	37.4	30.7
Senegal	..	19.7
Serbia	34.5	..
Seychelles	32.8	37.7
Sierra Leone	..	..
Singapore	16.8	18.4
Sint Maarten (Dutch part)	..	..
Slovak Republic	33.1	38.4
Slovenia	38.8	39.2
Solomon Islands	31.3	33.8
Somalia	..	..
South Africa	28.1	31.6
South Sudan	..	..
Spain	14.8	16.3
Sri Lanka	12.7	13.4
St. Kitts and Nevis	24.7	27.9
St. Lucia	19.3	19.4
St. Martin (French part)	..	..
St. Vincent and the Grenadines	26.3	27.2
Sudan	12.2	9.5
Suriname	..	..
Sweden	33.5	33.6
Switzerland	17.3	18
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	10.4	13.7
Thailand	19	19.5
Timor-Leste	274.5	68.1
Togo	17.5	20.3
Tonga	19.9	25.6
Trinidad and Tobago	32.9	30.5
Tunisia	29	..
Turkey	31.7	30.8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	12.5
Ukraine	34.4	32.1
United Arab Emirates	3.4	3.4
United Kingdom	34.4	35.3
United States	16.5	17.2
Uruguay	29.9	34.4
Uzbekistan	24.4	22.3
Vanuatu	17.9	30.6
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	6.5	6.9
Yemen, Rep.	..	..
Zambia	14.4	18.9
Zimbabwe	19.4	23.2
World	22.4	24.6
East Asia & Pacific	13	16.3
Europe & Central Asia	33.1	33.9
Latin America & Caribbean	23.9	23.9
Middle East & North Africa	..	..
North America	16.5	17.3
South Asia	12.9	13
Sub-Saharan Africa	..	23
Low income	..	..
Lower middle income	16.9	15.5
Upper middle income	18.9	20.3
High income	23.8	24.8
