Country	Survey Year	Regulations and tax
Afghanistan	2014	13.7
Albania	2019	10.9
Algeria	2007	19.3
American Samoa	..	..
Andorra	..	..
Angola	2010	34.7
Antigua and Barbuda	2010	2.9
Argentina	2017	88.2
Armenia	2013	20
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	5
Bahamas, The	2010	17.4
Bahrain	..	..
Bangladesh	2013	33.5
Barbados	2010	49.3
Belarus	2018	38
Belgium	..	..
Belize	2010	1.9
Benin	2016	30.7
Bermuda	..	..
Bhutan	2015	1.2
Bolivia	2017	26.6
Bosnia and Herzegovina	2019	15.9
Botswana	2010	27.2
Brazil	2009	79.7
Brunei Darussalam	..	..
Bulgaria	2019	20.8
Burkina Faso	2009	35.8
Burundi	2014	10.1
Cambodia	2016	33
Cameroon	2016	35.4
Canada	..	..
Cabo Verde	2009	39.2
Cayman Islands	..	..
Central African Republic	2011	14.5
Chad	2018	34.1
Channel Islands	..	..
Chile	2010	68.5
China	2012	27.5
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	45.1
Comoros	..	..
Congo, Dem. Rep.	2013	24.1
Congo, Rep.	2009	..
Costa Rica	2010	35.6
Cote d'Ivoire	2016	43.9
Croatia	2019	35.6
Cuba	..	..
Curacao	..	..
Cyprus	2019	35.3
Czech Republic	2019	33.1
Denmark	..	..
Djibouti	2013	8.8
Dominica	2010	2.6
Dominican Republic	2016	41.3
Ecuador	2017	29.2
Egypt, Arab Rep.	2016	31.9
El Salvador	2016	30.9
Equatorial Guinea	..	..
Eritrea	2009	..
Estonia	2019	25.4
Ethiopia	2015	5.4
Faroe Islands	..	..
Fiji	2009	6.5
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	12.1
Gambia, The	2018	5.4
Georgia	2019	4.5
Germany	2005	..
Ghana	2013	24.5
Greece	2018	35.5
Greenland	..	..
Grenada	2010	22.2
Guam	..	..
Guatemala	2017	37.5
Guinea	2016	13
Guinea-Bissau	2006	30.4
Guyana	2010	22.4
Haiti	..	..
Honduras	2016	48.9
Hungary	2019	13.1
Iceland	..	..
India	2014	17.8
Indonesia	2015	6
Iran, Islamic Rep.	..	..
Iraq	2011	19.4
Ireland	2005	..
Isle of Man	..	..
Israel	2013	..
Italy	2019	32.7
Jamaica	2010	9.3
Japan	..	..
Jordan	2019	2.8
Kazakhstan	2019	26
Kenya	2018	11.4
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	..
Kosovo	2019	19.4
Kuwait	..	..
Kyrgyz Republic	2019	23.9
Lao PDR	2018	27
Latvia	2019	18.1
Lebanon	2019	7.3
Lesotho	2016	1.9
Liberia	2017	10.4
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	14.8
Luxembourg	..	..
North Macedonia	2019	6.4
Madagascar	2013	14.3
Malawi	2014	19
Malaysia	2015	3.8
Maldives	..	..
Mali	2016	44.2
Malta	2019	98.8
Marshall Islands	..	..
Mauritania	2014	64.6
Mauritius	2009	19.1
Mexico	2010	54
Micronesia, Fed. Sts.	2009	7.3
Moldova	2019	11.1
Monaco	..	..
Mongolia	2019	42
Montenegro	2019	6
Morocco	2019	7.5
Mozambique	2018	24.9
Myanmar	2016	39.2
Namibia	2014	24.4
Nepal	2013	9.8
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	27.3
Niger	2017	39.7
Nigeria	2014	14.4
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	10.4
Palau	..	..
Panama	2010	66.3
Papua New Guinea	2015	20.9
Paraguay	2017	32.4
Peru	2017	91.9
Philippines	2015	17.8
Poland	2019	1.2
Portugal	2019	..
Puerto Rico	..	..
Qatar	..	..
Romania	2013	23.2
Russian Federation	2019	22.5
Rwanda	2019	11.8
Samoa	2009	4.8
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	27.8
Serbia	2019	92.8
Seychelles	..	..
Sierra Leone	2017	15.3
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	23.5
Slovenia	2019	78.5
Solomon Islands	2015	11.7
Somalia	..	..
South Africa	2007	36.2
South Sudan	2014	9.2
Spain	2005	..
Sri Lanka	2011	16.7
St. Kitts and Nevis	2010	1.9
St. Lucia	2010	1.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	7.3
Sudan	2014	4.7
Suriname	2018	125.2
Eswatini	2016	5.3
Sweden	2014	26.2
Switzerland	..	..
Syrian Arab Republic	2009	169.2
Tajikistan	2019	15.9
Tanzania	2013	18.8
Thailand	2016	2.5
Timor-Leste	2015	17.1
Togo	2016	78.4
Tonga	2009	3.2
Trinidad and Tobago	2010	28.7
Tunisia	2013	39.2
Turkey	2019	17.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	10.4
Ukraine	2019	21.5
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	176
Uzbekistan	2019	15.7
Vanuatu	2009	17.8
Venezuela, RB	2010	117.2
Vietnam	2015	11.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	16.4
Yemen, Rep.	2013	7
Zambia	2019	20
Zimbabwe	2016	8.1
