Country	Exports (2010)	Exports (2019)
Afghanistan	81	65
Albania	26	30
Algeria	63	60
American Samoa	..	..
Andorra	..	..
Angola	11	9
Antigua and Barbuda	7	6
Argentina	43	48
Armenia	18	21
Aruba	15	6
Australia	22	21
Austria	31	42
Azerbaijan	45	21
Bahamas, The	8	7
Bahrain	28	19
Bangladesh	75	63
Barbados	15	19
Belarus	28	48
Belgium	52	62
Belize	10	12
Benin	26	2
Bermuda	45	39
Bhutan	1	1
Bolivia	35	12
Bosnia and Herzegovina	48	28
Botswana	21	30
Brazil	58	60
Brunei Darussalam	21	17
Bulgaria	27	37
Burkina Faso	51	41
Burundi	44	68
Cabo Verde	6	7
Cambodia	9	4
Cameroon	45	28
Canada	53	48
Cayman Islands	..	23
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	21	32
China	29	63
Hong Kong SAR, China	18	19
Macao SAR, China	2	2
Colombia	20	22
Comoros	28	20
Congo, Dem. Rep.	50	9
Congo, Rep.	64	22
Costa Rica	47	52
Cote d'Ivoire	48	28
Croatia	20	21
Cuba	..	..
Curacao	53	52
Cyprus	10	25
Czech Republic	40	50
Denmark	26	34
Djibouti	11	14
Dominica	23	16
Dominican Republic	9	8
Ecuador	17	6
Egypt, Arab Rep.	12	9
El Salvador	50	39
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	34	48
Eswatini	55	70
Ethiopia	11	5
Faroe Islands	32	..
Fiji	4	4
Finland	67	74
France	50	53
French Polynesia	14	6
Gabon	52	..
Gambia, The	14	6
Georgia	9	4
Germany	46	56
Ghana	26	81
Greece	11	10
Greenland	..	..
Grenada	16	5
Guam	..	..
Guatemala	39	48
Guinea	74	76
Guinea-Bissau	57	37
Guyana	51	66
Haiti	5	4
Honduras	66	71
Hungary	49	49
Iceland	29	21
India	70	72
Indonesia	38	31
Iran, Islamic Rep.	..	..
Iraq	6	38
Ireland	69	82
Isle of Man	..	..
Israel	63	79
Italy	40	40
Jamaica	10	12
Japan	54	56
Jordan	10	5
Kazakhstan	13	12
Kenya	14	17
Kiribati	17	23
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	37	51
Kosovo	26	13
Kuwait	42	43
Kyrgyz Republic	46	15
Lao PDR	8	7
Latvia	27	41
Lebanon	33	26
Lesotho	35	18
Liberia	0	0
Libya	3	20
Liechtenstein	..	..
Lithuania	20	27
Luxembourg	23	32
Madagascar	34	17
Malawi	14	35
Malaysia	32	36
Maldives	3	2
Mali	38	46
Malta	51	62
Marshall Islands	16	44
Mauritania	53	50
Mauritius	34	23
Mexico	2	0
Micronesia, Fed. Sts.	16	..
Moldova	43	46
Monaco	..	..
Mongolia	11	26
Montenegro	15	14
Morocco	37	36
Mozambique	20	6
Myanmar	35	54
Namibia	20	25
Nepal	34	46
Netherlands	63	68
New Caledonia	36	20
New Zealand	24	20
Nicaragua	51	51
Niger	6	45
Nigeria	3	7
North Macedonia	51	53
Northern Mariana Islands	..	..
Norway	40	32
Oman	26	12
Pakistan	38	67
Palau	6	5
Panama	9	6
Papua New Guinea	89	62
Paraguay	16	26
Peru	1	8
Philippines	77	68
Poland	45	50
Portugal	28	25
Puerto Rico	..	..
Qatar	2	7
Romania	62	57
Russian Federation	48	45
Rwanda	5	9
Samoa	24	17
San Marino	..	..
Sao Tome and Principe	10	3
Saudi Arabia	3	7
Senegal	45	43
Serbia	53	59
Seychelles	8	32
Sierra Leone	8	40
Singapore	33	44
Sint Maarten (Dutch part)	16	25
Slovak Republic	34	43
Slovenia	28	37
Solomon Islands	6	18
Somalia	..	..
South Africa	15	20
South Sudan	..	90
Spain	49	34
Sri Lanka	26	13
St. Kitts and Nevis	18	5
St. Lucia	9	4
St. Martin (French part)	..	..
St. Vincent and the Grenadines	27	7
Sudan	52	2
Suriname	55	22
Sweden	61	61
Switzerland	42	50
Syrian Arab Republic	3	..
Tajikistan	55	13
Tanzania	13	7
Thailand	23	16
Timor-Leste	19	2
Togo	28	33
Tonga	19	20
Trinidad and Tobago	7	11
Tunisia	18	18
Turkey	8	10
Turkmenistan	..	..
Turks and Caicos Islands	..	0
Tuvalu	14	..
Uganda	17	19
Ukraine	31	53
United Arab Emirates	..	..
United Kingdom	44	53
United States	46	47
Uruguay	19	41
Uzbekistan	..	10
Vanuatu	4	3
Venezuela, RB	13	13
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	17	54
Yemen, Rep.	8	39
Zambia	5	6
Zimbabwe	23	15
World	40	47
East Asia & Pacific	34	49
Europe & Central Asia	46	51
Latin America & Caribbean	24	27
Middle East & North Africa	21	24
North America	47	47
South Asia	66	71
Sub-Saharan Africa	18	19
Low income	27	26
Lower middle income	45	46
Upper middle income	28	45
High income	44	48
