Country	Factor (2018)	Factor (2019)
Afghanistan	0.2	0.2
Albania	0.4	0.4
Algeria	0.4	0.3
American Samoa	..	..
Andorra	..	..
Angola	0.5	0.4
Antigua and Barbuda	0.8	0.8
Argentina	0.5	0.4
Armenia	0.3	0.3
Aruba	0.8	0.8
Australia	1.1	1
Austria	0.9	0.9
Azerbaijan	0.3	0.3
Bahamas, The	0.9	0.9
Bahrain	0.5	0.5
Bangladesh	0.4	0.4
Barbados	1.1	1.1
Belarus	0.3	0.3
Belgium	0.9	0.8
Belize	0.7	0.7
Benin	0.4	0.4
Bermuda	..	..
Bhutan	0.3	0.3
Bolivia	0.4	0.4
Bosnia and Herzegovina	0.4	0.4
Botswana	0.5	0.4
Brazil	0.6	0.6
Brunei Darussalam	0.5	0.5
Bulgaria	0.4	0.4
Burkina Faso	0.4	0.3
Burundi	0.3	0.3
Cabo Verde	0.5	0.5
Cambodia	0.4	0.4
Cameroon	0.4	0.4
Canada	0.9	0.9
Cayman Islands	1.2	1.2
Central African Republic	0.5	0.5
Chad	0.5	0.4
Channel Islands	..	..
Chile	0.6	0.6
China	0.6	0.6
Hong Kong SAR, China	0.8	0.8
Macao SAR, China	0.6	0.7
Colombia	0.4	0.4
Comoros	0.5	0.4
Congo, Dem. Rep.	0.5	0.5
Congo, Rep.	0.6	0.6
Costa Rica	0.6	0.6
Cote d'Ivoire	0.4	0.4
Croatia	0.5	0.5
Cuba	..	..
Curacao	0.8	0.8
Cyprus	0.7	0.7
Czech Republic	0.6	0.5
Denmark	1.1	1
Djibouti	0.6	0.6
Dominica	0.7	0.7
Dominican Republic	0.4	0.4
Ecuador	0.5	0.5
Egypt, Arab Rep.	0.2	0.2
El Salvador	0.5	0.5
Equatorial Guinea	0.5	0.4
Eritrea	0.4	0.4
Estonia	0.6	0.6
Ethiopia	0.4	0.4
Faroe Islands	..	..
Fiji	0.4	0.4
Finland	1	0.9
France	0.9	0.8
French Polynesia	..	..
Gabon	0.5	0.5
