Country	Total	Internal resources	Agriculture (2015)	Industry
Afghanistan	..	..	..	..
Albania	1.3	4.9	39	18
Algeria	7.8	69.4	59	5
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	0.7	0.5	..	34
Antigua and Barbuda	0	8.5	16	22
Argentina	37.7	12.9	74	11
Armenia	3.3	42.9	90	4
Aruba	..	..	..	..
Australia	16.8	3.1	61	16
Austria	3.5	6.3	2	77
Azerbaijan	12	147.5	84	19
Bahamas, The	..	..	..	..
Bahrain	..	5967.5	..	..
Bangladesh	35.9	34.2	88	2
Barbados	0.1	87.5	..	8
Belarus	1.5	4.5	32	32
Belgium	6	50	1	88
Belize	..	..	..	..
Benin	..	..	..	..
Bermuda	..	..	..	..
Bhutan	0.3	0.4	94	1
Bolivia	2.1	0.7	92	2
Bosnia and Herzegovina	0.3	0.9	..	15
Botswana	..	..	..	..
Brazil	74.8	1.3	60	17
Brunei Darussalam	..	..	..	..
Bulgaria	5.6	27.2	15	69
Burkina Faso	0.8	6.5	..	3
Burundi	..	..	..	..
Cabo Verde	..	..	..	..
Cambodia	2.2	1.8	94	2
Cameroon	..	..	..	..
Canada	38.8	1.4	12	80
Cayman Islands	..	..	..	..
Central African Republic	0.1	0.1	..	17
Chad	0.9	5.9	..	12
Channel Islands	..	..	..	..
Chile	35.4	4	83	13
China	594.2	21.3	64	22
Hong Kong SAR, China	..	..	..	..
Macao SAR, China	..	..	..	..
Colombia	11.8	0.5	54	19
Comoros	..	..	..	..
Congo, Dem. Rep.	0.7	0.1	..	21
Congo, Rep.	..	..	..	..
Costa Rica	2.3	2.1	57	11
Cote d'Ivoire	1.5	2	..	21
Croatia	0.6	1.7	1	20
Cuba	7	18.3	65	11
Curacao	..	..	..	..
Cyprus	0.2	28.4	66	2
Czech Republic	1.7	12.5	3	..
Denmark	0.6	10.6	25	20
Djibouti	..	..	..	..
Dominica	0	10	5	0
Dominican Republic	7.1	30.4	80	8
Ecuador	9.9	2.2	..	6
Egypt, Arab Rep.	73.8	4100	86	3
El Salvador	2.1	13.6	..	10
Equatorial Guinea	..	..	..	..
Eritrea	..	20.8	..	..
Estonia	1.7	13.5	0	96
Eswatini	..	..	..	..
Ethiopia	10.6	6.4	92	1
Faroe Islands	..	..	..	..
Fiji	0.1	0.3	..	11
Finland	6.6	6.1	1	..
France	29.8	14.9	10	71
French Polynesia	..	..	..	..
Gabon	0.1	0.1	..	10
Gambia, The	..	..	..	..
Georgia	1.8	3.1	..	22
Germany	33	30.8	1	..
Ghana	..	..	..	..
Greece	9.6	16.5	88	3
Greenland	..	..	..	..
Grenada	0	7.1	15	0
Guam	..	..	..	..
Guatemala	3.3	3	57	18
Guinea	..	..	..	..
Guinea-Bissau	..	..	..	..
Guyana	1.4	0.6	94	1
Haiti	1.5	11.1	83	4
Honduras	..	1.8	..	..
Hungary	5.1	84.2	6	79
Iceland	0.3	2.1	0	71
India	647.5	44.8	90	2
Indonesia	..	..	..	..
Iran, Islamic Rep.	..	72.5	..	..
Iraq	..	..	..	..
Ireland	0.8	1.5	..	7
Isle of Man	..	..	..	..
Israel	..	189.2	..	..
Italy	53.8	29.5	..	..
Jamaica	0.8	7.5	55	9
Japan	81.2	18.9	67	14
Jordan	1.1	124.5	52	3
Kazakhstan	20	31	66	30
Kenya	3.2	15.5	59	4
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	8.7	12.9	..	13
Korea, Rep.	29	44.8	..	..
Kosovo	..	..	..	..
Kuwait	..	..	..	..
Kyrgyz Republic	7.7	15.8	93	4
Lao PDR	3.5	1.8	..	5
Latvia	0.2	1.4	15	21
Lebanon	1.1	22.8	..	11
Lesotho	..	..	..	..
Liberia	..	..	..	..
Libya	5.8	822.9	83	5
Liechtenstein	..	..	..	..
Lithuania	0.6	4.1	10	66
Luxembourg	0	4.3	1	5
North Macedonia	0.6	10.2	23	36
Madagascar	13.6	4	96	1
Malawi	1.4	8.4	..	4
Malaysia	11.2	1.9	..	43
Maldives	0	15.7	0	5
Mali	5.2	8.6	98	0
Malta	0	44.4	64	2
Marshall Islands	..	..	..	..
Mauritania	1.3	337	..	2
Mauritius	..	26.4	..	..
Mexico	85.7	20	76	9
Micronesia, Fed. Sts.	..	..	..	..
Moldova	1.1	65.7	3	83
Monaco	0	..	0	0
Mongolia	0.6	1.6	44	43
Montenegro	0.2	..	1	39
Morocco	10.4	35.7	88	2
Mozambique	1.5	..	73	2
Myanmar	..	..	..	..
Namibia	..	..	..	..
Nepal	9.5	4.8	98	0
Netherlands	10.7	97.5	1	88
New Caledonia	..	..	..	..
New Zealand	5.2	1.6	62	23
Nicaragua	1.5	1	77	5
Niger	1	28.1	..	3
Nigeria	12.5	5.6	44	16
Northern Mariana Islands	..	..	..	..
Norway	3	0.8	28	41
Oman	..	84.7	..	..
Pakistan	183.5	333.6	94	1
Palau	..	..	..	..
Panama	1	0.8	43	1
Papua New Guinea	0.4	0	..	43
Paraguay	2.4	2.1	79	6
Peru	13.6	0.8	89	2
Philippines	81.6	17	82	10
Poland	11.5	21.4	10	..
Portugal	9.1	24.1	..	..
Puerto Rico	1	14.3	2	76
Qatar	0.2	387.5	..	2
Romania	6.4	15.1	18	67
Russian Federation	61	1.4	..	..
Rwanda	..	..	..	..
Samoa	..	..	..	..
San Marino	..	..	..	..
Sao Tome and Principe	..	..	..	..
Saudi Arabia	22.6	943.3	88	3
Senegal	..	..	..	..
Serbia	4.2	49.4	3	..
Seychelles	0	..	..	28
Sierra Leone	0.2	0.1	..	26
Singapore	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	0.6	4.4	4	49
Slovenia	1.2	6.2	0	85
Solomon Islands	..	..	..	..
Somalia	..	55	..	..
South Africa	15.5	34.6	63	10
South Sudan	0.7	2.5	36	34
Spain	36.8	33	68	18
Sri Lanka	13	24.5	..	6
St. Kitts and Nevis	0	51.3	1	0
St. Lucia	0	14.3	71	0
