Country	%
Afghanistan	58
Albania	37
Algeria	25
American Samoa	..
Andorra	..
Angola	37
Antigua and Barbuda	..
Argentina	..
Armenia	45
Aruba	..
Australia	..
Austria	..
Azerbaijan	12
Bahamas, The	..
Bahrain	..
Bangladesh	55
Barbados	..
Belarus	..
Belgium	..
Belize	33
Benin	41
Bermuda	..
Bhutan	51
Bolivia	58
Bosnia and Herzegovina	..
Botswana	30
Brazil	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	48
Burundi	82
Cabo Verde	..
Cambodia	65
Cameroon	28
Canada	..
Cayman Islands	..
Central African Republic	29
Chad	0
Channel Islands	..
Chile	..
China	21
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	36
Comoros	..
Congo, Dem. Rep.	47
Congo, Rep.	33
Costa Rica	..
Cote d'Ivoire	23
Croatia	..
Cuba	33
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	5
Ecuador	..
Egypt, Arab Rep.	40
El Salvador	47
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	64
Ethiopia	57
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	47
Georgia	..
Germany	..
Ghana	52
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	53
Guinea	33
Guinea-Bissau	53
Guyana	21
Haiti	40
Honduras	..
Hungary	..
Iceland	..
India	55
Indonesia	51
Iran, Islamic Rep.	..
Iraq	26
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	25
Kazakhstan	38
Kenya	61
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	71
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	46
Lao PDR	44
Latvia	..
Lebanon	..
Lesotho	67
Liberia	55
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	42
Malawi	59
Malaysia	40
Maldives	63
Mali	40
Malta	..
Marshall Islands	43
Mauritania	40
Mauritius	..
Mexico	30
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	59
Montenegro	17
Morocco	35
Mozambique	41
Myanmar	51
Namibia	48
Nepal	65
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	..
Nigeria	29
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	23
Pakistan	48
Palau	..
Panama	22
Papua New Guinea	..
Paraguay	30
Peru	66
Philippines	..
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	87
Samoa	70
San Marino	..
Sao Tome and Principe	72
Saudi Arabia	..
Senegal	42
Serbia	13
Seychelles	..
Sierra Leone	47
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	76
Somalia	..
South Africa	32
South Sudan	..
Spain	..
Sri Lanka	82
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	55
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	36
Tanzania	59
Thailand	23
Timor-Leste	50
Togo	57
Tonga	..
Trinidad and Tobago	..
Tunisia	14
Turkey	30
Turkmenistan	58
Turks and Caicos Islands	..
Tuvalu	..
Uganda	66
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	35
Uruguay	..
Uzbekistan	..
Vanuatu	73
Venezuela, RB	..
Vietnam	24
Virgin Islands (U.S.)	..
West Bank and Gaza	38
Yemen, Rep.	10
Zambia	70
Zimbabwe	47
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	35
South Asia	54
Sub-Saharan Africa	45
Low income	52
Lower middle income	48
Upper middle income	..
High income	..
