Country	Exports (2010)	Exports (2019)
Afghanistan	4	15
Albania	64	62
Algeria	6	5
American Samoa	..	..
Andorra	..	..
Angola	84	84
Antigua and Barbuda	64	79
Argentina	39	37
Armenia	64	65
Aruba	81	87
Australia	62	65
Austria	36	31
Azerbaijan	27	48
Bahamas, The	87	91
Bahrain	32	36
Bangladesh	7	12
Barbados	80	75
Belarus	9	9
Belgium	12	8
Belize	81	83
Benin	43	34
Bermuda	33	39
Bhutan	60	64
Bolivia	45	56
Bosnia and Herzegovina	35	50
Botswana	73	64
Brazil	18	18
Brunei Darussalam	28	36
Bulgaria	51	41
Burkina Faso	27	24
Burundi	24	16
Cabo Verde	57	71
Cambodia	79	82
Cameroon	13	29
Canada	21	27
Cayman Islands	..	24
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	15	30
China	39	15
Hong Kong SAR, China	28	29
Macao SAR, China	94	93
Colombia	56	58
Comoros	63	73
Congo, Dem. Rep.	4	68
Congo, Rep.	7	18
Costa Rica	45	42
Cote d'Ivoire	20	43
Croatia	67	70
Cuba	..	..
Curacao	35	43
Cyprus	23	24
Czech Republic	33	24
Denmark	9	12
Djibouti	12	8
Dominica	72	80
Dominican Republic	82	83
Ecuador	57	73
Egypt, Arab Rep.	53	54
El Salvador	27	42
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	23	22
Eswatini	20	17
Ethiopia	27	21
Faroe Islands	22	..
Fiji	69	64
Finland	15	10
France	23	23
French Polynesia	52	57
Gabon	20	..
Gambia, The	56	78
Georgia	42	72
Germany	15	12
Ghana	46	12
Greece	33	45
Greenland	..	..
Grenada	74	91
Guam	..	..
Guatemala	46	35
Guinea	3	6
Guinea-Bissau	31	53
Guyana	32	18
Haiti	95	94
Honduras	30	24
Hungary	29	24
Iceland	27	48
India	12	14
Indonesia	43	55
Iran, Islamic Rep.	..	..
Iraq	75	51
Ireland	5	2
Isle of Man	..	..
Israel	19	14
Italy	39	41
Jamaica	77	82
Japan	10	23
Jordan	69	75
Kazakhstan	26	33
Kenya	27	24
Kiribati	41	44
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	13	20
Kosovo	64	80
Kuwait	3	6
Kyrgyz Republic	27	57
Lao PDR	78	80
Latvia	16	16
Lebanon	49	54
Lesotho	55	80
Liberia	87	..
Libya	15	..
Liechtenstein	..	..
Lithuania	22	12
Luxembourg	7	4
Madagascar	34	54
Malawi	41	23
Malaysia	52	49
Maldives	95	91
Mali	58	47
Malta	11	11
Marshall Islands	48	23
Mauritania	38	4
Mauritius	48	59
Mexico	78	82
Micronesia, Fed. Sts.	76	..
Moldova	22	26
Monaco	..	..
Mongolia	51	42
Montenegro	68	65
Morocco	47	44
Mozambique	44	31
Myanmar	21	37
Namibia	50	54
Nepal	59	43
Netherlands	9	10
New Caledonia	31	46
New Zealand	57	63
Nicaragua	43	44
Niger	89	44
Nigeria	22	45
North Macedonia	20	22
Northern Mariana Islands	..	..
Norway	11	13
Oman	43	39
Pakistan	10	11
Palau	89	89
Panama	27	33
Papua New Guinea	1	1
Paraguay	38	39
Peru	64	57
Philippines	15	24
Poland	27	19
Portugal	44	52
Puerto Rico	..	..
Qatar	21	30
Romania	11	12
Russian Federation	18	18
Rwanda	83	58
Samoa	71	72
San Marino	..	..
Sao Tome and Principe	85	97
Saudi Arabia	65	70
Senegal	48	41
Serbia	23	21
Seychelles	62	53
Sierra Leone	46	37
Singapore	14	10
Sint Maarten (Dutch part)	80	69
Slovak Republic	35	27
Slovenia	42	32
Solomon Islands	49	57
Somalia	..	..
South Africa	58	58
South Sudan	..	1
Spain	51	51
Sri Lanka	23	53
St. Kitts and Nevis	69	84
St. Lucia	84	94
St. Martin (French part)	..	..
St. Vincent and the Grenadines	63	86
Sudan	39	70
Suriname	29	43
Sweden	16	20
Switzerland	16	14
Syrian Arab Republic	88	..
Tajikistan	1	6
Tanzania	63	61
Thailand	59	74
Timor-Leste	78	93
Togo	23	26
Tonga	55	61
Trinidad and Tobago	52	54
Tunisia	50	47
Turkey	63	47
Turkmenistan	..	..
Turks and Caicos Islands	..	96
Tuvalu	74	..
Uganda	76	68
Ukraine	21	10
United Arab Emirates	..	..
United Kingdom	12	12
United States	25	26
Uruguay	57	45
Uzbekistan	..	48
Vanuatu	80	80
Venezuela, RB	51	38
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	79	44
Yemen, Rep.	79	32
Zambia	86	81
Zimbabwe	47	40
World	28	25
East Asia & Pacific	31	25
Europe & Central Asia	21	20
Latin America & Caribbean	49	53
Middle East & North Africa	..	..
North America	24	26
South Asia	13	14
Sub-Saharan Africa	46	54
Low income	53	34
Lower middle income	25	31
Upper middle income	43	32
High income	22	23
