Country	% Land	% Urban	% Rural
Afghanistan	..	..	4.6
Albania	4.9	0.3	0
Algeria	0	0	2.2
American Samoa	3.6	1.4	..
Andorra	..	..	0.1
Angola	0.1	0	7.5
Antigua and Barbuda	13.2	5.8	0.8
Argentina	0.9	0.1	..
Armenia	..	..	2.4
Aruba	7.1	4.7	0.6
Australia	0.6	0	..
Austria	..	..	..
Azerbaijan	..	..	51.9
Bahamas, The	52.9	1	12.7
Bahrain	34	21.3	9
Bangladesh	9.6	0.6	0.2
Barbados	0.7	0.5	0
Belarus	0	0	2.8
Belgium	7.7	4.9	5.7
Belize	6.1	0.4	0.9
Benin	1	0.1	7.4
Bermuda	11.9	4.5	..
Bhutan	..	..	..
Bolivia	..	..	0.1
Bosnia and Herzegovina	0.1	0.1	..
Botswana	..	..	0.6
Brazil	0.6	0	0.1
Brunei Darussalam	0.4	0.3	0.1
Bulgaria	0.2	0.1	..
Burkina Faso	..	..	..
Burundi	..	..	2.6
Cambodia	2.7	0.1	0
Cameroon	0	0	1.7
Canada	1.7	0	3.3
Cabo Verde	3.6	0.3	3.2
Cayman Islands	11.7	8.6	..
Central African Republic	..	..	..
Chad	..	..	..
Channel Islands	..	..	0.5
Chile	0.5	0	0.9
China	1.2	0.3	4.5
Hong Kong SAR, China	10.1	5.6	19.8
Macao SAR, China	37.5	17.7	0.5
Colombia	0.6	0.1	0.8
Comoros	0.8	0	0
Congo, Dem. Rep.	0	0	0
Congo, Rep.	0	0	0.6
Costa Rica	0.6	0	0.1
Cote d'Ivoire	0.2	0	0.8
Croatia	1	0.2	8.3
Cuba	8.5	0.2	..
Curacao	..	..	0.8
Cyprus	1.7	0.9	..
Czech Republic	..	..	11.6
Denmark	14.5	2.9	0.6
Djibouti	0.7	0.1	0.5
Dominica	0.8	0.3	1.6
Dominican Republic	1.7	0.1	1.3
Ecuador	1.5	0.2	1.3
Egypt, Arab Rep.	1.6	0.3	0.7
El Salvador	0.8	0.1	0.2
Equatorial Guinea	0.3	0	1.2
Eritrea	1.2	0	1.7
Estonia	1.8	0.1	0
Eswatini	0	0	0
Ethiopia	0	0	6.7
Faroe Islands	7.7	1	2.5
Fiji	3.1	0.6	0.4
Finland	0.5	0.1	1
France	1.6	0.6	19.9
French Polynesia	19.9	0	0.3
Gabon	0.3	0	16.1
Gambia, The	16.8	0.7	1.1
Georgia	1.3	0.2	3.6
Germany	4.5	0.9	0.5
Ghana	0.6	0.1	2.3
Greece	3.1	0.8	10.1
Greenland	10.1	0	1.4
Grenada	1.8	0.5	0.9
Guam	1.6	0.7	0.4
Guatemala	0.4	0	0.9
Guinea	0.9	0	6.4
Guinea-Bissau	6.5	0.1	2.2
Guyana	2.4	0.2	1.5
Haiti	1.6	0.1	2
Honduras	2	0	..
Hungary	..	..	2.2
Iceland	2.2	0	1.4
India	1.5	0.1	2.6
Indonesia	2.8	0.2	0.8
Iran, Islamic Rep.	0.8	0.1	2.9
Iraq	3.2	0.3	1.7
Ireland	2.1	0.4	1.6
Isle of Man	1.9	0.4	0.1
Israel	0.4	0.3	2.6
Italy	3.9	1.3	2.4
Jamaica	3.6	1.2	0.9
Japan	3.4	2.5	0
Jordan	0	0	..
Kazakhstan	..	..	0.2
Kenya	0.2	0	54.6
Kiribati	54.6	0.1	1.7
Korea, Dem. Peopleâ€™s Rep.	1.8	0.1	2.3
Korea, Rep.	2.9	0.6	..
Kosovo	..	..	6.8
Kuwait	8.2	1.4	..
Kyrgyz Republic	..	..	0
Lao PDR	0	0	1.3
Latvia	1.9	0.6	0.3
Lebanon	0.4	0.1	..
Lesotho	..	..	0.3
Liberia	0.3	0	0.5
Libya	0.5	0.1	..
Liechtenstein	..	..	1.1
Lithuania	1.2	0.1	0
Luxembourg	0	0	0
North Macedonia	0	0	0.7
Madagascar	0.7	0	0
Malawi	0	0	1
Malaysia	1.3	0.3	45.5
Maldives	45.5	0	0
Mali	0	0	1.4
Malta	2.7	1.3	43.8
Marshall Islands	43.8	0	1.1
Mauritania	1.1	0	1.1
Mauritius	1.3	0.2	2.1
Mexico	2.2	0.1	6.3
Micronesia, Fed. Sts.	7.2	0.9	0.9
Moldova	1	0.1	3.1
Monaco	25.3	22.2	..
Mongolia	..	..	..
Montenegro	..	..	0.2
Morocco	0.2	0	1.3
Mozambique	1.3	0	3.5
Myanmar	3.6	0.1	0.2
Namibia	0.2	0	..
Nepal	..	..	32.9
Netherlands	55.6	22.6	2.8
New Caledonia	2.9	0.1	0.8
New Zealand	0.9	0.1	3
Nicaragua	3	0	..
Niger	..	..	0.4
Nigeria	0.4	0	3
Northern Mariana Islands	3.1	0.1	1.7
Norway	2	0.3	0.7
Oman	0.8	0.1	1.5
Pakistan	1.5	0	1.9
Palau	2	0.1	1.6
Panama	1.7	0.1	0.5
Papua New Guinea	0.5	0	..
Paraguay	..	..	0.3
Peru	0.3	0	2.4
Philippines	2.6	0.3	0.9
Poland	1.2	0.2	0.8
Portugal	1.4	0.6	0.9
Puerto Rico	5.7	4.8	11.4
Qatar	12.1	0.7	2.3
Romania	2.4	0.1	0.8
Russian Federation	0.8	0	..
Rwanda	..	..	0.3
Samoa	0.4	0	0
San Marino	0	0	0.8
Sao Tome and Principe	0.9	0.1	0.3
Saudi Arabia	0.4	0.1	3.4
Senegal	3.5	0.1	..
Serbia	..	..	14.2
Seychelles	16.4	2.2	2.8
Sierra Leone	2.9	0	3.7
Singapore	8.2	4.5	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	0
Slovenia	0.1	0.1	1.6
Solomon Islands	1.6	0	0.3
Somalia	0.3	0	0.1
South Africa	0.1	0	..
South Sudan	..	..	0.4
Spain	0.8	0.4	1.7
Sri Lanka	2.1	0.4	2
St. Kitts and Nevis	3.8	1.7	0.7
St. Lucia	1.6	0.8	..
St. Martin (French part)	..	..	2.9
St. Vincent and the Grenadines	3.4	0.5	0.1
Sudan	0.1	0	2.5
Suriname	2.7	0.2	0.6
Sweden	1	0.3	0
Switzerland	0	0	0
Syrian Arab Republic	0	0	..
Tajikistan	..	..	0.1
Tanzania	0.1	0	2.1
Thailand	2.9	0.8	0.7
Timor-Leste	0.7	0	0.3
Togo	0.4	0.1	5.8
Tonga	7.3	1.6	1.7
Trinidad and Tobago	2.7	0.9	1.4
Tunisia	1.9	0.5	0.4
Turkey	0.5	0.1	..
Turkmenistan	..	..	55.1
Turks and Caicos Islands	55.9	0.8	32.7
Tuvalu	32.7	0	..
Uganda	..	..	1.1
Ukraine	1.2	0.1	3.3
United Arab Emirates	4.8	1.5	3
United Kingdom	4.2	1.2	1
United States	1.2	0.2	1.4
Uruguay	1.5	0.1	..
Uzbekistan	..	..	0.8
Vanuatu	0.8	0	1.4
Venezuela, RB	1.5	0.1	14.6
Vietnam	15.4	0.8	3.8
Virgin Islands (U.S.)	6.6	2.9	0.1
West Bank and Gaza	0.1	0	0.4
Yemen, Rep.	0.4	0	..
Zambia	..	..	..
Zimbabwe	..	..	1
World	1.1	0.1	1.3
East Asia & Pacific	1.5	0.2	1.1
Europe & Central Asia	1.3	0.2	0.9
Latin America & Caribbean	1	0.1	0.6
Middle East & North Africa	0.7	0.1	1.3
North America	1.5	0.1	1.7
South Asia	1.8	0.1	0.4
Sub-Saharan Africa	0.4	0	..
Low income	..	..	1.2
Lower middle income	1.3	0.1	0.9
Upper middle income	1	0.1	1.3
High income	1.5	0.2	
