Country	Trade	Financial sector	Business regulatory environment	Average
Afghanistan	3.5	2	2	2.5
Bangladesh	3	2.5	3	2.8
Benin	4	2.5	3.5	3.3
Bhutan	3.5	3	3.5	3.3
Burkina Faso	4	3	3.5	3.5
Burundi	4	2.5	3	3.2
Cabo Verde	4.5	3.5	3.5	3.8
Cambodia	4.5	3	2.5	3.3
Cameroon	4	3	3	3.3
Central African Republic	3	2.5	2	2.5
Chad	3	2.5	2.5	2.7
Comoros	3.5	2.5	3	3
Congo, Dem. Rep.	3.5	2.5	3	3
Congo, Rep.	3.5	2.5	2	2.7
Cote d'Ivoire	4	3	3	3.3
Djibouti	4	3	3	3.3
Dominica	4	3.5	3.5	3.7
Eritrea	1.5	1	1	1.2
Ethiopia	3	3	3.5	3.2
Gambia, The	4	2.5	3	3.2
Ghana	4.5	3	3.5	3.7
Grenada	4	3.5	3	3.5
Guinea	4	2.5	3	3.2
Guinea-Bissau	4	2	2.5	2.8
Guyana	3.5	3.5	2.5	3.2
Haiti	4.5	3	2	3.2
Honduras	4	3.5	2.5	3.3
Kenya	4	3	4	3.7
Kiribati	3.5	2.5	2.5	2.8
Kosovo	4.5	4	4	4.2
Kyrgyz Republic	4.5	3	3	3.5
Lao PDR	4	2	3	3
Lesotho	4	3	3.5	3.5
Liberia	3.5	2.5	2.5	2.8
Madagascar	4	3	3	3.3
Malawi	3.5	3.5	3	3.3
Maldives	4	3	3.5	3.5
Mali	4	3	3	3.3
Marshall Islands	3	2	2.5	2.5
Mauritania	4	2.5	3	3.2
Micronesia, Fed. Sts.	4	2.5	2	2.8
Moldova	4.5	2.5	4	3.7
Mongolia	4	2	3.5	3.2
Mozambique	4	3	3	3.3
Myanmar	3.5	3	2.5	3
Nepal	3.5	4	3.5	3.7
Nicaragua	4.5	2.5	2.5	3.2
Niger	4	2.5	3.5	3.3
Nigeria	3	2.5	3.5	3
Pakistan	4	3.5	3.5	3.7
Papua New Guinea	4	3.5	3	3.5
Rwanda	4.5	3.5	4.5	4.2
Samoa	4	3.5	3.5	3.7
Sao Tome and Principe	3.5	2.5	3	3
Senegal	4.5	3.5	3.5	3.8
Sierra Leone	3.5	2.5	3	3
Solomon Islands	3.5	3	3	3.2
Somalia	1.5	2	1	1.5
South Sudan	2	2	1.5	1.8
St. Lucia	4	3	3.5	3.5
St. Vincent and the Grenadines	4	3.5	3.5	3.7
Sudan	2.5	2.5	2.5	2.5
Tajikistan	3.5	2	3	2.8
Tanzania	4	3	3	3.3
Timor-Leste	4	2.5	2	2.8
Togo	4	2.5	3.5	3.3
Tonga	4.5	3.5	2.5	3.5
Tuvalu	3.5	2.5	2.5	2.8
Uganda	4.5	3.5	3	3.7
Uzbekistan	4	2.5	3.5	3.3
Vanuatu	4	3	3	3.3
Yemen, Rep.	2.5	1.5	2	2
Zambia	4	3.5	4	3.8
Zimbabwe	3	2.5	3	2.8
