Country	average annual (1990-2000)	average annual (2000-2019)
Afghanistan	..	..
Albania	..	4.9
Algeria	21.2	-1.7
American Samoa	..	-0.6
Andorra	..	..
Angola	..	-3.4
Antigua and Barbuda	..	..
Argentina	8.7	-0.7
Armenia	-3.1	10.5
Aruba	..	..
Australia	7.7	5.4
Austria	5.6	3.2
Azerbaijan	13.4	..
Bahamas	2.5	0.7
Bahrain	..	3.3
Bangladesh	12.8	4.3
Barbados	..	..
Belarus	-4.8	3.1
Belgium	5.4	3.3
Belize	6.8	0.9
Benin	6.4	7.9
Bermuda	..	..
Bhutan	..	-0.7
Bolivia	4.5	1.4
Bosnia and Herzegovina	..	6.6
Botswana	5.2	3.8
Brazil	6.1	2.3
Brunei Darussalam	2.4	-2
Bulgaria	1.8	5.8
Burkina Faso	4.6	7.3
Burundi	..	3.8
Cabo Verde	..	7.1
Cambodia	21.7	9.7
Cameroon	4.3	3
Canada	8.9	3
Cayman Islands	..	..
Central African Republic	..	5.1
Chad	..	3.9
Channel Islands	..	..
Chile	9.4	0.7
China	..	..
Hong Kong	7.8	2.3
Macao	2.5	0.9
Colombia	5.4	2.4
Comoros	1.6	7.5
Congo, Dem. Rep.	-0.5	9.5
Congo, Rep.	5.4	2.3
Costa Rica	8.7	4.9
Cote d'Ivoire	..	2.4
Croatia	6	5.4
Cuba	2.5	-3.2
Curacao	..	..
Cyprus	6.3	5.5
Czech Republic	8.6	5.1
Denmark	5	3.2
Djibouti	..	..
Dominica	..	..
Dominican Republic	7.5	6.3
Ecuador	5.6	2.6
Egypt	3.7	5.3
El Salvador	12.4	3.2
Equatorial Guinea	..	-5
Eritrea	-4.7	..
Estonia	7.8	4.1
Eswatini	6.4	3.2
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	10.3	2.1
France	7.2	3.4
French Polynesia	..	..
Gabon	2.1	2.3
Gambia	..	8.8
Georgia	..	9.2
Germany	5.9	3.6
Ghana	..	7.9
Greece	8.7	3.5
Greenland	..	2
Grenada	..	..
Guam	..	2.8
Guatemala	6.1	3.1
Guinea	..	12.2
Guinea-Bissau	..	4.8
Guyana	..	1.3
Haiti	7.3	3.2
Honduras	1.5	3.2
Hungary	14.6	5.3
Iceland	3.3	5.3
India	12.3	4.1
Indonesia	6.1	2.7
Iran	0.4	3.7
Iraq	..	..
Ireland	15.7	11.3
Isle of Man	..	..
Israel	9.9	1.8
Italy	5.9	2.8
Jamaica	..	2.9
Japan	4.3	3.4
Jordan	1.3	0.2
Kazakhstan	-2.6	1.1
Kenya	1	1.8
Kiribati	..	5
North Korea	..	..
South Korea	15.1	3.3
Kosovo	..	-3.9
Kuwait	..	0.7
Kyrgyz Republic	-4.5	-0.7
Lao PDR	..	11.4
Latvia	7	5
Lebanon	24.1	-0.9
Lesotho	21.7	2.4
Liberia	..	-1.7
Libya	..	-0.3
Liechtenstein	..	..
Lithuania	6.5	6.3
Luxembourg	8.7	4.7
