Country	Agriculture value added per worker (2000)	Agriculture value added per worker (2016)
Afghanistan	1116	1167
Albania	2613.4	5710.1
Algeria	5068.6	17830.9
American Samoa	..	..
Andorra	..	..
Angola	1138.3	1520.5
Antigua and Barbuda	..	..
Argentina	236212.1	1335150.5
Armenia	..	..
Aruba	..	..
Australia	47757	78837.8
Austria	21331.3	30202.2
Azerbaijan	1459.4	2154.4
Bahamas, The	18740.6	19283.4
Bahrain	..	10945.7
Bangladesh	445.1	921.5
Barbados	..	..
Belarus	5028.4	12330.4
Belgium	39876.1	62498.9
Belize	5535.1	4294.4
Benin	1242.3	1879.8
Bermuda	..	..
Bhutan	1181.7	1371.3
Bolivia	1122.1	1774.6
Bosnia and Herzegovina	..	6810.4
Botswana	2119.3	1657
Brazil	5235.2	11051.2
Brunei Darussalam	43817.2	58119.9
Bulgaria	7031.6	10250.4
Burkina Faso	453.1	1628.2
Burundi	373.9	191.2
Cabo Verde	3443.6	5632.2
Cambodia	570	1275.3
Cameroon	634.2	1075.2
Canada	..	92105.3
Cayman Islands	..	..
Central African Republic	..	359
Chad	..	1508.7
Channel Islands	..	..
Chile	6031.5	11513.1
China	1073.4	3449.5
Hong Kong SAR, China	18492.2	14923.4
Macao SAR, China	..	..
Colombia	4604.8	6036.6
Comoros	3112.5	2909.2
Congo, Dem. Rep.	305.6	339.3
Congo, Rep.	680.1	1059.3
Costa Rica	7791.8	10623.4
Cote d'Ivoire	..	2329.7
Croatia	7585.8	14339.8
Cuba	2142.8	3096.8
Curacao	..	..
Cyprus	31529.2	26655.9
Czech Republic	14088.4	25622.4
Denmark	38295.9	44347.6
Djibouti	..	..
Dominica	..	..
Dominican Republic	4096.4	9999.4
Ecuador	3069.1	4243.9
Egypt, Arab Rep.	3873.9	5198.1
El Salvador	2920.5	2533.4
Equatorial Guinea	..	1526.1
Eritrea	..	..
Estonia	12794.9	22197.5
Eswatini	9753.3	14000.8
Ethiopia	315.5	552
Faroe Islands	..	..
Fiji	2321.9	2349
Finland	36483.7	70463.3
France	39196.4	51093.6
French Polynesia	..	..
Gabon	4827	4606.8
Gambia, The	2814.3	1986.4
Georgia	..	1543.5
Germany	25216.8	47441.1
Ghana	..	2729.6
Greece	13372.9	19373.4
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	2234.1	3120
Guinea	429.1	670.7
Guinea-Bissau	891.8	887.7
Guyana	6742.4	8039.4
Haiti	1632.7	1383.9
Honduras	1620.8	2360.3
Hungary	14446	24079.6
Iceland	65126.5	119841.3
India	964.7	1701.9
Indonesia	1785	3473
Iran, Islamic Rep.	5811.4	9952.3
Iraq	5334.4	2290.2
Ireland	18008.3	26996.6
Isle of Man	..	..
Israel	49532.6	93756.4
Italy	36583.4	44381.6
Jamaica	3219	4198.3
Japan	24937.4	24252.5
Jordan	9959.4	17617.2
Kazakhstan	1910	5698.7
Kenya	1284.8	1061.9
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	9296.4	19295
Kosovo	..	..
Kuwait	..	12281.9
Kyrgyz Republic	673.7	1518
Lao PDR	587.3	817.9
Latvia	5177.1	14552.5
Lebanon	6566.2	5612.2
Lesotho	1475.1	2500.9
Liberia	940.4	850.2
Libya	..	..
Liechtenstein	..	..
Lithuania	4134.9	12512.8
Luxembourg	71808.7	40014.8
North Macedonia	5932.2	7658.9
Madagascar	445.3	356.5
Malawi	768.5	743
Malaysia	11359.7	17318.1
Maldives	7922.1	7098.1
Mali	714.9	1133.7
Malta	..	..
Marshall Islands	..	..
Mauritania	2143.4	2012
Mauritius	6280.5	10981.2
Mexico	4336.7	5704.3
Micronesia, Fed. Sts.	..	..
Moldova	1382.4	3268.3
Monaco	..	..
Mongolia	1828.9	4503
Montenegro	16576.5	21873.4
Morocco	1620.5	3404.7
Mozambique	216.3	433.3
Myanmar	666.5	1607.6
Namibia	6310.7	5709.1
Nepal	430.4	612
Netherlands	50662	84773.2
New Caledonia	..	..
New Zealand	62901.1	75683.3
Nicaragua	1934.6	1910
Niger	426.8	719.5
Nigeria	1661.3	5880.7
Northern Mariana Islands	..	..
Norway	44896.6	120956.4
Oman	13280.1	12007.1
Pakistan	1787	1667.5
Palau	..	..
Panama	4576.2	4083.9
Papua New Guinea	..	2202.1
Paraguay	2306.5	6103.9
Peru	1943.8	2562
Philippines	1894.5	2768.6
Poland	3739.9	6449
Portugal	7306.3	15487.6
Puerto Rico	..	..
Qatar	9864.7	10357.4
Romania	1705	5101.2
Russian Federation	4822.1	13509.1
Rwanda	264.1	526.8
Samoa	4713.3	4326.1
San Marino	..	..
Sao Tome and Principe	1485.6	2193.3
Saudi Arabia	30107.3	25125.5
Senegal	1444.9	2448.5
Serbia	3035.3	6260.6
Seychelles	..	..
Sierra Leone	850.3	1235.2
Singapore	6462.9	3873.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	4503.4	41106.5
Slovenia	10348.4	22171.1
Solomon Islands	..	..
Somalia	..	..
South Africa	6425.6	9714.4
South Sudan	..	393.2
Spain	32456.4	51563.5
Sri Lanka	1212.3	2498.3
St. Kitts and Nevis	..	..
St. Lucia	5596	3317.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	6394.8	9184.4
Sudan	4527.7	6415
Suriname	31342.1	31486.5
Sweden	52022.2	98621.7
Switzerland	23546.4	24715.8
Syrian Arab Republic	..	..
Tajikistan	650.2	1650.1
Tanzania	408.3	650.8
Thailand	1741.3	3039.1
Timor-Leste	830.9	872.1
Togo	966.2	1005.6
Tonga	5909.8	6744.8
Trinidad and Tobago	4369.8	6172
Tunisia	5084.1	8435.1
Turkey	7248.3	15067.3
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	1121.3	921.3
Ukraine	1476.4	4683.4
United Arab Emirates	24671.9	21597.1
United Kingdom	37183	47931.2
United States	66713.9	85295.5
Uruguay	16269.9	25431
Uzbekistan	2193.9	5312
Vanuatu	2422.1	2681.8
Venezuela, RB	18251.8	21767.1
Vietnam	570	1097.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	6808.9	5665.6
Yemen, Rep.	1314.8	1218.2
Zambia	859.2	657.9
Zimbabwe	819.6	325.2
World	1883.4	3349.7
East Asia & Pacific	1447.7	3530.5
Europe & Central Asia	7618.8	14193.9
Latin America & Caribbean	4866.3	6963.2
Middle East & North Africa	4614.8	6995.8
North America	66713.9	86090
South Asia	950.2	1583.9
Sub-Saharan Africa	882.9	1472.5
Low income	652.3	846.8
Lower middle income	1043.3	1909.3
Upper middle income	1745.8	4400.8
High income	20679.6	34043.3
