Country	Residents	Nonresidents
Afghanistan	..	..
Albania	..	..
Algeria	1033	385
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	932	675
Armenia	61	437
Aruba	..	..
Australia	3095	4934
Austria	701	1439
Azerbaijan	54	535
Bahamas, The	..	..
Bahrain	5	79
Bangladesh	1897	117
Barbados	1	1
Belarus	183	265
Belgium	..	..
Belize	2	213
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	16	43
Bosnia and Herzegovina	76	793
Botswana	..	..
Brazil	3696	2415
Brunei Darussalam	1	89
Bulgaria	433	112
Burkina Faso	..	..
Burundi	..	..
Cambodia	9	60
Cameroon	..	..
Canada	774	6044
Cabo Verde	31	7
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	49	553
China	689097	19702
Hong Kong SAR, China	1247	3188
Macao SAR, China	67	141
Colombia	288	350
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	8	62
Cote d'Ivoire	..	..
Croatia	367	459
Cuba	11	10
Curacao	..	..
Cyprus	86	..
Czech Republic	627	91
Denmark	177	275
Djibouti	..	..
Dominica	..	2
Dominican Republic	5	26
Ecuador	246	107
Egypt, Arab Rep.	1668	1144
El Salvador	19	27
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	62	80
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	157	105
France	11661	834
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	204	429
Germany	38815	5645
Ghana	796	92
Greece	541	482
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	35	223
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	9
Haiti	..	..
Honduras	4	25
Hungary	595	94
Iceland	15	609
India	8928	3704
Indonesia	2432	1367
Iran, Islamic Rep.	14610	164
Iraq	81	8
Ireland	88	467
Isle of Man	..	..
Israel	981	707
Italy	34812	1212
Jamaica	114	7
Japan	23459	8009
Jordan	26	23
Kazakhstan	83	170
Kenya	170	7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	60075	7979
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	11	502
Lao PDR	..	..
Latvia	154	39
Lebanon	..	..
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	261	712
Lithuania	160	371
Luxembourg	..	..
North Macedonia	63	783
Madagascar	293	7
Malawi	..	..
Malaysia	528	1317
Maldives	..	..
Mali	..	..
Malta	..	..
Marshall Islands	..	..
Mauritania	..	..
Mauritius	75	24
Mexico	1627	2322
Micronesia, Fed. Sts.	..	..
Moldova	432	548
Monaco	74	853
Mongolia	739	370
Montenegro	1	737
Morocco	3879	1673
Mozambique	5	64
Myanmar	..	..
Namibia	..	..
Nepal	15	25
Netherlands	..	..
New Caledonia	..	..
New Zealand	463	1118
Nicaragua	..	..
Niger	..	..
Nigeria	1146	26
Northern Mariana Islands	..	..
Norway	555	3646
Oman	25	948
Pakistan	453	135
Palau	..	..
Panama	3	68
Papua New Guinea	3	36
Paraguay	159	62
Peru	134	247
Philippines	929	660
Poland	..	..
Portugal	1288	62
Puerto Rico	..	..
Qatar	..	..
Romania	438	309
Russian Federation	3822	5121
Rwanda	5	63
Samoa	44	..
San Marino	17	4
Sao Tome and Principe	..	105
Saudi Arabia	345	572
Senegal	..	..
Serbia	196	904
Seychelles	..	..
Sierra Leone	..	..
Singapore	342	3705
Sint Maarten (Dutch part)	..	..
Slovak Republic	272	58
Slovenia	40	492
Solomon Islands	..	..
Somalia	..	..
South Africa	977	966
South Sudan	..	..
Spain	18219	634
Sri Lanka	228	60
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	114	47
Suriname	..	..
Eswatini	..	..
Sweden	457	122
Switzerland	3446	8194
Syrian Arab Republic	359	88
Tajikistan	..	163
Tanzania	..	..
Thailand	4044	1425
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	160	14
Tunisia	164	1164
Turkey	35461	6859
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	29	..
Ukraine	5261	2905
United Arab Emirates	..	..
United Kingdom	22904	4538
United States	22824	24313
Uruguay	53	62
Uzbekistan	307	26
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	1891	1475
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	17	3
Zambia	30	1
Zimbabwe	..	..
World	1040764	155084
East Asia & Pacific	788452	55479
Europe & Central Asia	182910	50402
Latin America & Caribbean	7489	7415
Middle East & North Africa	23168	6007
North America	23598	30357
South Asia	11506	4016
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	29975	14655
Upper middle income	759733	48845
High income	250234	91315
