Country	Total
Afghanistan	0
Albania	11.6
Algeria	12.1
American Samoa	..
Andorra	83.1
Angola	..
Antigua and Barbuda	14
Argentina	50.1
Armenia	86.7
Aruba	..
Australia	45.1
Austria	109.9
Azerbaijan	67.6
Bahamas, The	..
Bahrain	14.4
Bangladesh	2.9
Barbados	17.2
Belarus	124.2
Belgium	89.8
Belize	10.5
Benin	1.9
Bermuda	..
Bhutan	2.9
Bolivia	33.9
Bosnia and Herzegovina	32.3
Botswana	3.6
Brazil	55.5
Brunei Darussalam	..
Bulgaria	112.7
Burkina Faso	0.6
Burundi	0.4
Cabo Verde	16
Cambodia	4.2
Cameroon	1.2
Canada	43.9
Cayman Islands	156.8
Central African Republic	0.4
Chad	0.3
Channel Islands	38.7
Chile	59.3
China	40.1
Hong Kong SAR, China	27.8
Macao SAR, China	..
Colombia	22.7
Comoros	..
Congo, Dem. Rep.	0.2
Congo, Rep.	0.2
Costa Rica	25.5
Cote d'Ivoire	2.8
Croatia	81.2
Cuba	100.9
Curacao	..
Cyprus	84.4
Czech Republic	124.5
Denmark	69
Djibouti	4.4
Dominica	11.3
Dominican Republic	..
Ecuador	59.4
Egypt, Arab Rep.	50.1
El Salvador	22.3
Equatorial Guinea	..
Eritrea	0.4
Estonia	65
Eswatini	0.2
Ethiopia	0.5
Faroe Islands	..
Fiji	5.4
Finland	76.3
France	58.6
French Polynesia	32.6
Gabon	..
Gambia, The	1.8
Georgia	130.4
Germany	108
Ghana	..
Greece	163.5
Greenland	..
Grenada	12.6
Guam	..
Guatemala	3.4
Guinea	..
Guinea-Bissau	..
Guyana	8.8
Haiti	5.9
Honduras	13.7
Hungary	55.7
Iceland	101.6
India	6.8
Indonesia	..
Iran, Islamic Rep.	5
Iraq	7.6
Ireland	72
Isle of Man	52.4
Israel	75.6
Italy	142.4
Jamaica	11.2
Japan	37.4
Jordan	24.5
Kazakhstan	73.2
Kenya	2.4
Kiribati	8.2
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	49.6
Kosovo	27.7
Kuwait	..
Kyrgyz Republic	50.1
Lao PDR	3.7
Latvia	67.6
Lebanon	87.4
Lesotho	0.6
Liberia	0.6
Libya	..
Liechtenstein	71.9
Lithuania	130.9
Luxembourg	80.8
Madagascar	0.8
Malawi	0.4
Malaysia	11.4
Maldives	4.8
Mali	1.1
Malta	113.5
Marshall Islands	15.9
Mauritania	..
Mauritius	17.6
Mexico	..
Micronesia, Fed. Sts.	7
Moldova	86.1
Monaco	195.6
Mongolia	45
Montenegro	64.1
Morocco	3.7
Mozambique	0.5
Myanmar	2.4
Namibia	6.1
Nepal	3
Netherlands	49
New Caledonia	..
New Zealand	43
Nicaragua	15.5
Niger	0.4
Nigeria	1.4
North Macedonia	61.2
Northern Mariana Islands	..
Norway	67.2
Oman	30.5
Pakistan	5.5
Palau	..
Panama	26.2
Papua New Guinea	2.3
Paraguay	20.5
Peru	42.9
Philippines	9.6
Poland	67.9
Portugal	86.1
Puerto Rico	..
Qatar	14.5
Romania	60.5
Russian Federation	63.1
Rwanda	0.8
Samoa	1.6
San Marino	112.9
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	1.1
Serbia	86.7
Seychelles	48.6
Sierra Leone	0.1
Singapore	31.5
Sint Maarten (Dutch part)	..
Slovak Republic	53.9
Slovenia	66.7
Solomon Islands	2.5
Somalia	0.2
South Africa	11.4
South Sudan	0.3
Spain	79.9
Sri Lanka	2.8
St. Kitts and Nevis	33.5
St. Lucia	23.6
St. Martin (French part)	..
St. Vincent and the Grenadines	23.6
Sudan	2.7
Suriname	..
Sweden	113.1
Switzerland	94.8
Syrian Arab Republic	..
Tajikistan	41.7
Tanzania	0.5
Thailand	13.1
Timor-Leste	0.9
Togo	0.5
Tonga	14
Trinidad and Tobago	30.9
Tunisia	11.5
Turkey	47.6
Turkmenistan	58.8
Turks and Caicos Islands	..
Tuvalu	26.1
Uganda	1.1
Ukraine	86.6
United Arab Emirates	..
United Kingdom	133.3
United States	54.7
Uruguay	38.9
Uzbekistan	50.4
Vanuatu	3.2
Venezuela, RB	18.1
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0.8
Zambia	1.5
Zimbabwe	1.6
World	30.5
East Asia & Pacific	36
Europe & Central Asia	82.7
Latin America & Caribbean	43.4
Middle East & North Africa	21.9
North America	53.6
South Asia	6.1
Sub-Saharan Africa	1.7
Low income	1.4
Lower middle income	9.5
Upper middle income	40.5
High income	70.8
