Country	Modern methods
Afghanistan	59
Albania	88
Algeria	93
American Samoa	..
Andorra	..
Angola	82
Antigua and Barbuda	..
Argentina	..
Armenia	100
Aruba	..
Australia	..
Austria	..
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	64
Barbados	..
Belarus	..
Belgium	..
Belize	97
Benin	83
Bermuda	..
Bhutan	..
Bolivia	96
Bosnia and Herzegovina	..
Botswana	..
Brazil	97
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	80
Burundi	99
Cabo Verde	..
Cambodia	95
Cameroon	83
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	55
Channel Islands	..
Chile	..
China	100
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	97
Comoros	..
Congo, Dem. Rep.	88
Congo, Rep.	94
Costa Rica	..
Cote d'Ivoire	93
Croatia	..
Cuba	99
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	98
Ecuador	..
Egypt, Arab Rep.	90
El Salvador	96
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	99
Ethiopia	62
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	86
Georgia	..
Germany	..
Ghana	98
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	91
Guinea	81
Guinea-Bissau	92
Guyana	91
Haiti	91
Honduras	..
Hungary	..
Iceland	..
India	79
Indonesia	98
Iran, Islamic Rep.	..
Iraq	88
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	98
Kazakhstan	99
Kenya	94
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	100
Korea, Rep.	..
Kosovo	98
Kuwait	..
Kyrgyz Republic	98
Lao PDR	78
Latvia	..
Lebanon	..
Lesotho	95
Liberia	98
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	87
Malawi	98
Malaysia	97
Maldives	99
Mali	80
Malta	..
Marshall Islands	..
Mauritania	87
Mauritius	..
Mexico	99
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	99
Montenegro	92
Morocco	89
Mozambique	94
Myanmar	81
Namibia	97
Nepal	84
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	..
Nigeria	67
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	99
Pakistan	86
Palau	..
Panama	93
Papua New Guinea	76
Paraguay	99
Peru	97
Philippines	94
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	76
Russian Federation	..
Rwanda	98
Samoa	93
San Marino	..
Sao Tome and Principe	98
Saudi Arabia	..
Senegal	97
Serbia	98
Seychelles	..
Sierra Leone	97
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	89
Somalia	..
South Africa	94
South Sudan	62
Spain	..
Sri Lanka	99
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	79
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	92
Tanzania	98
Thailand	98
Timor-Leste	84
Togo	52
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	97
Turkmenistan	100
Turks and Caicos Islands	..
Tuvalu	..
Uganda	97
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	97
Uzbekistan	99
Vanuatu	76
Venezuela, RB	98
Vietnam	96
Virgin Islands (U.S.)	..
West Bank and Gaza	99
Yemen, Rep.	60
Zambia	97
Zimbabwe	93
World	87
East Asia & Pacific	98
Europe & Central Asia	..
Latin America & Caribbean	97
Middle East & North Africa	..
North America	..
South Asia	79
Sub-Saharan Africa	82
Low income	81
Lower middle income	82
Upper middle income	98
High income	..
