Country	assessment (2004)	assessment (2019)
Afghanistan	0	40
Albania	60	70
Algeria	30	50
American Samoa	..	..
Andorra	..	..
Angola	30	40
Antigua and Barbuda	20	20
Argentina	100	70
Armenia	70	100
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	70	80
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	50	30
Barbados	..	..
Belarus	80	90
Belgium	..	..
Belize	50	40
Benin	40	40
Bermuda	..	..
Bhutan	40	40
Bolivia	50	40
Bosnia and Herzegovina	40	70
Botswana	50	20
Brazil	90	90
Brunei Darussalam	..	..
Bulgaria	90	90
Burkina Faso	40	50
Burundi	40	50
Cambodia	50	30
Cameroon	40	40
Canada	..	..
Cabo Verde	40	50
Cayman Islands	..	..
Central African Republic	0	20
Chad	50	10
Channel Islands	..	..
Chile	80	90
China	50	100
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	90	80
Comoros	20	20
Congo, Dem. Rep.	40	20
Congo, Rep.	40	20
Costa Rica	80	90
Cote d'Ivoire	70	60
Croatia	90	80
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	40	50
Dominica	50	50
Dominican Republic	60	60
Ecuador	80	60
Egypt, Arab Rep.	40	80
El Salvador	70	90
Equatorial Guinea	10	10
Eritrea	20	20
Estonia	..	20
Ethiopia	40	30
Faroe Islands	..	..
Fiji	40	30
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	20	30
Gambia, The	40	60
Georgia	60	90
Germany	..	..
Ghana	30	60
Greece	..	..
Greenland	..	..
Grenada	40	50
Guam	..	..
Guatemala	50	50
Guinea	40	30
Guinea-Bissau	10	30
Guyana	50	30
Haiti	20	20
Honduras	40	40
Hungary	100	20
Iceland	..	..
India	80	80
Indonesia	90	90
Iran, Islamic Rep.	60	70
Iraq	0	20
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	60	40
Japan	..	..
Jordan	70	90
Kazakhstan	90	90
Kenya	60	50
Kiribati	10	40
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	50
Kuwait	..	..
Kyrgyz Republic	80	90
Lao PDR	50	50
Latvia	..	20
Lebanon	30	40
Lesotho	50	40
Liberia	0	40
Libya	40	20
Liechtenstein	..	..
Lithuania	..	20
Luxembourg	..	..
North Macedonia	70	60
Madagascar	40	40
Malawi	60	50
Malaysia	70	80
Maldives	70	70
Mali	30	30
Malta	..	..
Marshall Islands	10	20
Mauritania	20	30
Mauritius	80	90
Mexico	90	100
Micronesia, Fed. Sts.	20	20
Moldova	70	100
Monaco	..	..
Mongolia	70	90
Montenegro	30	80
Morocco	70	60
Mozambique	40	40
Myanmar	50	70
Namibia	40	30
Nepal	50	50
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	70	50
Niger	40	40
Nigeria	20	30
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	60	50
Palau	20	30
Panama	60	50
Papua New Guinea	50	50
Paraguay	50	60
Peru	100	80
Philippines	70	50
Poland	90	90
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	70	80
Russian Federation	60	90
Rwanda	40	50
Samoa	50	60
San Marino	..	..
Sao Tome and Principe	30	50
Saudi Arabia	..	..
Senegal	60	80
Serbia	30	80
Seychelles	50	80
Sierra Leone	20	30
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	90	20
Slovenia	..	..
Solomon Islands	20	40
Somalia	0	10
South Africa	90	80
South Sudan	..	30
Spain	..	..
Sri Lanka	50	70
St. Kitts and Nevis	40	30
St. Lucia	50	40
St. Martin (French part)	..	..
St. Vincent and the Grenadines	60	50
Sudan	20	50
Suriname	30	40
Eswatini	30	40
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	60	10
Tajikistan	40	60
Tanzania	50	30
Thailand	90	80
Timor-Leste	20	60
Togo	40	50
Tonga	40	50
Trinidad and Tobago	70	50
Tunisia	60	70
Turkey	90	90
Turkmenistan	20	30
Turks and Caicos Islands	..	..
Tuvalu	..	40
Uganda	40	50
Ukraine	80	100
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	60	70
Uzbekistan	50	70
Vanuatu	40	30
Venezuela, RB	70	30
Vietnam	50	60
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	80
Yemen, Rep.	40	40
Zambia	50	50
Zimbabwe	60	30
East Asia & Pacific (excluding high income)	62.7	67.5
Europe & Central Asia (excluding high income)	63.9	78.9
Latin America & Caribbean (excluding high income)	68.8	61.8
Middle East & North Africa (excluding high income)	45.5	52.5
South Asia	48.3	53.3
Sub-Saharan Africa (excluding high income)	37.6	38.6
IDA total	40	42.1
IBRD only	63.9	68.1
Low income	..	
Lower middle income	248937	
Upper middle income	763815	
High income	1025704	
