Country	Mortality Rate (1990)	Mortality Rate (2019)
Afghanistan	120	47
Albania	36	9
Algeria	42	20
American Samoa	..	..
Andorra	9	3
Angola	131	50
Antigua and Barbuda	12	6
Argentina	25	8
Armenia	42	11
Aruba	..	..
Australia	8	3
Austria	8	3
Azerbaijan	76	18
Bahamas, The	20	11
Bahrain	20	6
Bangladesh	100	26
Barbados	16	12
Belarus	12	2
Belgium	8	3
Belize	31	11
Benin	106	59
Bermuda	..	..
Bhutan	89	24
Bolivia	84	21
Bosnia and Herzegovina	16	5
Botswana	36	32
Brazil	52	12
Brunei Darussalam	10	10
Bulgaria	15	6
Burkina Faso	99	54
Burundi	105	40
Cabo Verde	47	13
Cambodia	85	23
Cameroon	84	50
Canada	7	4
Cayman Islands	..	..
Central African Republic	116	81
Chad	112	69
Channel Islands	..	..
Chile	16	6
China	42	7
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	29	12
Comoros	88	48
Congo, Dem. Rep.	119	66
Congo, Rep.	59	35
Costa Rica	14	8
Cote d'Ivoire	104	59
Croatia	11	4
Cuba	11	4
Curacao	..	..
Cyprus	10	2
Czech Republic	10	3
Denmark	7	3
Djibouti	92	48
Dominica	13	31
Dominican Republic	46	24
Ecuador	42	12
Egypt, Arab Rep.	63	17
El Salvador	46	11
Equatorial Guinea	120	60
Eritrea	94	31
Estonia	14	2
Eswatini	51	39
Ethiopia	119	37
Faroe Islands	..	..
Fiji	24	22
Finland	6	2
France	7	4
French Polynesia	..	..
Gabon	60	31
Gambia, The	82	36
Georgia	41	9
Germany	7	3
Ghana	80	34
Greece	9	3
Greenland	..	..
Grenada	18	15
Guam	..	..
Guatemala	59	21
Guinea	137	64
Guinea-Bissau	131	52
Guyana	46	24
Haiti	100	48
Honduras	45	15
Hungary	15	3
Iceland	5	2
India	89	28
Indonesia	62	20
Iran, Islamic Rep.	44	12
Iraq	42	22
Ireland	8	3
Isle of Man	..	..
Israel	10	3
Italy	8	3
Jamaica	25	12
Japan	5	2
Jordan	30	13
Kazakhstan	44	9
Kenya	65	32
Kiribati	69	40
Korea, Dem. Peopleâ€™s Rep.	33	13
Korea, Rep.	13	3
Kosovo	..	..
Kuwait	15	7
Kyrgyz Republic	54	16
Lao PDR	105	36
Latvia	13	3
Lebanon	27	6
Lesotho	68	68
Liberia	175	62
Libya	36	10
Liechtenstein	..	..
Lithuania	12	3
Luxembourg	7	2
Madagascar	96	37
Malawi	141	31
Malaysia	14	7
Maldives	63	7
Mali	120	60
Malta	10	6
Marshall Islands	39	26
Mauritania	71	50
Mauritius	20	14
Mexico	36	12
Micronesia, Fed. Sts.	43	25
Moldova	28	12
Monaco	6	3
Mongolia	77	13
Montenegro	15	2
Morocco	63	18
Mozambique	162	55
Myanmar	81	36
Namibia	49	31
Nepal	97	26
Netherlands	7	4
New Caledonia	..	..
New Zealand	9	4
Nicaragua	51	14
Niger	133	47
Nigeria	124	74
North Macedonia	32	5
Northern Mariana Islands	..	..
Norway	7	2
Oman	32	10
Pakistan	107	56
Palau	30	16
Panama	26	13
Papua New Guinea	62	36
Paraguay	36	17
Peru	57	10
Philippines	40	22
Poland	15	4
Portugal	12	3
Puerto Rico	..	..
Qatar	18	6
Romania	24	6
Russian Federation	18	5
Rwanda	92	26
Samoa	25	13
San Marino	12	2
Sao Tome and Principe	69	24
Saudi Arabia	36	6
Senegal	71	33
Serbia	24	5
Seychelles	14	12
Sierra Leone	154	81
Singapore	6	2
Sint Maarten (Dutch part)	..	..
Slovak Republic	13	5
Slovenia	9	2
Solomon Islands	31	17
Somalia	107	74
South Africa	45	28
South Sudan	148	62
Spain	7	3
Sri Lanka	19	6
St. Kitts and Nevis	25	13
St. Lucia	18	20
St. Martin (French part)	..	..
St. Vincent and the Grenadines	20	13
Sudan	82	41
Suriname	39	16
Sweden	6	2
Switzerland	7	4
Syrian Arab Republic	30	18
Tajikistan	81	30
Tanzania	100	36
Thailand	30	8
Timor-Leste	131	38
Togo	89	46
Tonga	19	14
Trinidad and Tobago	27	16
Tunisia	43	15
Turkey	55	9
Turkmenistan	65	36
Turks and Caicos Islands	..	..
Tuvalu	42	20
Uganda	107	33
Ukraine	17	7
United Arab Emirates	14	6
United Kingdom	8	4
United States	9	6
Uruguay	20	6
Uzbekistan	59	16
Vanuatu	29	22
Venezuela, RB	25	21
Vietnam	37	16
Virgin Islands (U.S.)	..	..
West Bank and Gaza	36	17
Yemen, Rep.	88	44
Zambia	107	42
Zimbabwe	50	38
World	65	28
East Asia & Pacific	43	12
Europe & Central Asia	25	7
Latin America & Caribbean	43	14
Middle East & North Africa	50	18
North America	9	5
South Asia	92	33
Sub-Saharan Africa	107	52
Low income	110	48
Lower middle income	86	37
Upper middle income	43	11
High income	11	4
