Country	Reserves (2010)	Reserves (2019)
Afghanistan	5162	8498
Albania	2541	3764
Algeria	170461	71796
American Samoa	..	..
Andorra	..	..
Angola	19679	16335
Antigua and Barbuda	137	279
Argentina	52208	45216
Armenia	1866	2850
Aruba	709	982
Australia	42268	58755
Austria	22242	23616
Azerbaijan	6409	7043
Bahamas, The	1044	1760
Bahrain	5299	3903
Bangladesh	11175	32697
Barbados	834	..
Belarus	5025	9394
Belgium	26779	28970
Belize	218	278
Benin	..	..
Bermuda	..	..
Bhutan	1002	1238
Bolivia	9731	6455
Bosnia and Herzegovina	4411	7208
Botswana	7885	6170
Brazil	288575	356886
Brunei Darussalam	1563	4273
Bulgaria	17223	27902
Burkina Faso	..	..
Burundi	332	111
Cabo Verde	382	738
Cambodia	3817	17642
Cameroon	3643	3459
Canada	57151	85297
Cayman Islands	..	184
Central African Republic	181	362
Chad	632	148
Channel Islands	..	..
Chile	27827	40656
China	2913712	3222895
Hong Kong SAR, China	285399	441350
Macao SAR, China	23726	22215
Colombia	28076	52653
Comoros	146	202
Congo, Dem. Rep.	1300	665
Congo, Rep.	4447	424
Costa Rica	4627	8937
Cote d'Ivoire	..	..
Croatia	14133	20771
Cuba	..	..
Curacao	..	..
Cyprus	1142	1033
Czech Republic	42483	149856
Denmark	76510	66836
Djibouti	249	502
Dominica	76	167
Dominican Republic	3874	8871
Ecuador	2622	2940
Egypt, Arab Rep.	37029	44569
El Salvador	2882	4446
Equatorial Guinea	2346	49
Eritrea	114	192
Estonia	2567	1426
Eswatini	756	440
Ethiopia	2241	2993
Faroe Islands	..	..
Fiji	721	1043
Finland	9547	11427
France	165852	189006
French Polynesia	..	..
Gabon	1736	1321
Gambia, The	202	192
Georgia	2264	3506
Germany	215978	224028
Ghana	5158	7563
Greece	6352	8507
Greenland	..	..
Grenada	119	236
Guam	..	..
Guatemala	5949	14784
Guinea	302	1418
Guinea-Bissau	..	..
Guyana	782	573
Haiti	1893	2371
Honduras	2701	5744
Hungary	44988	31831
Iceland	5789	6782
India	300480	463470
Indonesia	96211	129186
Iran, Islamic Rep.	..	..
Iraq	50622	64719
Ireland	2114	5733
Isle of Man	..	..
Israel	70907	126008
Italy	158478	175398
Jamaica	2501	3631
Japan	1104564	1322443
Jordan	13633	..
Kazakhstan	28265	28958
Kenya	4321	9116
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	292143	408819
Kosovo	813	966
Kuwait	24802	43668
Kyrgyz Republic	1720	2429
Lao PDR	1208	1068
Latvia	7606	4480
Lebanon	44476	52213
Lesotho	1071	729
Liberia	445	560
Libya	106144	84661
Liechtenstein	..	..
Lithuania	6598	5085
Luxembourg	848	1055
Madagascar	1023	1693
Malawi	325	825
Malaysia	106528	103630
Maldives	364	762
Mali	..	..
Malta	540	938
Marshall Islands	..	..
Mauritania	288	1029
Mauritius	2619	7362
Mexico	120584	183056
Micronesia, Fed. Sts.	56	204
Moldova	1718	3060
Monaco	..	..
Mongolia	2288	4364
Montenegro	556	1529
Morocco	23709	26413
Mozambique	2265	3888
Myanmar	6045	5824
Namibia	1696	2049
Nepal	3003	8713
Netherlands	46147	43320
New Caledonia	..	..
New Zealand	16723	17814
Nicaragua	1799	2397
Niger	..	..
Nigeria	35885	42839
North Macedonia	2277	3651
Northern Mariana Islands	..	..
Norway	53215	66946
Oman	13025	16662
Pakistan	17256	16586
Palau	..	..
Panama	2714	3423
Papua New Guinea	3121	2339
Paraguay	4167	7717
Peru	44215	67711
Philippines	62326	89515
Poland	93473	128392
Portugal	20937	25003
Puerto Rico	..	..
Qatar	31182	39718
Romania	48048	42007
Russian Federation	479222	555179
Rwanda	806	1363
Samoa	189	185
San Marino	449	473
Sao Tome and Principe	48	47
Saudi Arabia	459313	514963
Senegal	..	..
Serbia	13308	14995
Seychelles	256	581
Sierra Leone	409	533
Singapore	231260	285478
Sint Maarten (Dutch part)	..	..
Slovak Republic	2156	7169
Slovenia	1071	1015
Solomon Islands	266	572
Somalia	..	..
South Africa	43820	55056
South Sudan	1282	..
Spain	31872	74731
Sri Lanka	7195	7648
St. Kitts and Nevis	169	354
St. Lucia	206	261
St. Martin (French part)	..	..
St. Vincent and the Grenadines	113	193
Sudan	1036	178
Suriname	691	648
Sweden	48246	55510
Switzerland	270480	854929
Syrian Arab Republic	20632	..
Tajikistan	403	1466
Tanzania	3905	5050
Thailand	172028	224356
Timor-Leste	406	656
Togo	..	..
Tonga	105	229
Trinidad and Tobago	9268	7024
Tunisia	9764	7920
Turkey	85959	104152
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2706	3359
Ukraine	34571	25317
United Arab Emirates	32785	108359
United Kingdom	98025	173569
United States	488929	516701
Uruguay	7656	14504
Uzbekistan	..	29291
Vanuatu	161	512
Venezuela, RB	29665	9794
Vietnam	12467	78335
Virgin Islands (U.S.)	..	..
West Bank and Gaza	532	538
Yemen, Rep.	5939	..
Zambia	2094	1449
Zimbabwe	732	151
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
