Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	53	70
Albania	2018	52	49
Algeria	2013	60	73
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	25	78
Antigua and Barbuda	..	..	..
Argentina	2012	92	96
Armenia	2016	46	67
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	38	60
Barbados	..	..	..
Belarus	..	..	..
Belgium	..	..	..
Belize	2016	..	..
Benin	2018	30	74
Bermuda	..	..	..
Bhutan	2010	64	82
Bolivia	2008	40	70
Bosnia and Herzegovina	2012	..	..
Botswana	..	..	..
Brazil	..	..	..
British Virgin Islands	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2010	36	70
Burundi	2017	62	67
Cabo Verde	..	..	..
Cambodia	2014	68	67
Cameroon	2014	31	23
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	20	56
Chad	2015	16	44
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2010	54	67
Comoros	2012	31	43
Congo, Dem. Rep.	2014	37	44
Congo, Rep.	2016	18	61
Costa Rica	2011	80	..
Cote d'Ivoire	2016	23	49
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	73	77
Ecuador	..	..	..
Egypt, Arab Rep.	2014	64	66
El Salvador	2014	..	..
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	62	63
Ethiopia	2016	25	40
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	39	63
Gambia, The	2018	53	33
Georgia	..	..	..
Germany	..	..	..
Ghana	2014	54	87
Gibraltar	..	..	..
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	47	68
Guinea	2018	74	78
Guinea-Bissau	2014	40	27
Guyana	2014	75	35
Haiti	2017	25	52
Honduras	2012	61	73
Hungary	..	..	..
Iceland	..	..	..
India	2016	69	90
Indonesia	2017	89	92
Iran, Islamic Rep.	..	..	..
Iraq	2018	41	65
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	..	..
Japan	..	..	..
Jordan	2018	68	74
Kazakhstan	..	..	..
Kenya	2014	63	74
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2014	56	..
Kuwait	..	..	..
Kyrgyz Republic	2018	19	79
Lao PDR	2017	42	86
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	54	..
Liberia	2013	48	44
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2009	33	68
Malawi	2016	77	71
Malaysia	..	..	..
Maldives	2017	86	43
Mali	2018	74	86
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	18	48
Mauritius	..	..	..
Mexico	2015	70	..
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	..	..
Monaco	..	..	..
Mongolia	2018	75	..
Montenegro	2013	..	..
Morocco	..	..	..
Mozambique	2015	49	59
Myanmar	2016	45	77
Namibia	2013	58	73
Nauru	..	..	..
Nepal	2016	73	75
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	47	71
Nigeria	2018	72	94
North Macedonia	2011	..	..
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	74	91
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	48	76
Paraguay	2016	84	95
Peru	2012	65	68
Philippines	2017	57	83
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2015	45	65
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	86	77
Saudi Arabia	..	..	..
Senegal	2017	41	84
Serbia	2010	83	96
Seychelles	..	..	..
Sierra Leone	2017	69	81
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	81	..
South Sudan	2010	33	66
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	27	63
Suriname	2018	79	..
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	94	49
Tanzania	2016	37	75
Thailand	2016	61	74
Timor-Leste	2016	70	98
Togo	2014	42	69
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2018	95	100
Turkey	2008	..	..
Turkmenistan	2016	..	..
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	80	86
Ukraine	..	..	..
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	68	..
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	78	82
Yemen, Rep.	2013	31	42
Zambia	2014	67	80
Zimbabwe	2015	43	70
