Country	Exports (2007)	Exports (2017)
East Asia & Pacific (excluding high income)	13.4	16.9
American Samoa	32.3	35.3
Cambodia	1.1	2.6
China	15.3	19.3
Fiji	1.2	2.5
Indonesia	12.2	17.9
Kiribati	..	4.9
Korea, Dem. Peopleâ€™s Rep.	72.3	12.4
Lao PDR	0.5	5.3
Malaysia	9.4	11.3
Marshall Islands	2	5
Micronesia, Fed. Sts.	9.7	4
Mongolia	3.8	1.4
Myanmar	17.8	8.9
Palau	12.2	9.2
Papua New Guinea	0.7	4.4
Philippines	2.1	3.1
Samoa	0.3	1.8
Solomon Islands	2.9	4.4
Thailand	10.3	11.5
Timor-Leste	23.2	1.7
Tonga	1.4	0.3
Tuvalu	74.9	50.5
Vanuatu	10.1	26.3
Vietnam	5.3	9
Europe & Central Asia (excluding high income)	11.6	19.2
Albania	3.9	4.1
Armenia	4.9	17.2
Azerbaijan	19.4	11.7
Belarus	6.6	8.1
Bosnia and Herzegovina	1.2	1.9
Bulgaria	5.5	9.3
Georgia	5	13.7
Kazakhstan	18.5	16.9
Kosovo	10	16.1
Kyrgyz Republic	18.9	7
Lithuania	27.7	29.8
North Macedonia	0.4	1.8
Moldova	1.2	3.3
Montenegro	0.3	3
Romania	5.5	8.3
Russian Federation	10.4	21.5
Serbia	1.7	2.5
Tajikistan	8	39.4
Turkey	14.1	22.5
Turkmenistan	5.1	83.9
Ukraine	16	27.5
Uzbekistan	54.9	24.6
Latin America & Caribbean (excluding high income)	9.4	17.4
Antigua and Barbuda	17	28.2
Argentina	25.8	33.2
Belize	0.2	3.8
Bolivia	1.8	13.6
Brazil	20.1	37.7
Chile	40.1	50.7
Colombia	4.5	10.6
Costa Rica	11.6	3
Cuba	15.9	26
Dominica	14	2.7
Dominican Republic	3.5	8.1
Ecuador	4.6	20.2
El Salvador	1.4	2.6
Grenada	1.8	5.5
Guatemala	2.7	6.1
Guyana	5.9	5.5
Haiti	3.1	2.4
Honduras	1	2.3
Jamaica	10.7	9.9
Mexico	1.6	3.3
Nicaragua	1.2	1.2
Panama	21.4	38.7
Paraguay	8.8	14.7
Peru	14.2	34.2
St. Kitts and Nevis	13	15.6
St. Lucia	1.2	4.8
St. Vincent and the Grenadines	9.8	48
Suriname	1.9	2.9
Uruguay	54.3	59.9
Venezuela, RB	6.6	33.6
Middle East & North Africa (excluding high income)	22.1	35.7
Algeria	12.4	17.6
Djibouti	67.9	63.1
Egypt, Arab Rep.	19.9	14.1
Iran, Islamic Rep.	44.8	60.6
Iraq	22.5	46.6
Jordan	15.3	18.8
Lebanon	19.2	33.4
Libya	11.5	12.4
Morocco	16.1	22.9
Syrian Arab Republic	7.9	14.7
Tunisia	5.6	7.4
West Bank and Gaza	0.2	1.1
Yemen, Rep.	62.9	33
South Asia	25.7	26.3
Afghanistan	40.8	12.8
Bangladesh	5	8.2
Bhutan	4.1	0.4
India	29.1	28.8
Maldives	43.4	50
Nepal	1.8	10.8
Pakistan	18.1	23.3
Sri Lanka	12.2	19
Sub-Saharan Africa (excluding high income)	23.4	33.7
Angola	67.9	72.6
Benin	50.7	65.5
Botswana	2	19.5
Burkina Faso	0.9	12
Burundi	9.3	16.1
Cabo Verde	15.2	1.7
Cameroon	9.9	30.7
Central African Republic	15.8	17.8
Chad	4.7	32.8
Comoros	17	27.2
Congo, Dem. Rep.	44.7	44.7
Congo, Rep.	56.2	40.5
Cote d'Ivoire	9.5	20.4
Eritrea	34.3	69.4
Ethiopia	20.9	18.3
Gabon	17.6	41.6
Gambia, The	3.4	48.3
Ghana	8.9	43.5
Guinea	10.7	48.2
Guinea-Bissau	14.8	89.4
Kenya	17.6	24.1
Lesotho	0.6	0.2
Liberia	2.1	2.1
Madagascar	5.5	14.4
Malawi	14.1	20.5
Mali	12.1	14.1
Mauritania	9.4	43.5
Mauritius	2.7	7.6
Mozambique	3.4	42.6
Namibia	3.3	5.7
Niger	3.7	31.9
Nigeria	21.1	44.5
Rwanda	1.2	1.4
Sao Tome and Principe	23.9	3.7
Senegal	9.6	12.8
Seychelles	1.6	8.5
Sierra Leone	17.6	28.4
Somalia	50.4	20.8
South Africa	15.1	20.8
Sudan	2.1	19.7
Eswatini	2.3	13.4
Tanzania	15.9	38
Togo	18.9	14.7
Uganda	3.4	7.8
Zambia	18.4	18.3
Zimbabwe	5.4	0.1
