Country	Survey Year	Regulations and tax
Afghanistan	2014	1.5
Albania	2019	5.7
Algeria	2007	..
American Samoa	..	..
Andorra	..	..
Angola	2010	3.7
Antigua and Barbuda	2010	2.7
Argentina	2017	3.3
Armenia	2013	1.7
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	2
Bahamas, The	2010	1.9
Bahrain	..	..
Bangladesh	2013	3.2
Barbados	2010	1.5
Belarus	2018	2.8
Belgium	..	..
Belize	2010	2.2
Benin	2016	1.6
Bermuda	..	..
Bhutan	2015	1.2
Bolivia	2017	4.3
Bosnia and Herzegovina	2019	2.9
Botswana	2010	2.5
Brazil	2009	1.8
Brunei Darussalam	..	..
Bulgaria	2019	2.6
Burkina Faso	2009	2.2
Burundi	2014	1.8
Cambodia	2016	5.8
Cameroon	2016	4.4
Canada	..	..
Cabo Verde	2009	2.2
Cayman Islands	..	..
Central African Republic	2011	4.3
Chad	2018	3.2
Channel Islands	..	..
Chile	2010	4.7
China	2012	2.1
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	3.5
Comoros	..	..
Congo, Dem. Rep.	2013	10.3
Congo, Rep.	2009	3
Costa Rica	2010	3.3
Cote d'Ivoire	2016	3.6
Croatia	2019	1.6
Cuba	..	..
Curacao	..	..
Cyprus	2019	2
Czech Republic	2019	2.3
Denmark	..	..
Djibouti	2013	1.4
Dominica	2010	2.2
Dominican Republic	2016	2.1
Ecuador	2017	3.5
Egypt, Arab Rep.	2016	3.2
El Salvador	2016	2.1
Equatorial Guinea	..	..
Eritrea	2009	1.7
Estonia	2019	1.9
Ethiopia	2015	3.7
Faroe Islands	..	..
Fiji	2009	2.2
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	18.8
Gambia, The	2018	4.4
Georgia	2019	2.2
Germany	2005	..
Ghana	2013	3
Greece	2018	2.3
Greenland	..	..
Grenada	2010	3.3
Guam	..	..
Guatemala	2017	3.8
Guinea	2016	2.9
Guinea-Bissau	2006	3.9
Guyana	2010	5.2
Haiti	..	..
Honduras	2016	2.1
Hungary	2019	2.2
Iceland	..	..
India	2014	3.1
Indonesia	2015	1.5
Iran, Islamic Rep.	..	..
Iraq	2011	2
Ireland	2005	..
Isle of Man	..	..
Israel	2013	1.1
Italy	2019	1.3
Jamaica	2010	1.6
Japan	..	..
Jordan	2019	1.7
Kazakhstan	2019	2.3
Kenya	2018	2.7
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	..
Kosovo	2019	2.6
Kuwait	..	..
Kyrgyz Republic	2019	2.4
Lao PDR	2018	2.8
Latvia	2019	1.6
Lebanon	2019	1.6
Lesotho	2016	1.7
Liberia	2017	4.9
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	1.4
Luxembourg	..	..
North Macedonia	2019	3
Madagascar	2013	1.5
Malawi	2014	2.8
Malaysia	2015	1.4
Maldives	..	..
Mali	2016	2.9
Malta	2019	1.7
Marshall Islands	..	..
Mauritania	2014	2.4
Mauritius	2009	3
Mexico	2010	3
Micronesia, Fed. Sts.	2009	2.3
Moldova	2019	2.4
Monaco	..	..
Mongolia	2019	2.5
Montenegro	2019	3.3
Morocco	2019	1.6
Mozambique	2018	2.7
Myanmar	2016	1.8
Namibia	2014	2
Nepal	2013	2.7
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	3.7
Niger	2017	3.3
Nigeria	2014	3.7
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	3.6
Palau	..	..
Panama	2010	2.1
Papua New Guinea	2015	1.4
Paraguay	2017	2.4
Peru	2017	2.5
Philippines	2015	1.4
Poland	2019	1.5
Portugal	2019	1.3
Puerto Rico	..	..
Qatar	..	..
Romania	2013	2.3
Russian Federation	2019	1.7
Rwanda	2019	3.5
Samoa	2009	2.1
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	2.1
Serbia	2019	2.1
Seychelles	..	..
Sierra Leone	2017	3.2
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	1.7
Slovenia	2019	1.7
Solomon Islands	2015	2
Somalia	..	..
South Africa	2007	1.8
South Sudan	2014	3.2
Spain	2005	..
Sri Lanka	2011	2.4
St. Kitts and Nevis	2010	2.8
St. Lucia	2010	2.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	2.2
Sudan	2014	3.3
Suriname	2018	3.1
Eswatini	2016	3.7
Sweden	2014	1.4
Switzerland	..	..
Syrian Arab Republic	2009	..
Tajikistan	2019	4.3
Tanzania	2013	2.2
Thailand	2016	1.2
Timor-Leste	2015	2.4
Togo	2016	2.8
Tonga	2009	1.3
Trinidad and Tobago	2010	1.4
Tunisia	2013	1.5
Turkey	2019	1.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	3.9
Ukraine	2019	1.8
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	2.9
Uzbekistan	2019	2.9
Vanuatu	2009	2.4
Venezuela, RB	2010	3.8
Vietnam	2015	1.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	1.9
Yemen, Rep.	2013	4
Zambia	2019	3.3
Zimbabwe	2016	3
