Country	Total
Afghanistan	2.2
Albania	13.1
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	57.8
Armenia	24.4
Aruba	..
Australia	..
Austria	..
Azerbaijan	4
Bahamas, The	..
Bahrain	..
Bangladesh	12.7
Barbados	..
Belarus	45.5
Belgium	..
Belize	..
Benin	36.7
Bermuda	..
Bhutan	43.3
Bolivia	68.6
Bosnia and Herzegovina	22.8
Botswana	..
Brazil	..
British Virgin Islands	..
Brunei Darussalam	..
Bulgaria	41.5
Burkina Faso	..
Burundi	44
Cabo Verde	..
Cambodia	46.2
Cameroon	39.7
Canada	..
Cayman Islands	..
Central African Republic	53.3
Chad	13.1
Channel Islands	..
Chile	..
China	64.2
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	66.9
Comoros	..
Congo, Dem. Rep.	15.1
Congo, Rep.	..
Costa Rica	..
Cote d'Ivoire	24.4
Croatia	36.3
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	30.4
Denmark	..
Djibouti	22.3
Dominica	..
Dominican Republic	32.2
Ecuador	70.4
Egypt, Arab Rep.	17.8
El Salvador	38.4
Equatorial Guinea	..
Eritrea	..
Estonia	38.3
Eswatini	36
Ethiopia	36.2
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	16.8
Georgia	36.1
Germany	..
Ghana	31.6
Gibraltar	..
Greece	45.9
Greenland	..
Grenada	..
Guam	..
Guatemala	31.5
Guinea	9
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	54.7
Hungary	48.7
Iceland	..
India	10.7
Indonesia	22.1
Iran, Islamic Rep.	..
Iraq	6.8
Ireland	..
Isle of Man	..
Israel	27.3
Italy	..
Jamaica	..
Japan	..
Jordan	15.7
Kazakhstan	29.6
Kenya	47.5
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	13.2
Kuwait	..
Kyrgyz Republic	51.2
Lao PDR	36.5
Latvia	41.6
Lebanon	43.5
Lesotho	39.1
Liberia	37.4
Libya	..
Liechtenstein	..
Lithuania	35.7
Luxembourg	..
North Macedonia	27.7
Madagascar	41.6
Malawi	28.1
Malaysia	25.4
Maldives	..
Mali	15.3
Malta	..
Marshall Islands	..
Mauritania	15
Mauritius	..
Mexico	..
Micronesia, Fed. Sts.	..
Moldova	54.1
Monaco	..
Mongolia	36.1
Montenegro	25.6
Morocco	31.3
Mozambique	28.3
Myanmar	35.1
Namibia	41
Nauru	..
Nepal	21.8
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	35.8
Niger	14.5
Nigeria	16.2
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	11.8
Palau	..
Panama	..
Papua New Guinea	46.5
Paraguay	66.2
Peru	56.6
Philippines	69.2
Poland	40.2
Portugal	..
Puerto Rico	..
Qatar	..
Romania	47
Russian Federation	28.5
Rwanda	42.7
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	22.9
Serbia	34.9
Seychelles	..
Sierra Leone	18.8
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	29.7
Slovenia	38.5
Solomon Islands	47.4
Somalia	..
South Africa	..
South Sudan	21.9
Spain	..
Sri Lanka	26.1
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	8.2
Suriname	32.7
Sweden	52.5
Switzerland	..
Syrian Arab Republic	..
Tajikistan	32.5
Tanzania	24.7
Thailand	64.4
Timor-Leste	64.4
Togo	25.3
Tonga	..
Trinidad and Tobago	..
Tunisia	49.5
Turkey	25.1
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	26.6
Ukraine	32.2
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	37
Uzbekistan	29
Vanuatu	..
Venezuela, RB	..
Vietnam	51.1
Virgin Islands (U.S.)	..
West Bank and Gaza	10.7
Yemen, Rep.	6.6
Zambia	43.7
Zimbabwe	42.5
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
