Country	Number of procedures	Time required
Afghanistan	9	250
Albania	5	19
Algeria	10	55
American Samoa	..	..
Andorra	..	..
Angola	6	190
Antigua and Barbuda	7	32
Argentina	7	51.5
Armenia	3	8
Aruba	..	..
Australia	4	4.5
Austria	3	20.5
Azerbaijan	4	4.5
Bahamas, The	7	122
Bahrain	2	2
Bangladesh	8	270.8
Barbados	7	50
Belarus	4	5
Belgium	8	49
Belize	9	60
Benin	4	120
Bermuda	..	..
Bhutan	3	77
Bolivia	7	90
Bosnia and Herzegovina	7	35
Botswana	4	27
Brazil	14	30.7
Brunei Darussalam	7	298.5
Bulgaria	8	19
Burkina Faso	4	67
Burundi	5	23
Cabo Verde	6	19
Cambodia	7	55
Cameroon	5	81
Canada	5	4
Cayman Islands	..	..
Central African Republic	5	75
Chad	6	29
Channel Islands	..	..
Chile	6	28.5
China	4	9
Hong Kong SAR, China	5	27.5
Macao SAR, China	..	..
Colombia	7	15
Comoros	4	30
Congo, Dem. Rep.	8	38
Congo, Rep.	5	54
Costa Rica	5	11
Cote d'Ivoire	5	39
Croatia	5	33
Cuba	..	..
Curacao	..	..
Cyprus	7	9
Czech Republic	4	27.5
Denmark	3	4
Djibouti	6	24
Dominica	5	125
Dominican Republic	6	33
Ecuador	8	26
Egypt, Arab Rep.	9	76
El Salvador	6	31
Equatorial Guinea	6	23
Eritrea	11	78
Estonia	3	17.5
Ethiopia	7	52
Faroe Islands	..	..
Fiji	4	69
Finland	3	61.5
France	8	42
French Polynesia	..	..
Gabon	6	72
Gambia, The	6	73
Georgia	1	1
Germany	6	52
Ghana	5	33
Greece	11	26
Greenland	..	..
Grenada	8	32
Guam	..	..
Guatemala	7	24
Guinea	6	44
Guinea-Bissau	5	48
Guyana	7	46
Haiti	6	319
Honduras	6	28.5
Hungary	4	17.5
Iceland	3	3.5
India	9	57.9
Indonesia	6	30.6
Iran, Islamic Rep.	6	31
Iraq	5	51
Ireland	5	31.5
Isle of Man	..	..
Israel	6	37
Italy	4	16
Jamaica	8	19
Japan	6	13
Jordan	6	17
Kazakhstan	4	4.5
Kenya	10	43.5
Kiribati	5	513
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	7	5.5
Kosovo	6	32
Kuwait	7	17
Kyrgyz Republic	3	3.5
Lao PDR	6	28
Latvia	4	16.5
Lebanon	8	37
Lesotho	4	43
Liberia	10	44
Libya	..	..
Liechtenstein	8	17
Lithuania	3	3.5
Luxembourg	7	26.5
North Macedonia	7	30
Madagascar	6	100
Malawi	6	47
Malaysia	6	11.5
Maldives	6	57
Mali	5	29
Malta	7	17
Marshall Islands	..	..
Mauritania	4	49
Mauritius	5	17
Mexico	8	38.8
Micronesia, Fed. Sts.	..	..
Moldova	5	5.5
Monaco	..	..
Mongolia	5	10.5
Montenegro	6	69
Morocco	6	20
Mozambique	8	43
Myanmar	6	65
Namibia	8	44
Nepal	4	6
Netherlands	5	2.5
New Caledonia	..	..
New Zealand	2	3.5
Nicaragua	9	56
Niger	4	13
Nigeria	12	91.7
Northern Mariana Islands	..	..
Norway	1	3
Oman	3	18
Pakistan	8	104.7
Palau	5	14
Panama	7	22.5
Papua New Guinea	4	72
Paraguay	6	46
Peru	6	9.5
Philippines	9	35
Poland	6	135
Portugal	1	10
Puerto Rico	8	190
Qatar	1	1
Romania	6	14.5
Russian Federation	4	14
Rwanda	3	7
Samoa	5	15
San Marino	9	42.5
Sao Tome and Principe	8	52
Saudi Arabia	2	1.5
Senegal	5	41
Serbia	6	33
Seychelles	4	33
Sierra Leone	7	56
Singapore	6	4.5
Sint Maarten (Dutch part)	..	..
Slovak Republic	3	16.5
Slovenia	7	50.5
Solomon Islands	10	86.5
Somalia	5	188
South Africa	7	23
South Sudan	7	48
Spain	6	13
Sri Lanka	8	39
St. Kitts and Nevis	6	224
St. Lucia	9	17
St. Martin (French part)	..	..
St. Vincent and the Grenadines	7	47
Sudan	6	11
Suriname	6	46
Eswatini	9	21
Sweden	1	7
Switzerland	4	16
Syrian Arab Republic	4	48
Tajikistan	4	33
Tanzania	8	67
Thailand	5	9
Timor-Leste	..	..
Togo	3	35
Tonga	4	112
Trinidad and Tobago	9	77
Tunisia	5	35
Turkey	6	4.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	10	42
Ukraine	7	15
United Arab Emirates	2	1.5
United Kingdom	6	21.5
United States	4	15.2
Uruguay	9	66
Uzbekistan	9	43
Vanuatu	4	58
Venezuela, RB	10	53
Vietnam	5	53.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	7	35
Yemen, Rep.	6	19
Zambia	6	45
Zimbabwe	5	29
World	6	46.9
East Asia & Pacific	5	61.8
Europe & Central Asia	5	23.7
Latin America & Caribbean	7	62.6
Middle East & North Africa	5	27.2
North America	5	9.6
South Asia	7	107.8
Sub-Saharan Africa	6	51.6
Low income	6	66.4
Lower middle income	6	64.5
Upper middle income	6	32.9
High income	5	35.4
