Country	Imports (2010)	Imports (2019)
Afghanistan	10	11
Albania	68	78
Algeria	5	5
American Samoa	..	..
Andorra	..	..
Angola	1	6
Antigua and Barbuda	24	17
Argentina	35	41
Armenia	46	65
Aruba	38	37
Australia	44	51
Austria	26	18
Azerbaijan	20	27
Bahamas, The	21	21
Bahrain	27	26
Bangladesh	6	10
Barbados	11	8
Belarus	21	19
Belgium	21	15
Belize	24	22
Benin	11	4
Bermuda	30	25
Bhutan	31	28
Bolivia	28	33
Bosnia and Herzegovina	36	36
Botswana	36	23
Brazil	28	26
Brunei Darussalam	39	34
Bulgaria	24	29
Burkina Faso	8	8
Burundi	13	11
Cabo Verde	43	24
Cambodia	6	29
Cameroon	11	26
Canada	31	30
Cayman Islands	..	15
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	11	17
China	39	51
Hong Kong SAR, China	25	34
Macao SAR, China	32	29
Colombia	28	37
Comoros	21	24
Congo, Dem. Rep.	6	4
Congo, Rep.	6	11
Costa Rica	22	26
Cote d'Ivoire	13	13
Croatia	21	32
Cuba	..	..
Curacao	33	43
Cyprus	25	18
Czech Republic	24	23
Denmark	16	15
Djibouti	8	4
Dominica	19	12
Dominican Republic	16	17
Ecuador	19	31
Egypt, Arab Rep.	17	17
El Salvador	21	26
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	22	27
Eswatini	9	19
Ethiopia	6	10
Faroe Islands	20	..
Fiji	20	21
Finland	16	16
France	21	19
French Polynesia	27	40
Gabon	22	..
Gambia, The	19	9
Georgia	20	28
Germany	30	25
Ghana	24	5
Greece	14	15
Greenland	..	..
Grenada	12	10
Guam	..	..
Guatemala	26	23
Guinea	2	2
Guinea-Bissau	29	45
Guyana	21	8
Haiti	9	9
Honduras	28	21
Hungary	15	13
Iceland	30	44
India	13	18
Indonesia	25	29
Iran, Islamic Rep.	..	..
Iraq	17	48
Ireland	7	3
Isle of Man	..	..
Israel	20	26
Italy	24	25
Jamaica	11	12
Japan	17	10
Jordan	36	30
Kazakhstan	11	24
Kenya	11	9
Kiribati	24	24
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	20	25
Kosovo	26	45
Kuwait	45	40
Kyrgyz Republic	19	33
Lao PDR	79	81
Latvia	28	21
Lebanon	35	44
Lesotho	66	73
Liberia	1	4
Libya	39	45
Liechtenstein	..	..
Lithuania	29	18
Luxembourg	8	4
Madagascar	9	16
Malawi	30	32
Malaysia	26	27
Maldives	46	26
Mali	11	13
Malta	4	4
Marshall Islands	21	38
Mauritania	6	2
Mauritius	20	30
Mexico	27	27
Micronesia, Fed. Sts.	15	..
Moldova	35	34
Monaco	..	..
Mongolia	35	29
Montenegro	11	8
Morocco	21	24
Mozambique	18	3
Myanmar	7	3
Namibia	6	15
Nepal	48	47
Netherlands	14	12
New Caledonia	14	14
New Zealand	30	31
Nicaragua	17	25
Niger	11	9
Nigeria	28	31
North Macedonia	12	20
Northern Mariana Islands	..	..
Norway	30	32
Oman	16	22
Pakistan	14	18
Palau	14	27
Panama	15	28
Papua New Guinea	4	7
Paraguay	21	28
Peru	22	27
Philippines	47	44
Poland	28	22
Portugal	27	30
Puerto Rico	..	..
Qatar	12	28
Romania	20	29
Russian Federation	36	37
Rwanda	17	36
Samoa	19	2
San Marino	..	..
Sao Tome and Principe	0	28
Saudi Arabia	41	29
Senegal	15	10
Serbia	27	27
Seychelles	15	10
Sierra Leone	5	14
Singapore	19	13
Sint Maarten (Dutch part)	37	29
Slovak Republic	27	24
Slovenia	31	25
Solomon Islands	26	28
Somalia	..	..
South Africa	29	21
South Sudan	..	1
Spain	26	32
Sri Lanka	15	37
St. Kitts and Nevis	12	18
St. Lucia	24	14
St. Martin (French part)	..	..
St. Vincent and the Grenadines	17	19
Sudan	47	1
Suriname	17	12
Sweden	24	23
Switzerland	16	17
Syrian Arab Republic	44	..
Tajikistan	1	1
Tanzania	45	36
Thailand	14	24
Timor-Leste	11	29
Togo	12	9
Tonga	17	43
Trinidad and Tobago	19	4
Tunisia	18	29
Turkey	28	15
Turkmenistan	..	..
Turks and Caicos Islands	..	6
Tuvalu	29	..
Uganda	18	7
Ukraine	31	58
United Arab Emirates	..	..
United Kingdom	33	25
United States	23	27
Uruguay	29	30
Uzbekistan	..	43
Vanuatu	24	11
Venezuela, RB	15	20
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	70	51
Yemen, Rep.	9	3
Zambia	12	20
Zimbabwe	10	29
World	25	27
East Asia & Pacific	28	33
Europe & Central Asia	25	23
Latin America & Caribbean	25	28
Middle East & North Africa	24	29
North America	24	27
South Asia	14	17
Sub-Saharan Africa	23	19
Low income	22	8
Lower middle income	19	24
Upper middle income	32	38
High income	24	23
