Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)
Afghanistan	..	6.3
Albania	1.6	3.9
Algeria	..	2.7
American Samoa	..	..
Andorra	..	..
Angola	..	5.6
Antigua and Barbuda	4.3	2.6
Argentina	3.6	2.1
Armenia	..	..
Aruba	..	..
Australia	2.7	2.5
Austria	2.5	1.2
Azerbaijan	-2.1	9.4
Bahamas, The	0.1	5.8
Bahrain	..	2.6
Bangladesh	7.3	8.6
Barbados	..	..
Belarus	-1.9	6
Belgium	3.3	0.9
Belize	2.8	1.5
Benin	3.9	2.5
Bermuda	..	-1.5
Bhutan	6.6	8.4
Bolivia	4.1	5
Bosnia and Herzegovina	..	2.4
Botswana	2.6	0.6
Brazil	2.1	1.6
Brunei Darussalam	2	-1.3
Bulgaria	-0.5	2.8
Burkina Faso	5.5	7.1
Burundi	-5.2	1.4
Cabo Verde	9	4.2
Cambodia	14.5	9.9
Cameroon	-2	4.1
Canada	..	1.6
Cayman Islands	..	-2.5
Central African Republic	..	-5.5
Chad	..	5.6
Channel Islands	..	..
Chile	6.2	1.8
China	13.7	9.9
Hong Kong SAR, China	..	1.4
Macao SAR, China	..	-1
Colombia	1.1	3.7
Comoros	1.6	2.8
Congo, Dem. Rep.	-8.3	8.5
Congo, Rep.	4.5	2.6
Costa Rica	4.3	1.9
Cote d'Ivoire	..	6.8
Croatia	3.6	0
Cuba	-1.4	2.9
Curacao	..	..
Cyprus	0.8	-1.1
Czech Republic	1.8	3.2
Denmark	2.6	0
Djibouti	..	..
Dominica	3.9	1.2
Dominican Republic	7.9	4.4
Ecuador	1.5	3.7
Egypt, Arab Rep.	4.5	3.6
El Salvador	4.3	1.9
Equatorial Guinea	..	-3.4
Eritrea	..	..
Estonia	6.2	3.5
Eswatini	3.1	2.9
Ethiopia	4.2	13.9
Faroe Islands	..	..
Fiji	4	2.8
Finland	3.5	0.5
France	1.2	0.1
French Polynesia	..	..
Gabon	1.6	0
Gambia, The	..	5.6
Georgia	..	4.6
Germany	-0.2	1.4
Ghana	..	9.9
Greece	4.3	-2.8
Greenland	..	4.5
Grenada	6.4	0.3
Guam	..	..
Guatemala	3.8	2.6
Guinea	4.7	3
Guinea-Bissau	..	3.3
Guyana	6.2	4.1
Haiti	-3.9	3.4
Honduras	3.8	2.9
Hungary	6.7	1.4
Iceland	5.2	2
India	6	6.9
Indonesia	5.3	4.4
Iran, Islamic Rep.	1.5	1.8
Iraq	16.1	5.1
