Country	Mathematics	Science
Afghanistan	..	..
Albania	17	2
Algeria	51	4
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	40	5
Armenia	..	..
Aruba	..	..
Australia	8	1
Austria	7	1
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	..	..
Barbados	..	..
Belarus	11	1
Belgium	7	1
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	29	3
Botswana	..	..
Brazil	41	4
Brunei Darussalam	22	2
Bulgaria	22	3
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	..
Cameroon	..	..
Canada	5	0
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	25	1
China	0	0
Hong Kong SAR, China	3	0
Macao SAR, China	1	0
Colombia	36	2
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	28	1
Cote d'Ivoire	..	..
Croatia	11	1
Cuba	..	..
Curacao	..	..
Cyprus	17	2
Czech Republic	7	0
Denmark	4	1
Djibouti	..	..
Dominica	..	..
Dominican Republic	69	14
Ecuador	..	..
Egypt, Arab Rep.	..	..
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	2	0
Eswatini	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	4	0
France	8	1
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	34	6
Germany	8	1
Ghana	..	..
Greece	15	1
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	10	1
Iceland	7	0
India	..	..
Indonesia	41	2
Iran, Islamic Rep.	..	..
Iraq	..	..
Ireland	4	0
Isle of Man	..	..
Israel	18	3
Italy	9	1
Jamaica	..	..
Japan	3	0
Jordan	31	3
Kazakhstan	22	2
Kenya	..	..
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5	0
Kosovo	47	4
Kuwait	..	..
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	4	0
Lebanon	38	9
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	9	0
Luxembourg	11	1
Madagascar	..	..
Malawi	..	..
Malaysia	16	1
Maldives	..	..
Mali	..	..
Malta	14	3
Marshall Islands	..	..
Mauritania	..	..
Mauritius	..	..
Mexico	26	1
Micronesia, Fed. Sts.	..	..
Moldova	26	2
Monaco	..	..
Mongolia	..	..
Montenegro	20	2
Morocco	47	3
Mozambique	..	..
Myanmar	..	..
Namibia	..	..
Nepal	..	..
Netherlands	5	1
New Caledonia	..	..
New Zealand	8	1
Nicaragua	..	..
Niger	..	..
Nigeria	..	..
North Macedonia	35	5
Northern Mariana Islands	..	..
Norway	6	1
Oman	..	..
Pakistan	..	..
Palau	..	..
Panama	54	10
Papua New Guinea	..	..
Paraguay	..	..
Peru	32	3
Philippines	54	7
Poland	4	0
Portugal	9	0
Puerto Rico	..	..
Qatar	30	5
Romania	23	3
Russian Federation	7	0
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	43	5
Senegal	..	..
Serbia	18	2
Seychelles	..	..
Sierra Leone	..	..
Singapore	2	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	11	1
Slovenia	5	0
Solomon Islands	..	..
Somalia	..	..
South Africa	..	..
South Sudan	..	..
Spain	9	1
Sri Lanka	..	..
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Sweden	6	1
Switzerland	5	0
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	25	1
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	28	3
Tunisia	47	2
Turkey	14	0
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	16	1
United Arab Emirates	24	4
United Kingdom	6	1
United States	10	1
Uruguay	25	2
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	3	0
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	..	..
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
