Country	Growth % (2017-18)	Growth % (2018-19)
Afghanistan	0.6	2.2
Albania	1.4	0.4
Algeria	7.6	-0.7
American Samoa	3.4	..
Andorra	1	1.5
Angola	29.1	35.9
Antigua and Barbuda	2.2	2.5
Argentina	40.7	51.5
Armenia	2.8	1.5
Aruba	..	..
Australia	1.9	3.3
Austria	1.7	1.7
Azerbaijan	12.2	-0.2
Bahamas, The	0.7	1.4
Bahrain	4.3	0.6
Bangladesh	5.6	4.5
Barbados	2.8	2.5
Belarus	12.1	6.6
Belgium	1.5	1.5
Belize	-0.2	0.2
Benin	0.6	-0.3
Bermuda	..	..
Bhutan	1.8	..
Bolivia	3.1	-0.7
Bosnia and Herzegovina	2.8	2.1
Botswana	1.2	0.6
Brazil	3.3	4.2
Brunei Darussalam	9.2	-3.3
Bulgaria	4	4.7
Burkina Faso	2.4	-3
Burundi	-2.9	0.8
Cabo Verde	1.5	0.6
Cambodia	3.1	3.2
Cameroon	1.6	1.6
Canada	1.8	1.9
Cayman Islands	3.3	..
Central African Republic	-1.2	2.4
Chad	5	2.9
Channel Islands	..	..
Chile	2.4	2.7
China	3.5	1.6
Hong Kong SAR, China	3.6	2.4
Macao SAR, China	3.5	2.6
Colombia	4.5	4.3
Comoros	1.2	3.3
Congo, Dem. Rep.	29	-1.7
Congo, Rep.	21.5	-1.2
Costa Rica	2.5	1.7
Cote d'Ivoire	0.2	0.5
Croatia	1.8	1.5
Cuba	1	..
Curacao	2.6	..
Cyprus	1.4	0.6
Czech Republic	2.6	3.5
Denmark	0.8	1
Djibouti	1	2.5
Dominica	3.6	2.4
Dominican Republic	4.1	2.5
Ecuador	1.8	-0.2
Egypt, Arab Rep.	21.4	13.6
El Salvador	2.1	1.1
Equatorial Guinea	11.2	-7.2
Eritrea	..	..
Estonia	4.5	3.2
Ethiopia	12.4	13.2
Faroe Islands	..	..
Fiji	0.9	2.4
Finland	1.8	1.8
France	1	1.2
French Polynesia	..	..
Gabon	7.1	0.8
Gambia, The	5.2	6.4
Georgia	4.3	6.6
Germany	1.5	2.1
Ghana	10.2	9.2
Greece	0.5	-0.4
Greenland	0	..
Grenada	-0.3	1.9
Guam	1.5	..
Guatemala	1.2	3.4
Guinea	10.3	7.5
Guinea-Bissau	-0.4	-7.4
Guyana	5.4	5.8
Haiti	12.8	14.2
Honduras	1.9	4.3
Hungary	4.5	4.5
Iceland	2.6	4.4
India	4.6	2.3
Indonesia	3.8	1.6
