Country	Goveernment % (2010)	Goveernment % (2018)
Afghanistan	2.6	0.7
Albania	0.1	1.9
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	-1.7	13.6
Antigua and Barbuda	..	..
Argentina	..	5.6
Armenia	-1.4	1.6
Aruba	..	..
Australia	0	1.2
Austria	..	..
Azerbaijan	15.6	7.1
Bahamas, The	0.6	0.3
Bahrain	..	..
Bangladesh	2	2.3
Barbados	1.6	3
Belarus	1	4.3
Belgium	..	..
Belize	2.9	..
Benin	..	..
Bermuda	..	..
Bhutan	2.3	4.3
Bolivia	0.9	..
Bosnia and Herzegovina	-0.4	1.4
Botswana	-2.4	0.3
Brazil	4.9	-1.1
Brunei Darussalam	..	..
Bulgaria	..	..
Burkina Faso	0.3	-0.5
Burundi	..	..
Cabo Verde	..	..
Cambodia	-0.3	1.8
Cameroon	0.9	-0.2
Canada	..	..
Cayman Islands	..	..
Central African Republic	0.3	-0.5
Chad	..	..
Channel Islands	..	..
Chile	2	0
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	3.2	-0.5
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	4.9	-2
Costa Rica	..	..
Cote d'Ivoire	1.1	0.2
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	0.8	1
Ecuador	..	..
Egypt, Arab Rep.	1.7	..
El Salvador	-1.7	-3.2
Equatorial Guinea	-4.1	..
Eritrea	..	..
Estonia	..	..
Eswatini	..	..
Ethiopia	18.1	0.4
Faroe Islands	..	..
Fiji	1.7	2.1
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	-0.2	0.8
Gambia, The	-2.7	..
Georgia	1.6	0.8
Germany	..	..
Ghana	-0.9	0.1
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	0.1	0.2
Guinea	..	..
Guinea-Bissau	..	0.6
Guyana	..	..
Haiti	..	..
Honduras	-0.1	1.3
Hungary	-1.3	1.7
Iceland	2.5	-0.1
India	0.9	0.8
Indonesia	0.7	0.7
Iran, Islamic Rep.	..	..
Iraq	..	-0.9
Ireland	-7	5.4
Isle of Man	..	..
Israel	-1.7	-0.5
Italy	..	..
Jamaica	3.3	-2.7
Japan	-0.5	0.6
Jordan	..	..
Kazakhstan	7.2	2.4
Kenya	..	2.9
Kiribati	-6	16.1
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2.7	3.5
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	..	0.9
Lao PDR	..	..
Latvia	..	..
Lebanon	-2.9	-0.4
Lesotho	-4	-2.5
Liberia	0.2	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	1.2	0.6
Malawi	0.3	0
Malaysia	-0.1	0.1
Maldives	-0.5	..
Mali	0.4	-1.4
Malta	2.6	2.1
Marshall Islands	3.9	0
Mauritania	..	..
Mauritius	-0.6	-2.8
Mexico	-0.6	0.4
Micronesia, Fed. Sts.	0.7	19.4
Moldova	0.6	-0.4
Monaco	..	..
Mongolia	2.9	-0.2
Montenegro	..	..
Morocco	0	-0.1
Mozambique	2.1	3.3
Myanmar	0	0.1
Namibia	-2.3	-0.6
Nepal	1	0.5
Netherlands	..	..
New Caledonia	..	..
New Zealand	5.1	..
Nicaragua	..	..
Niger	..	..
Nigeria	..	..
North Macedonia	-0.9	1.6
Northern Mariana Islands	..	..
Norway	14.3	11.6
Oman	..	..
Pakistan	..	..
Palau	3.9	10.3
Panama	..	..
Papua New Guinea	..	1.6
Paraguay	1.8	2.7
Peru	-0.6	-3.3
Philippines	0.5	-0.3
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	..	..
Russian Federation	-0.3	3.9
Rwanda	..	2.4
Samoa	-0.9	1.9
San Marino	7.8	..
Sao Tome and Principe	..	..
Saudi Arabia	..	-2.2
Senegal	..	3.3
Serbia	-0.5	..
Seychelles	15.9	2.7
Sierra Leone	..	..
Singapore	17	13.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	7	0.6
Somalia	..	..
South Africa	3.1	0.7
South Sudan	..	..
Spain	1.3	2.2
Sri Lanka	0.9	0.3
St. Kitts and Nevis	-1.6	..
St. Lucia	-1.1	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	1.9	..
Sudan	..	..
Suriname	..	..
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	6.7	0.1
Thailand	1.8	1.9
Timor-Leste	186.4	-3.3
Togo	-0.2	0.1
Tonga	-0.7	3.8
Trinidad and Tobago	-3	0.1
Tunisia	-1.1	..
Turkey	0.3	0.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	0.4
Ukraine	3.3	-0.2
United Arab Emirates	-0.3	0.3
United Kingdom	0.6	0.8
United States	1.6	1.2
Uruguay	-2.3	-0.7
Uzbekistan	7.3	2.6
Vanuatu	-0.9	3.4
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	1.1	0.2
Zimbabwe	..	-0.7
World	..	..
East Asia & Pacific	..	..
