Country	Forest Area (2000)	Forest Area (2016)	Permanent cropland (2000)	Permanent cropland (2016)	Arable land (2000)	Arable land (2016)
Afghanistan	2.1	2.1	0.1	0.3	11.8	11.8
Albania	28.1	28.1	4.4	3	21.1	22.6
Algeria	0.7	0.8	0.2	0.4	2020.2	2020.1
American Samoa	90.2	87.5	11.5	9.5	12.5	15
Andorra	34	34	..	..	2.1	1.7
Angola	47.9	46.3	0.2	0.2	2.4	3.9
Antigua and Barbuda	22.7	22.3	2.3	2.3	9.1	9.1
Argentina	2020.6	2020.8	0.4	0.4	2020.1	2020.3
Armenia	11.7	11.7	1.3	2	15.8	15.7
Aruba	2.3	2.3	..	..	11.1	11.1
Australia	16.8	16.3	0	0	6.2	6
Austria	46.5	46.9	0.9	0.8	16.9	16.3
Azerbaijan	10.6	14.1	2.9	2.9	22.1	24.2
Bahamas, The	51.4	51.4	0.4	0.4	0.7	0.8
Bahrain	0.5	0.8	4.5	3.9	2.8	2.1
Bangladesh	11.3	11	3.5	6.4	64.1	59.6
Barbados	14.7	14.7	2.3	2.3	34.9	16.3
Belarus	40.8	42.6	0.6	0.5	30.2	28
Belgium	22	22.6	0.7	0.8	28.5	28.1
Belize	64	59.7	1.5	1.4	2.8	3.4
Benin	44.9	37.8	2.4	4.4	21.1	23.9
Bermuda	18.5	18.5	..	..	7.4	5.6
Bhutan	65.5	72.5	0.5	0.2	2.7	2.6
Bolivia	55.5	50.3	0.2	0.2	2020.9	2020.1
Bosnia and Herzegovina	42.7	42.7	2	2	19.5	20
Botswana	22.1	18.9	0	0	0.6	0.5
Brazil	62.4	58.9	0.9	0.8	2020.9	2020.7
Brunei Darussalam	75.3	72.1	0.8	1.1	0.4	0.9
Bulgaria	30.5	35.4	2.3	1.3	31.9	32.2
Burkina Faso	22.8	19.3	0.3	0.4	13.5	21.9
Burundi	7.7	10.9	14	13.6	37.4	46.7
Cabo Verde	20.4	22.5	0.5	1	10.9	12.4
Cambodia	65.4	52.9	0.8	0.9	21	21.5
Cameroon	46.8	39.3	2.5	3.3	12.6	13.1
Canada	38.2	38.2	0.7	0.5	5	4.8
Cayman Islands	52.9	52.9	2.1	2.1	0.8	0.8
Central African Republic	36	35.6	0.2	0.1	3.1	2.9
