Country	Total (1990)	Total (2014)	Carbon intensity (1990)	Carbon intensity (2014)	per capita (1990)	per capita (2014)	Kg-GDP (1990)	Kg-GDP (2014)
Afghanistan	2615	8467	..	..	0.2	0.3	..	0.1
Albania	5515	5489	2.1	2.4	1.7	1.9	0.3	0.2
Algeria	76970	145411	3.5	2.8	3	3.7	0.3	0.3
American Samoa	..	..	..	..	..	..	..	..
Andorra	407	462	..	..	7.5	5.8	..	..
Angola	5115	44851	0.9	3.1	0.4	1.7	0.1	0.2
Antigua and Barbuda	282	528	2.9	..	4.5	5.7	0.3	0.3
Argentina	112148	195777	2.4	2.3	3.4	4.6	0.2	0.2
Armenia	5827	5530	1.4	1.9	1.7	1.9	0.6	0.2
Aruba	488	873	..	..	7.8	8.4	0.2	0.2
Australia	263705	361317	3.1	2.9	15.5	15.4	0.5	0.3
Austria	57792	58903	2.3	1.8	7.5	6.9	0.2	0.1
Azerbaijan	56241	37385	3.1	2.6	7.6	3.9	1.3	0.3
Bahamas, The	1841	2351	2.9	..	7.2	6.3	0.2	0.2
Bahrain	12427	31368	2.4	2.2	25.1	23.5	0.6	0.5
Bangladesh	14162	73758	1.1	2.1	0.1	0.5	0.1	0.1
Barbados	1071	1254	3.3	..	4.1	4.4	0.3	0.3
Belarus	87418	62801	2.4	2.3	8.6	6.6	1.1	0.3
Belgium	106050	93564	2.2	1.8	10.6	8.3	0.3	0.2
Belize	312	495	2.9	..	1.7	1.4	0.3	0.2
Benin	708	5376	0.4	1.3	0.1	0.5	0.1	0.2
Bermuda	502	649	..	..	8.5	10	..	..
Bhutan	128	1038	2.3	..	0.2	1.4	0.1	0.2
Bolivia	5757	20330	2.2	2.4	0.8	1.9	0.2	0.2
Bosnia and Herzegovina	15053	19424	3.4	2.5	3.6	5.6	..	0.5
Botswana	2703	6857	2.2	2.5	2.1	3.3	0.2	0.2
Brazil	208887	533530	1.5	1.8	1.4	2.6	0.1	0.2
Brunei Darussalam	6194	9054	3.6	2.5	23.9	22.1	0.3	0.3
Bulgaria	74480	42328	2.6	2.4	8.5	5.9	0.7	0.3
Burkina Faso	583	2959	..	..	0.1	0.2	0.1	0.1
Burundi	209	385	..	..	0	0	0	0
Cabo Verde	95	491	3.3	..	0.3	0.9	0.2	0.2
Cambodia	1261	6685	..	1	0.1	0.4	..	0.1
Cameroon	682	6799	0.1	0.9	0.1	0.3	0	0.1
Canada	435181	540615	2.1	1.9	15.7	15.3	0.5	0.3
Cayman Islands	249	546	..	..	9.9	9	..	0.1
Central African Republic	198	290	..	..	0.1	0.1	0.1	0.1
Chad	378	1001	..	..	0.1	0.1	0.1	0
Channel Islands	..	..	..	..	..	..	..	..
Chile	33315	79101	2.4	2.2	2.5	4.5	0.3	0.2
China	2442919	10291927	2.8	3.4	2.2	7.5	1.5	0.6
Hong Kong SAR, China	27334	45749	3.2	3.2	4.8	6.3	0.2	0.1
Macao SAR, China	1034	1577	..	..	3	2.7	0.1	0
Colombia	57337	86681	2.4	2.5	1.7	1.8	0.2	0.1
Comoros	62	154	3.5	..	0.2	0.2	0	0.1
Congo, Dem. Rep.	4294	4672	0.4	0.2	0.1	0.1	0.1	0.1
Congo, Rep.	1188	3157	1.5	1.2	0.5	0.7	0.1	0.2
Costa Rica	2956	7844	1.8	1.6	0.9	1.6	0.1	0.1
Cote d'Ivoire	5035	11089	1.2	0.8	0.4	0.5	0.1	0.1
Croatia	16417	16905	2.2	2.1	3.6	4	..	0.2
Cuba	32963	27624	1.9	2.4	3.1	2.4	..	..
Curacao	..	5882	..	3	..	37.7	..	1.4
Cyprus	4708	6062	3.4	3.1	6.1	5.3	0.3	0.2
Czech Republic	138176	97161	3.2	2.4	13.4	9.2	0.6	0.3
Denmark	50231	33146	2.9	2	9.8	5.9	0.2	0.1
Djibouti	323	612	2.5	..	0.5	0.7	..	0.2
Dominica	59	176	2.8	..	0.8	2.5	0.1	0.2
Dominican Republic	9230	22145	2.3	2.9	1.3	2.2	0.2	0.2
Ecuador	16828	46153	2.7	3.3	1.6	2.9	0.2	0.2
Egypt, Arab Rep.	75540	227853	2.3	3	1.3	2.5	0.2	0.2
El Salvador	2519	6285	1	1.5	0.5	1	0.1	0.1
Equatorial Guinea	62	7308	..	..	0.1	6.5	0.1	0.2
Eritrea	..	711	..	0.9	..	..	..	..
Estonia	23880	18174	3.6	3	15.6	13.8	..	0.5
Eswatini	964	902	3.1	..	1.2	0.8	0.2	0.1
Ethiopia	3018	12435	0.1	0.3	0.1	0.1	0.1	0.1
Faroe Islands	704	598	..	..	14.9	12.5	..	..
Fiji	814	1646	2.8	..	1.1	1.9	0.1	0.2
