Country	Survey Year	Regulations and tax
Afghanistan	2014	9.8
Albania	2019	2.3
Algeria	2007	25.1
American Samoa	..	..
Andorra	..	..
Angola	2010	12.2
Antigua and Barbuda	2010	4.5
Argentina	2017	20.5
Armenia	2013	11.9
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	0.3
Bahamas, The	2010	3.9
Bahrain	..	..
Bangladesh	2013	3.3
Barbados	2010	4.3
Belarus	2018	13.3
Belgium	..	..
Belize	2010	3.9
Benin	2016	5.7
Bermuda	..	..
Bhutan	2015	28.8
Bolivia	2017	15.1
Bosnia and Herzegovina	2019	4.7
Botswana	2010	10.2
Brazil	2009	14.2
Brunei Darussalam	..	..
Bulgaria	2019	10.5
Burkina Faso	2009	22.2
Burundi	2014	2.3
Cambodia	2016	16.4
Cameroon	2016	17.9
Canada	..	..
Cabo Verde	2009	3.9
Cayman Islands	..	..
Central African Republic	2011	9.2
Chad	2018	13.3
Channel Islands	..	..
Chile	2010	9.9
China	2012	0.9
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	19.5
Comoros	..	..
Congo, Dem. Rep.	2013	4.7
Congo, Rep.	2009	6
Costa Rica	2010	8.4
Cote d'Ivoire	2016	15.2
Croatia	2019	15
Cuba	..	..
Curacao	..	..
Cyprus	2019	5.5
Czech Republic	2019	13.2
Denmark	..	..
Djibouti	2013	5.3
Dominica	2010	1.9
Dominican Republic	2016	7.1
Ecuador	2017	15.6
Egypt, Arab Rep.	2016	7
El Salvador	2016	11.2
Equatorial Guinea	..	..
Eritrea	2009	0.5
Estonia	2019	3.9
Ethiopia	2015	11.9
Faroe Islands	..	..
Fiji	2009	4.4
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	2.8
Gambia, The	2018	2.5
Georgia	2019	1.7
Germany	2005	1.2
Ghana	2013	4
Greece	2018	6.1
Greenland	..	..
Grenada	2010	7.7
Guam	..	..
Guatemala	2017	9.1
Guinea	2016	3.9
Guinea-Bissau	2006	2.9
Guyana	2010	11.5
Haiti	..	..
Honduras	2016	9.4
Hungary	2019	10.4
Iceland	..	..
India	2014	1.9
Indonesia	2015	0.9
Iran, Islamic Rep.	..	..
Iraq	2011	6.5
Ireland	2005	2.3
Isle of Man	..	..
Israel	2013	4.3
Italy	2019	8.9
Jamaica	2010	1.7
Japan	..	..
Jordan	2019	0.4
Kazakhstan	2019	4.3
Kenya	2018	8.6
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	0.1
Kosovo	2019	10.4
Kuwait	..	..
Kyrgyz Republic	2019	11.3
Lao PDR	2018	0.8
Latvia	2019	26.8
Lebanon	2019	2.4
Lesotho	2016	2.7
Liberia	2017	5.4
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	6.2
Luxembourg	..	..
North Macedonia	2019	2.5
Madagascar	2013	20.8
Malawi	2014	5
Malaysia	2015	3.1
Maldives	..	..
Mali	2016	27.5
Malta	2019	8.3
Marshall Islands	..	..
Mauritania	2014	17.2
Mauritius	2009	9.4
Mexico	2010	13.6
Micronesia, Fed. Sts.	2009	12.4
Moldova	2019	9.8
Monaco	..	..
Mongolia	2019	18.5
Montenegro	2019	1.5
Morocco	2019	15.2
Mozambique	2018	6.5
Myanmar	2016	0.8
Namibia	2014	3.1
Nepal	2013	1.4
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	11.1
Niger	2017	11.4
Nigeria	2014	7.5
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	3.5
Palau	..	..
Panama	2010	33.3
Papua New Guinea	2015	8.8
Paraguay	2017	8.9
Peru	2017	11.8
Philippines	2015	5.4
Poland	2019	7.7
Portugal	2019	9.9
Puerto Rico	..	..
Qatar	..	..
Romania	2013	15.8
Russian Federation	2019	5.6
Rwanda	2019	3
Samoa	2009	13.9
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	3
Serbia	2019	10
Seychelles	..	..
Sierra Leone	2017	13.1
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	16.5
Slovenia	2019	7.5
Solomon Islands	2015	9.2
Somalia	..	..
South Africa	2007	5.9
South Sudan	2014	18
Spain	2005	0.8
Sri Lanka	2011	1.7
St. Kitts and Nevis	2010	10.6
St. Lucia	2010	2.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	4.7
Sudan	2014	4.1
Suriname	2018	4.9
Eswatini	2016	2
Sweden	2014	4.9
Switzerland	..	..
Syrian Arab Republic	2009	12.2
Tajikistan	2019	10.7
Tanzania	2013	2
Thailand	2016	4.8
Timor-Leste	2015	6
Togo	2016	10.3
Tonga	2009	6.6
Trinidad and Tobago	2010	7.9
Tunisia	2013	46.5
Turkey	2019	5.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	6.5
Ukraine	2019	10.8
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	19.2
Uzbekistan	2019	4.9
Vanuatu	2009	7.5
Venezuela, RB	2010	27.6
Vietnam	2015	1.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	1
Yemen, Rep.	2013	1.9
Zambia	2019	8.1
Zimbabwe	2016	3.2
